"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"gene-LOC134721619|LOC134721619" 34.4866450348023 -1.38759247922755 0.562316963077676 0.000423765451835356 0.0109587225325004
"gene-LOC134707468|LOC134707468" 21.9629786143484 0.1166828969326 0.231930797647583 1.69816269832366e-05 0.000967579515473428
"gene-LOC134703116|LOC134703116" 101.694669727921 0.505412335174047 0.107630152259037 2.4076605601616e-07 7.08522558390265e-05
"gene-LOC134721348|LOC134721348" 59.0239524711964 0.339517388629086 0.118300480266364 0.000585453880466155 0.0139566821619173
"gene-LOC134722146|LOC134722146" 387.921392109081 -0.353449294518411 0.132256975898495 0.00095684857282955 0.0202500402045764
"gene-LOC134721509|LOC134721509" 10.895413664424 -0.0698833807915146 0.180075212717006 0.00165360114320466 0.0303643333819142
"gene-LOC134721116|LOC134721116" 57.9388987866033 -0.323446125859104 0.132398357620015 0.0020884345320845 0.0356788568331405
"gene-LOC134714175|LOC134714175" 120.374576784159 -1.81936312693594 0.316770374701951 4.19845596014869e-10 6.21971261524884e-07
"gene-LOC134713699|LOC134713699" 100.199599211904 -1.36288490358766 0.496344869231122 0.000202995673157498 0.00630259021150675
"gene-LOC134705096|LOC134705096" 13.0298498616383 -0.0849422835060084 0.192822784824713 0.000269941231224636 0.00788532554309711
"gene-LOC134702634|LOC134702634" 49.484712045848 0.555136628534431 0.118544271487841 2.48553996031914e-07 7.08522558390265e-05
"gene-LOC134719016|LOC134719016" 19.1026642032376 -0.932761360205785 0.493942354980211 0.00181767619465684 0.0325056250998765
"gene-LOC134716100|LOC134716100" 164.848664911189 0.332519869914306 0.117013529852265 0.000675678411579347 0.0155643578648974
"gene-LOC134702687|LOC134702687" 32.3593552341233 0.545402665696399 0.154415629934767 3.23988502316658e-05 0.00156998166776811
"gene-LOC134687154|LOC134687154" 286.108128586782 0.210311474623068 0.0672027989067429 0.000618416839610801 0.0146935421265692
"gene-LOC134712475|LOC134712475" 95.2670767377879 -1.15429131059072 0.465129940736627 0.000433301258941888 0.0111774478985756
"gene-LOC134703071|LOC134703071" 23.252485204279 0.386511959015891 0.173450199427955 0.00254942755952855 0.041052117689924
"gene-LOC134725578|LOC134725578" 704.707970266885 -1.86508039004208 0.308497997463551 6.98318199600946e-11 1.44831194597236e-07
"gene-LOC134687106|LOC134687106" 38.3552908758764 -0.426310438478187 0.140250695498297 0.000234297146612114 0.00706296921618496
"gene-LOC134692709|LOC134692709" 10.7876409144002 1.20480716815628 0.424421269840265 0.000169080910843827 0.00558397785175314
"gene-LOC134685125|LOC134685125" 43.4118604605471 0.37273584323972 0.155637217967433 0.00185402234896952 0.0329215954774212
"gene-LOC134695001|LOC134695001" 20.7660180160201 0.731051881675353 0.402395451500998 0.00240779910077877 0.0394453028042272
"gene-LOC134697440|LOC134697440" 1751.53028728088 -0.420750060375698 0.200501116696138 0.00283898639891661 0.0444717355842375
"gene-LOC134704382|LOC134704382" 30.2340329663589 0.476685972122418 0.149760572789991 0.000127225394465657 0.00454940462278917
"gene-LOC134702911|LOC134702911" 30.304304961222 0.510653874913397 0.146171034183866 3.97137048513409e-05 0.00183853178262681
"gene-LOC134694719|LOC134694719" 15.9390056399658 -1.63924346783081 0.581246425848262 0.000161451404783112 0.00543588008961323
"gene-LOC134722399|LOC134722399" 49.8825346811042 0.324712620963141 0.143636901930333 0.00332458276170538 0.0496771228226006
"gene-LOC134685645|LOC134685645" 59.0127401025448 -0.335241300570311 0.125013273930173 0.00100700527573224 0.0210113575640712
"STRG.11979|LOC134703001" 22.7812802176204 0.373013691313497 0.161201410581382 0.002241697850591 0.0376765100658487
"gene-LOC134703471|LOC134703471" 110.823067469172 0.495382918217046 0.111487284099793 8.19067021067919e-07 0.000132714453257411
"gene-LOC134706996|LOC134706996" 25.7127597491027 -0.428817685709 0.172414422272056 0.00111191485706406 0.0226089354269692
"STRG.11850|LOC134702698" 145.872504159721 0.505601671844795 0.127672846447532 6.49563304932779e-06 0.000479330834179727
"gene-LOC134703146|LOC134703146" 23.4826761193882 0.39594402711517 0.170427300993775 0.00200734195464217 0.0346935601160656
"gene-LOC134703118|LOC134703118" 22.5220358909256 0.441891561195949 0.175707129230849 0.00107634311197449 0.0221461866491577
"gene-LOC134708325|LOC134708325" 27.6708504430522 -0.849673637029822 0.280651388780652 0.000114219341779728 0.00423019490805637
"gene-LOC134683987|LOC134683987" 21.750514437093 -0.100623912982992 0.207228567493753 0.00180372690430499 0.0324733472181298
"gene-LOC134701947|LOC134701947" 50.9237556661461 -0.513593828279221 0.1563735781226 8.3054383062664e-05 0.00332538205544334
"gene-LOC134725101|LOC134725101" 170.519665752933 -0.340714938774089 0.13671822198885 0.00165715995469656 0.0303643333819142
"gene-LOC134690993|LOC134690993" 44.323438483641 -0.460759721727505 0.158335043700011 0.00030541477990252 0.00867712676051817
