code,tissue,treatment,n_samples_fit,genes_after_filter,n_DEG_fourlevel,n_DEG_primary_pairwise,n_shared,n_only_fourlevel,n_only_pairwise,jaccard,n_up_fourlevel,n_down_fourlevel
FOA,F,OA,46,7851,64,80,49,15,31,0.5157894736842106,53,11
FOW,F,OW,46,7851,234,153,132,102,21,0.5176470588235295,146,88
FDO,F,DO,46,7851,227,351,198,29,153,0.5210526315789473,152,75
GOA,G,OA,47,10789,697,711,594,103,117,0.7297297297297297,359,338
GOW,G,OW,47,10789,187,175,133,54,42,0.5807860262008734,97,90
GDO,G,DO,47,10789,210,307,191,19,116,0.5858895705521472,113,97
