"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj"
"gene-LOC134714763|LOC134714763" 18.1389877968383 -0.208067728319119 0.287459372047335 0.0202962107568465 NA
"gene-LOC134683207|LOC134683207" 26.7181979737845 -0.0841773238749505 0.127338005651562 0.121522416077889 0.511428071019229
"gene-LOC134721843|LOC134721843" 11.1768408830263 -0.02614422127982 0.10619373434939 0.371034074620338 NA
"gene-LOC134687363|LOC134687363" 8.04080571754037 -0.0014051317921802 0.105574334620062 0.878806692945194 NA
"gene-LOC134691074|LOC134691074" 30.8386348239163 0.0778206643127745 0.114514415938505 0.164603023869427 0.582747802247406
"gene-LOC134725448|LOC134725448" 30.6506963685581 0.0119036244156008 0.0897552297145135 0.807628905429424 0.961223349566442
"gene-LOC134725095|LOC134725095" 943.559034635965 -0.104234137880195 0.110157190566325 0.105399383527955 0.478119399877006
"gene-LOC134697389|LOC134697389" 9.22236600881306 -0.0275799035716978 0.10868490693131 0.232039983508653 NA
"gene-LOC134724950|LOC134724950" 50.0359235023335 0.039768151947822 0.104688372535026 0.35491806221035 0.77789174240015
"gene-LOC134700210|LOC134700210" 84.2844422658765 0.00351339572450556 0.0997333208819385 0.916839765796042 0.979912906541429
"gene-LOC134715300|LOC134715300" 51.7377151046725 -0.0141622483592008 0.0883865060606652 0.774862653913267 0.955668114471288
"gene-LOC134721619|LOC134721619" 34.4866450348023 -0.0112331588436562 0.104414175832277 0.611016849928521 0.906044151224192
"gene-LOC134680880|LOC134680880" 66.2852592221603 -0.030751616297875 0.0951872325419505 0.523874237850552 0.877161536749054
"gene-LOC134721896|LOC134721896" 31.8190926352039 0.0863692896488502 0.137587399451061 0.0907690539158226 0.442231895409291
"gene-LOC134682079|LOC134682079" 149.19060568363 -0.0181017666278063 0.09289835655488 0.700917089044094 0.930890526150772
"gene-LOC134690923|LOC134690923" 148.350387932618 0.0686898429954902 0.0884184975658973 0.23816546747681 0.67454606595045
"gene-LOC134707468|LOC134707468" 21.9629786143484 0.0382395881105999 0.116174832678558 0.000893549855725611 0.0410215306314817
"gene-LOC134727934|LOC134727934" 48.6353926745748 0.00466711266106459 0.0878443735891459 0.926264287814814 0.980757008783377
"gene-LOC134712069|LOC134712069" 72.9064881429912 0.00507003128054727 0.102917457718082 0.839529533214683 0.966911165733984
"gene-LOC134694794|LOC134694794" 23.3118739820425 0.00792506364056562 0.105167095230148 0.623895521386917 0.907672839252263
"gene-LOC134715471|LOC134715471" 28.0807662453014 -0.116003903868966 0.152236017923574 0.0681596126176057 0.381072427632866
"gene-LOC134725168|LOC134725168" 48.2182246778604 0.103898211945011 0.154686088747199 0.0622611642019411 0.363474883866102
"gene-LOC134715042|LOC134715042" 43.3826115552145 0.0150726131635499 0.0894326967260804 0.758615985343066 0.948629384493569
"gene-LOC134703116|LOC134703116" 101.694669727921 0.0394257315399472 0.0795308846298928 0.47007138396927 0.852953087315979
"gene-LOC134711670|LOC134711670" 52.5749276572004 0.716937537288909 0.332703826272259 0.000987916712273262 0.0423310342936097
"gene-LOC134706624|LOC134706624" 25.0300585795463 -0.0606434617471531 0.104349019066826 0.259066374783737 0.693169821096032
