Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
T001FX_S219_L001_R1_001	25.663956637601387	36.0	101.0	18.181818181818183	2800628.0
T001FX_S219_L002_R1_001	25.10306880508098	36.0	101.0	18.181818181818183	2802403.0
T001F_S100_L001_R1_001	28.57156231230678	35.0	101.0	18.181818181818183	3236647.0
T001F_S100_L002_R1_001	27.972447286942497	35.0	101.0	18.181818181818183	3245158.0
T001G_S112_L001_R1_001	18.496992873173085	34.0	101.0	18.181818181818183	3034050.0
T001G_S112_L002_R1_001	18.33530292736735	34.0	101.0	18.181818181818183	3045919.0
T002FX_S220_L001_R1_001	22.03791978816298	35.0	101.0	18.181818181818183	2578173.0
T002FX_S220_L002_R1_001	21.558145822755122	35.0	101.0	18.181818181818183	2594132.0
T002F_S101_L001_R1_001	25.6430984390922	33.0	101.0	18.181818181818183	3379964.0
T002F_S101_L002_R1_001	25.24820736241695	33.0	101.0	18.181818181818183	3395792.0
T002G_S113_L001_R1_001	16.617787644675047	34.0	101.0	18.181818181818183	2314910.0
T002G_S113_L002_R1_001	16.331351708597282	34.0	101.0	18.181818181818183	2319878.0
T003FX_S221_L001_R1_001	22.199296139844975	34.0	101.0	18.181818181818183	3094711.0
T003FX_S221_L002_R1_001	21.505230678454353	34.0	101.0	18.181818181818183	3105930.0
T003F_S102_L001_R1_001	29.819774346918962	38.0	101.0	18.181818181818183	2784644.0
T003F_S102_L002_R1_001	29.184295408566513	38.0	101.0	18.181818181818183	2790267.0
T003G_S114_L001_R1_001	16.376534513842188	34.0	101.0	18.181818181818183	2672788.0
T003G_S114_L002_R1_001	16.03359824622943	34.0	101.0	18.181818181818183	2669313.0
T004FX_S222_L001_R1_001	23.03396231309992	35.0	101.0	18.181818181818183	3424690.0
