sample,mussel,tissue,treatment,day,group,secretion_score,log2cpm_mfp2,log2cpm_mfp4,log2cpm_FP10,log2cpm_FP12,log2cpm_FP15,log2cpm_tyrosinase1,log2cpm_preColD,log2cpm_ACDC,secretion_state,on_threshold,on_rule
T001F,T001,F,control,0,day0_lab,11.589096707560277,13.034326658100998,10.514766717727328,12.83205637825478,13.983996538464364,9.915590834853878,9.253843117960317,15.288737150541296,1.9195676096734167,on,4.974537613868024,gap
T002F,T002,F,control,0,day0_lab,7.282161524930395,9.67116928718843,5.363408180676305,9.204102219567602,10.335182387869112,5.914977436652191,3.204129637628726,7.059266021985144,5.824914012353357,on,4.974537613868024,gap
T003F,T003,F,control,0,day0_lab,11.743269359145353,13.294554677815054,10.722693545296206,13.511543321391876,14.220724216991393,9.503397797878376,9.206702595499214,15.291509749693331,5.022917151999289,on,4.974537613868024,gap
T004F,T004,F,control,0,day0_lab,11.644711376133657,13.628522964265285,9.984734027689049,13.490025470234361,13.951875665102852,10.603492699567902,8.209617429942488,13.616041468001608,2.9336914246308847,on,4.974537613868024,gap
T005F,T005,F,control,0,day0_lab,10.530313857502307,12.063953749224726,8.083562071596265,12.169915331783534,12.900894211633908,9.246837191919152,8.716720588856253,8.708153565114385,4.470724122996597,on,4.974537613868024,gap
T006F,T006,F,control,0,day0_lab,10.343269391090486,12.51219153582734,8.746499650912787,11.285875411368213,13.072202317492826,10.031273335574568,6.41157409536718,13.158626994341072,6.093876595967269,on,4.974537613868024,gap
T007F,T007,F,control,0,day0_lab,12.311668739317586,13.781464073734266,10.842228279581091,14.19551092209923,14.278265814270984,11.04968707784458,9.722856268375365,15.011663974709613,6.832735651603982,on,4.974537613868024,gap
T008F,T008,F,control,0,day0_lab,11.714836994694117,13.408565002223602,9.933663321417288,13.61004942210187,13.97923094503598,10.182520383293342,9.174992894092624,14.104505150893397,6.1945300561605645,on,4.974537613868024,gap
T009F,T009,F,control,0,day0_lab,10.104433523767925,12.085672620080473,6.034609187871969,11.386630020196069,13.197382070938417,9.668103360630958,8.254203882889666,12.60879339184557,7.5187736590727505,on,4.974537613868024,gap
T010F,T010,F,control,0,day0_lab,11.925179782706175,13.987102431041428,10.600459622053611,14.027470748488831,14.452138683780337,9.919814050716763,8.56409316015608,14.869667457728779,6.49980874253497,on,4.974537613868024,gap
T011F,T011,F,control,0,day0_lab,9.944917060863059,11.652751182844165,7.327951701278347,11.899723325391298,12.89312541372153,9.116355809059622,6.77959493288339,6.152949645935068,6.177268022076433,on,4.974537613868024,gap
T012F,T012,F,control,0,day0_lab,11.183488218557052,12.345932891899057,9.802261303234005,13.137167883567587,13.522235568889144,9.91327231483956,8.380059348912958,10.91996316530036,6.075349587150376,on,4.974537613868024,gap
T046F,T046,F,DO,3,DO,1.735393988450806,0,0,5.38711438216648,5.025249548538356,0,0,0,4.850572181366523,off,4.974537613868024,gap
T049F,T049,F,DO,3,DO,9.861695916620748,12.128982844914367,8.106947766972905,11.474382606343084,12.817451871563147,8.966582241334523,5.6758281685964596,5.502626782843357,5.233676069081526,on,4.974537613868024,gap
T052F,T052,F,DO,3,DO,1.4503104645330989,0,0,3.7042840800679975,4.997578707130596,0,0,3.5002215891972104,7.298758526412522,off,4.974537613868024,gap
T055F,T055,F,DO,3,DO,4.198233276219318,6.712282660365458,2.8940677170505382,6.9236349569357545,6.749728821792301,0,1.909685501171854,0,4.132875473460003,off,4.974537613868024,gap
T056F,T056,F,DO,3,DO,0,0,0,0,0,0,0,3.436757685546248,4.82279689075396,off,4.974537613868024,gap
T057F,T057,F,DO,3,DO,9.282598913105005,11.029187787797488,8.297715806272809,10.99698703896837,11.27993654564228,7.288169897645948,6.80359640230314,3.1190402072903103,7.0494832930848315,on,4.974537613868024,gap
T058F,T058,F,DO,3,DO,7.4722728700132,9.355059791087276,6.3849755176911716,9.509379032973209,9.620897189987982,5.4345268951622545,4.528798793177311,8.141220038343583,5.112931036904176,on,4.974537613868024,gap
T110F,T110,F,DO,3,DO,0.9659294656819134,3.5254495379962845,0,2.2701272560951957,0,0,0,0,4.397405827960881,off,4.974537613868024,gap
T111F,T111,F,DO,3,DO,0.3796053540393263,0,0,0,2.277632124235958,0,0,2.7598422961449516,7.239395880602483,off,4.974537613868024,gap
T112F,T112,F,DO,3,DO,7.731873002329724,10.08906228696795,5.40653858798625,10.114886894282993,10.455295273094633,6.2783510321177225,4.047103939528799,0,4.633095923288968,on,4.974537613868024,gap
