"","sample.1","tissue","treatment","day"
"T001F","T001F","F","control","0"
"T001FX","T001FX","X","control","0"
"T001G","T001G","G","control","0"
"T002F","T002F","F","control","0"
"T002FX","T002FX","X","control","0"
"T002G","T002G","G","control","0"
"T003F","T003F","F","control","0"
"T003FX","T003FX","X","control","0"
"T003G","T003G","G","control","0"
"T004F","T004F","F","control","0"
"T004FX","T004FX","X","control","0"
"T004G","T004G","G","control","0"
"T005F","T005F","F","control","0"
"T005FX","T005FX","X","control","0"
"T005G","T005G","G","control","0"
"T006F","T006F","F","control","0"
"T006FX","T006FX","X","control","0"
"T006G","T006G","G","control","0"
"T007F","T007F","F","control","0"
"T007FX","T007FX","X","control","0"
"T007G","T007G","G","control","0"
"T008F","T008F","F","control","0"
"T008FX","T008FX","X","control","0"
"T008G","T008G","G","control","0"
"T009F","T009F","F","control","0"
"T009FX","T009FX","X","control","0"
"T009G","T009G","G","control","0"
"T010F","T010F","F","control","0"
"T010FX","T010FX","X","control","0"
"T010G","T010G","G","control","0"
"T011F","T011F","F","control","0"
"T011FX","T011FX","X","control","0"
"T011G","T011G","G","control","0"
"T012F","T012F","F","control","0"
"T012FX","T012FX","X","control","0"
"T012G","T012G","G","control","0"
"T014F","T014F","F","OA","3"
"T014G","T014G","G","OA","3"
"T015F","T015F","F","OA","3"
"T015G","T015G","G","OA","3"
"T016F","T016F","F","OA","3"
"T016G","T016G","G","OA","3"
"T017F","T017F","F","OA","3"
"T017G","T017G","G","OA","3"
"T019F","T019F","F","OA","3"
"T019G","T019G","G","OA","3"
"T021F","T021F","F","OA","3"
"T021G","T021G","G","OA","3"
"T023F","T023F","F","OA","3"
"T023G","T023G","G","OA","3"
"T025F","T025F","F","OA","3"
"T025G","T025G","G","OA","3"
"T026F","T026F","F","OA","3"
"T026G","T026G","G","OA","3"
"T027F","T027F","F","OA","3"
"T027G","T027G","G","OA","3"
"T029F","T029F","F","OW","3"
"T029G","T029G","G","OW","3"
"T030F","T030F","F","OW","3"
"T030G","T030G","G","OW","3"
"T031F","T031F","F","OW","3"
"T031G","T031G","G","OW","3"
"T033F","T033F","F","OW","3"
"T033G","T033G","G","OW","3"
"T034F","T034F","F","OW","3"
"T034G","T034G","G","OW","3"
"T035F","T035F","F","OW","3"
"T035G","T035G","G","OW","3"
"T036F","T036F","F","OW","3"
"T036G","T036G","G","OW","3"
"T037F","T037F","F","OW","3"
"T037G","T037G","G","OW","3"
"T038F","T038F","F","OW","3"
"T038G","T038G","G","OW","3"
"T039F","T039F","F","OW","3"
"T039G","T039G","G","OW","3"
"T040F","T040F","F","OW","3"
"T040G","T040G","G","OW","3"
"T041F","T041F","F","OW","3"
"T041G","T041G","G","OW","3"
"T046F","T046F","F","DO","3"
"T046G","T046G","G","DO","3"
"T047G","T047G","G","DO","3"
"T049F","T049F","F","DO","3"
"T049G","T049G","G","DO","3"
"T052F","T052F","F","DO","3"
"T052G","T052G","G","DO","3"
"T055F","T055F","F","DO","3"
"T055G","T055G","G","DO","3"
"T056F","T056F","F","DO","3"
"T056G","T056G","G","DO","3"
"T057F","T057F","F","DO","3"
"T057G","T057G","G","DO","3"
"T058F","T058F","F","DO","3"
"T058G","T058G","G","DO","3"
"T110F","T110F","F","DO","3"
"T110G","T110G","G","DO","3"
"T111F","T111F","F","DO","3"
"T111G","T111G","G","DO","3"
"T112F","T112F","F","DO","3"
"T112G","T112G","G","DO","3"
"T118F","T118F","F","OA","3"
"T118G","T118G","G","OA","3"
"T119F","T119F","F","OA","3"
"T119G","T119G","G","OA","3"
"T126F","T126F","F","control","3"
"T126G","T126G","G","control","3"
"T127F","T127F","F","control","3"
"T127G","T127G","G","control","3"
"T128F","T128F","F","control","3"
"T128G","T128G","G","control","3"
"T129F","T129F","F","control","3"
"T129G","T129G","G","control","3"
"T130F","T130F","F","control","3"
"T130G","T130G","G","control","3"
"T131F","T131F","F","control","3"
"T131G","T131G","G","control","3"
"T132F","T132F","F","control","3"
"T132G","T132G","G","control","3"
"T133F","T133F","F","control","3"
"T133G","T133G","G","control","3"
"T134F","T134F","F","control","3"
"T134G","T134G","G","control","3"
"T135F","T135F","F","control","3"
"T135G","T135G","G","control","3"
"T136F","T136F","F","control","3"
"T136G","T136G","G","control","3"
"T137F","T137F","F","control","3"
"T137G","T137G","G","control","3"
