sample,species,trt,both_thread,sample,RNA_box,location,conc_ng_uL-1,vol_uL,yield_ng,yield_ug,add_sample,add_water,total_vol,RNA_ug,conc_ng_uL-1,,,,,
31,M. trossulus,T_control_d3,0,T132F,1,D4,75.6,50,3780,3.78,34,26,60,2.57,42.8,2570,,foot,control_d3,"M. trossulus, foot, control_d3"
32,M. trossulus,T_control_d3,0,T133F,1,D5,69.4,50,3470,3.47,37,23,60,2.57,42.8,2570,,foot,control_d3,"M. trossulus, foot, control_d3"
33,M. trossulus,T_control_d3,0,T134F,1,D6,62.8,50,3140,3.14,41,19,60,2.57,42.8,2570,,foot,control_d3,"M. trossulus, foot, control_d3"
34,M. trossulus,T_control_d3,0,T135F,1,D7,43,50,2150,2.15,50,0,50,2.15,43,2150,,foot,control_d3,"M. trossulus, foot, control_d3"
35,M. trossulus,T_control_d3,0,T136F,1,D8,55.2,50,2760,2.76,46,14,60,2.54,42.3,2540,,foot,control_d3,"M. trossulus, foot, control_d3"
36,M. trossulus,T_control_d3,0,T137F,1,D9,92.8,50,4640,4.64,28,32,60,2.6,43.3,2600,,foot,control_d3,"M. trossulus, foot, control_d3"
37,M. trossulus,T_control_d3,0,T126G,1,E1,79,100,7900,7.9,33,27,60,2.61,43.5,2610,,gill,control_d3,"M. trossulus, gill, control_d3"
38,M. trossulus,T_control_d3,0,T127G,1,E2,86.6,100,8660,8.66,30,30,60,2.6,43.3,2600,,gill,control_d3,"M. trossulus, gill, control_d3"
39,M. trossulus,T_control_d3,0,T128G,1,E3,82,100,8200,8.2,31,29,60,2.54,42.3,2540,,gill,control_d3,"M. trossulus, gill, control_d3"
40,M. trossulus,T_control_d3,0,T129G,1,E4,45.8,100,4580,4.58,56,10,66,2.56,38.8,2560,,gill,control_d3,"M. trossulus, gill, control_d3"
41,M. trossulus,T_control_d3,0,T130G,1,E5,62.6,100,6260,6.26,41,19,60,2.57,42.8,2570,,gill,control_d3,"M. trossulus, gill, control_d3"
42,M. trossulus,T_control_d3,0,T131G,1,E6,31,100,3100,3.1,80,0,80,2.48,31,2480,,gill,control_d3,"M. trossulus, gill, control_d3"
43,M. trossulus,T_control_d3,0,T132G,1,E7,94.8,100,9480,9.48,27,33,60,2.56,42.7,2560,,gill,control_d3,"M. trossulus, gill, control_d3"
44,M. trossulus,T_control_d3,0,T133G,1,E8,56,100,5600,5.6,46,14,60,2.58,43,2580,,gill,control_d3,"M. trossulus, gill, control_d3"
45,M. trossulus,T_control_d3,0,T134G,1,E9,32.6,100,3260,3.26,80,0,80,2.61,32.6,2610,,gill,control_d3,"M. trossulus, gill, control_d3"
46,M. trossulus,T_control_d3,0,T135G,1,F1,44.2,100,4420,4.42,58,2,60,2.56,42.7,2560,,gill,control_d3,"M. trossulus, gill, control_d3"
47,M. trossulus,T_control_d3,0,T136G,1,F2,48.6,100,4860,4.86,52,8,60,2.53,42.2,2530,,gill,control_d3,"M. trossulus, gill, control_d3"
48,M. trossulus,T_control_d3,0,T137G,1,F3,20.2,100,2020,2.02,80,0,80,1.62,20.3,1620,,gill,control_d3,"M. trossulus, gill, control_d3"
49,M. trossulus,T_DO_d3,1,T046F,1,F4,21.8,100,2180,2.18,80,0,80,1.74,21.8,1740,,foot,DO_d3,"M. trossulus, foot, DO_d3"
50,M. trossulus,T_DO_d3,1,T049F,1,F6,17.4,100,1740,1.74,80,0,80,1.39,17.4,1390,,foot,DO_d3,"M. trossulus, foot, DO_d3"
51,M. trossulus,T_DO_d3,1,T051F,1,F7,124,100,12400,12.4,21,39,60,2.6,43.3,2600,,foot,DO_d3,"M. trossulus, foot, DO_d3"
52,M. trossulus,T_DO_d3,1,T052F,1,F8,37,100,3700,3.7,65,0,65,2.41,37.1,2410,,foot,DO_d3,"M. trossulus, foot, DO_d3"
53,M. trossulus,T_DO_d3,1,T055F,1,F9,32.6,100,3260,3.26,65,0,65,2.12,32.6,2120,,foot,DO_d3,"M. trossulus, foot, DO_d3"
54,M. trossulus,T_DO_d3,1,T056F,1,G1,64.4,100,6440,6.44,40,20,60,2.58,43,2580,,foot,DO_d3,"M. trossulus, foot, DO_d3"
55,M. trossulus,T_DO_d3,1,T057F,1,G2,91.2,100,9120,9.12,28,32,60,2.55,42.5,2550,,foot,DO_d3,"M. trossulus, foot, DO_d3"
56,M. trossulus,T_DO_d3,1,T058F,1,G3,28,100,2800,2.8,80,0,80,2.24,28,2240,,foot,DO_d3,"M. trossulus, foot, DO_d3"
57,M. trossulus,T_DO_d3,0,T110F,1,G4,35.6,100,3560,3.56,65,0,65,2.31,35.5,2310,,foot,DO_d3,"M. trossulus, foot, DO_d3"
58,M. trossulus,T_DO_d3,0,T111F,1,G5,29.8,100,2980,2.98,80,0,80,2.38,29.8,2380,,foot,DO_d3,"M. trossulus, foot, DO_d3"
59,M. trossulus,T_DO_d3,0,T112F,1,G6,43.6,100,4360,4.36,60,0,60,2.62,43.7,2620,,foot,DO_d3,"M. trossulus, foot, DO_d3"
60,M. trossulus,T_DO_d3,1,T046G,1,G7,19.8,100,1980,1.98,80,0,80,1.58,19.8,1580,,gill,DO_d3,"M. trossulus, gill, DO_d3"
61,M. trossulus,T_DO_d3,1,T047G,1,G8,47.8,100,4780,4.78,50,10,60,2.39,39.8,2390,,gill,DO_d3,"M. trossulus, gill, DO_d3"
62,M. trossulus,T_DO_d3,1,T049G,1,G9,56.6,100,5660,5.66,45,15,60,2.55,42.5,2550,,gill,DO_d3,"M. trossulus, gill, DO_d3"
63,M. trossulus,T_DO_d3,1,T051G,1,H1,8.48,100,848,0.848,80,0,80,0.68,8.5,680,,gill,DO_d3,"M. trossulus, gill, DO_d3"
64,M. trossulus,T_DO_d3,1,T052G,1,H2,57.6,100,5760,5.76,44,16,60,2.53,42.2,2530,,gill,DO_d3,"M. trossulus, gill, DO_d3"
65,M. trossulus,T_DO_d3,1,T055G,1,H3,56.2,100,5620,5.62,45,15,60,2.53,42.2,2530,,gill,DO_d3,"M. trossulus, gill, DO_d3"
66,M. trossulus,T_DO_d3,1,T056G,1,H4,102,100,10200,10.2,26,34,60,2.65,44.2,2650,,gill,DO_d3,"M. trossulus, gill, DO_d3"
67,M. trossulus,T_DO_d3,1,T057G,1,H5,112,100,11200,11.2,23,37,60,2.58,43,2580,,gill,DO_d3,"M. trossulus, gill, DO_d3"
68,M. trossulus,T_DO_d3,1,T058G,1,H6,96.4,100,9640,9.64,27,33,60,2.6,43.3,2600,,gill,DO_d3,"M. trossulus, gill, DO_d3"
69,M. trossulus,T_DO_d3,0,T110G,1,H7,42.2,100,4220,4.22,60,0,60,2.53,42.2,2530,,gill,DO_d3,"M. trossulus, gill, DO_d3"
70,M. trossulus,T_DO_d3,0,T111G,1,H8,40.6,100,4060,4.06,60,0,60,2.44,40.7,2440,,gill,DO_d3,"M. trossulus, gill, DO_d3"
71,M. trossulus,T_DO_d3,0,T112G,1,H9,24.2,100,2420,2.42,80,0,80,1.94,24.3,1940,,gill,DO_d3,"M. trossulus, gill, DO_d3"
72,M. trossulus,T_OA_d3,1,T014F,2,A1,29.4,100,2940,2.94,80,0,80,2.35,29.4,2350,,foot,OA_d3,"M. trossulus, foot, OA_d3"
73,M. trossulus,T_OA_d3,1,T015F,2,A2,45.8,100,4580,4.58,60,0,60,2.75,45.8,2750,,foot,OA_d3,"M. trossulus, foot, OA_d3"
74,M. trossulus,T_OA_d3,1,T016F,2,A3,83.8,100,8380,8.38,31,29,60,2.6,43.3,2600,,foot,OA_d3,"M. trossulus, foot, OA_d3"
75,M. trossulus,T_OA_d3,1,T017F,2,A4,63.6,100,6360,6.36,40,20,60,2.54,42.3,2540,,foot,OA_d3,"M. trossulus, foot, OA_d3"
76,M. trossulus,T_OA_d3,1,T019F,2,A5,44.2,100,4420,4.42,60,0,60,2.65,44.2,2650,,foot,OA_d3,"M. trossulus, foot, OA_d3"
