"UniProt_ID","Summary"
"A0A193DU97","Byssus HSP-like (heat shock protein like) protein, Endoplasmic reticulum chaperone BiP 1 hit, Heat shock 70 kDa 1 hit, Putative Hsp70 family ATPase KAR2 1 hit [Uniprot, 2016]"
"P60043","Phospholipase A2 1, predicted to be excreted outside cell membrane, extracellular region, calcium ion binding, calcium-dependent phospholipase A2 activity, calcium-independent phospholipase A2 activity, phospholipid binding, arachidonate secretion, lipid catabolic process, phospholipid metabolic [Uniprot]"
"Q9BXW7","This gene encodes a steroid binding protein that was first described as a plasma protein secreted by the liver but is now thought to participate in the regulation of steroid responses. The encoded protein transports androgens and estrogens in the blood, binding each steroid molecule as a dimer formed from identical or nearly identical monomers. Polymorphisms in this gene have been associated with polycystic ovary syndrome and type 2 diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
"Q5R8K0","DNA damage inducible transcript 4 like,Inhibits cell growth by regulating the TOR signaling pathway (regulates cellular metabolic status and growth) upstream of the TSC1-TSC2 complex (tumor suppression) and downstream of AKT1 (oncogene, also regulates cell growth). [Uniprot + google]"
"Q9VGZ5","Enables DNA-binding transcription factor activity. Involved in dendrite morphogenesis; regulation of circadian rhythm; and regulation of gene expression. Located in nucleus. Is expressed in several structures, including Malpighian tubule primordium; embryonic/larval midgut primordium; gut section; head; and pacemaker neurons. Orthologous to human HELT (helt bHLH transcription factor). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9UBQ7","This gene encodes a member of the LSm family of RNA-binding proteins. LSm proteins form stable heteromers that bind specifically to the 3'-terminal oligo(U) tract of U6 snRNA and may play a role in pre-mRNA splicing by mediating U4/U6 snRNP formation. Increased expression of this gene may play a role in cellular transformation and the progression of several malignancies including lung cancer, mesothelioma and breast cancer. Alternatively spliced transcript variants have been observed for this gene, and a pseudogene of this gene is located on the short arm of chromosome 9. [provided by RefSeq, Nov 2011]"
"Q1HG43","Dual oxidases DUOX1 and DUOX2 are NADPH oxidases which are involved in hydrogen peroxide production necessary for thyroid hormonogenesis. They form a heterodimer with specific maturation factors DUOXA1 and DUOXA2, respectively, which is essential for the maturation and function of the DUOX enzyme complexes. This gene encodes the DUOX1 activator or maturation factor DUOXA1. Rat studies identified a bidirectional promoter which controls the transcription of the DUOX1 and DUOXA1 genes. This protein is cotransported to the cell surface when coexpressed with DUOX1 and is retained in the endoplasmic reticulum when expressed without DUOX1 protein. The expression of this gene or the DUOX1 gene is not suppressed by thyroglobulin (Tg), a macromolecular precursor in thyroid hormone synthesis, while the expression of the DUOX2 and DUOXA2 are significantly suppressed by the Tg. This protein is also a p53-regulated neurogenic factor involved in p53 dependent neuronal differentiation. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2013]"
"P59722","This gene encodes a component of a transcriptional complex that plays a central role in mammalian oxygen homeostasis. Hypoxia reduces the activity of prolyl hyxroxylases that hydroxylate specific proline residues of the hypoxia-inducible factor-1a (Hif1a). In the absence of hydroxylation, the Hif1a transcription factor accumulates and activates transcription of hypoxia-responsive target genes. This gene encodes one of the three known Hif-interacting 2-oxoglutarate/iron-dependent prolyl-hydroxylases (HIF-PHDs) in rat. Targeted disruption of this gene in mice produced embryonic lethality between embryonic day 12.5 and day 14.5. Based on the transcript data currently available for rat, this Reference Sequence is believed to contain the complete coding region for this gene. However, when compared to its mouse and human orthologs, it has a shorter 5' coding region and an incomplete N-terminus zf-MYND domain. This locus currently has limited transcript data and aligns to an unfinished region of the rat reference genome assembly. It is therefore uncertain whether its coding region can be extended at the 5' end to encode a complete zf-MYND domain, whether no further changes need to be made to its coding region, or whether it is a transcribed pseudogene that does not encode a functional protein. As more transcript and experimental data become available, the coding status of this locus may change. [provided by RefSeq, Jul 2008]"
"Q5XK91","Predicted to enable chitin binding activity and metal ion binding activity. Predicted to be located in membrane. Orthologous to human FIBCD1 (fibrinogen C domain containing 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9N1R6","solute carrier family 7 member 9 (in rabbits), IN HUMANS, This gene encodes a protein that belongs to a family of light subunits of amino acid transporters. This protein plays a role in the high-affinity and sodium-independent transport of cystine and neutral and dibasic amino acids, and appears to function in the reabsorption of cystine in the kidney tubule. Mutations in this gene cause non-type I cystinuria, a disease that leads to cystine stones in the urinary system due to impaired transport of cystine and dibasic amino acids. Alternate transcript variants, which encode the same protein, have been found for this gene. [provided by RefSeq, Jul 2011]"
