Sample	Unique Reads	Duplicate Reads
A1-T001F_S100_L099_R1_cmb	970362.0	1521360.0
A1-T030F_S196_L099_R1_cmb	1378850.0	1255637.0
A10-T015F_S172_L099_R1_cmb	1385680.0	1528263.0
A11-T027F_S180_L099_R1_cmb	1399105.0	1347061.0
A12-T021G_S188_L099_R1_cmb	1992953.0	1024398.0
A2-T009F_S108_L099_R1_cmb	1082005.0	1252872.0
A2-T039F_S204_L099_R1_cmb	1787803.0	1443990.0
A3-T005G_S116_L099_R1_cmb	2163818.0	1286475.0
A3-T035G_S212_L099_R1_cmb	1607192.0	869936.0
A4-T002FX_S220_L099_R1_cmb	1056920.0	1180194.0
A4-T126F_S124_L099_R1_cmb	1074493.0	1058924.0
A5-T010FX_S228_L099_R1_cmb	1007496.0	1177253.0
A5-T134F_S132_L099_R1_cmb	1422445.0	1575852.0
A6-T130G_S140_L099_R1_cmb	2005848.0	1025562.0
A7-T046F_S148_L099_R1_cmb	1317313.0	1520055.0
A8-T110F_S156_L099_R1_cmb	1440306.0	1408097.0
A9-T055G_S164_L099_R1_cmb	1964520.0	1002363.0
B1-T002F_S101_L099_R1_cmb	1231064.0	1412874.0
B1-T031F_S197_L099_R1_cmb	1372901.0	1339683.0
B10-T016F_S173_L099_R1_cmb	1084318.0	1149618.0
B11-T118F_S181_L099_R1_cmb	1001537.0	1097290.0
B12-T023G_S189_L099_R1_cmb	1807288.0	977430.0
B2-T010F_S109_L099_R1_cmb	1109103.0	1480489.0
B2-T040F_S205_L099_R1_cmb	1909441.0	1612547.0
B3-T006G_S117_L099_R1_cmb	2200319.0	1061498.0
B3-T036G_S213_L099_R1_cmb	1641933.0	895096.0
B4-T003FX_S221_L099_R1_cmb	1211764.0	1365129.0
B4-T127F_S125_L099_R1_cmb	1615189.0	1574819.0
B5-T011FX_S229_L099_R1_cmb	1074411.0	1209561.0
B5-T135F_S133_L099_R1_cmb	1645209.0	1482889.0
B6-T131G_S141_L099_R1_cmb	2395022.0	1337284.0
B7-T049F_S149_L099_R1_cmb	1278921.0	1649732.0
B8-T111F_S157_L099_R1_cmb	1493005.0	1464050.0
