Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94
A1-T001F_S100_L099_R1_cmb	68070.0	61178.0	56317.0	55281.0	63872.0	54671.0	57048.0	56102.0	53134.0	55130.0	52272.0	53615.0	53184.0	52035.0	50861.0	43789.0	44315.0	45841.0	45391.0	40901.0	40361.0	42608.0	40021.0	48027.0	41741.0	44894.0	44751.0	41131.0	42906.0	39405.0	38619.0	34168.0	53544.0	205266.0	200677.0	203589.0	172916.0	94091.0
A1-T030F_S196_L099_R1_cmb	80448.0	74228.0	70360.0	69573.0	73655.0	65570.0	62523.0	60645.0	58026.0	60728.0	55794.0	56214.0	56493.0	53624.0	52533.0	46086.0	49764.0	47281.0	49474.0	44619.0	43622.0	43562.0	44260.0	45363.0	43175.0	44668.0	42978.0	40995.0	41650.0	40251.0	37961.0	35350.0	51610.0	172121.0	198972.0	224019.0	161249.0	135043.0
A10-T015F_S172_L099_R1_cmb	97755.0	89559.0	80757.0	80486.0	86420.0	74927.0	74434.0	71346.0	68166.0	71410.0	65419.0	64269.0	65633.0	60383.0	60494.0	53394.0	55486.0	55557.0	55021.0	50184.0	47259.0	48018.0	48262.0	52321.0	47499.0	47228.0	48301.0	45654.0	46880.0	43764.0	40940.0	39282.0	55091.0	187570.0	209612.0	227832.0	167633.0	129697.0
A11-T027F_S180_L099_R1_cmb	95945.0	85065.0	78773.0	79257.0	84854.0	74044.0	72236.0	70131.0	65630.0	67879.0	64127.0	63827.0	63124.0	57023.0	56672.0	50043.0	53761.0	53908.0	50440.0	46551.0	45481.0	45706.0	47422.0	48865.0	46035.0	46791.0	45730.0	43255.0	43648.0	41899.0	39938.0	36584.0	50551.0	159470.0	186173.0	210231.0	145336.0	129761.0
A12-T021G_S188_L099_R1_cmb	80230.0	76163.0	74248.0	74332.0	76762.0	73300.0	70742.0	68402.0	66618.0	65596.0	63133.0	64789.0	63667.0	59779.0	59757.0	57336.0	55049.0	55361.0	57917.0	53367.0	51871.0	52732.0	54548.0	55097.0	52850.0	52676.0	51209.0	51044.0	52324.0	49999.0	46564.0	42738.0	58549.0	192295.0	218702.0	265612.0	202687.0	149306.0
A2-T009F_S108_L099_R1_cmb	77291.0	70567.0	64348.0	62757.0	71237.0	59999.0	63056.0	58621.0	54270.0	56264.0	52651.0	52066.0	53108.0	50590.0	47840.0	42540.0	43160.0	42829.0	43820.0	39004.0	38100.0	38930.0	38408.0	41074.0	39177.0	42335.0	39430.0	37890.0	37877.0	34602.0	33335.0	30042.0	48067.0	169069.0	163785.0	173161.0	147362.0	76215.0
A2-T039F_S204_L099_R1_cmb	92909.0	87839.0	80164.0	81098.0	85999.0	79868.0	77305.0	74063.0	69849.0	73444.0	68807.0	69196.0	68165.0	64906.0	64227.0	57245.0	60861.0	58396.0	59627.0	54322.0	52816.0	53548.0	54723.0	57114.0	52728.0	53421.0	53664.0	50517.0	52685.0	50011.0	46478.0	44447.0	63581.0	214449.0	246320.0	285769.0	206534.0	164698.0
A3-T005G_S116_L099_R1_cmb	88148.0	85811.0	82342.0	80094.0	85652.0	81306.0	77910.0	77219.0	74722.0	73123.0	72679.0	71945.0	70929.0	67711.0	67620.0	64425.0	63495.0	63710.0	63956.0	60850.0	60215.0	60209.0	62891.0	64665.0	60500.0	60076.0	59088.0	58963.0	59106.0	57998.0	54921.0	49669.0	67318.0	228506.0	256594.0	308028.0	236325.0	171574.0
A3-T035G_S212_L099_R1_cmb	61015.0	59642.0	56953.0	56981.0	61415.0	55918.0	55342.0	53829.0	52646.0	51610.0	49717.0	50231.0	49360.0	46988.0	47311.0	45891.0	43994.0	43028.0	44754.0	42220.0	41255.0	41483.0	41442.0	42795.0	41886.0	41434.0	40599.0	39586.0	40955.0	40224.0	36177.0	34587.0	46887.0	162924.0	197977.0	239139.0	173556.0	145377.0
A4-T002FX_S220_L099_R1_cmb	59042.0	54230.0	51945.0	50844.0	54814.0	50346.0	50960.0	49414.0	46464.0	48100.0	45585.0	46100.0	44853.0	43702.0	43159.0	40331.0	40068.0	38774.0	41650.0	34641.0	37230.0	35343.0	36748.0	39952.0	36852.0	38031.0	39041.0	36782.0	36414.0	35527.0	32896.0	31369.0	48390.0	182449.0	180816.0	195511.0	169383.0	89358.0
A4-T126F_S124_L099_R1_cmb	78508.0	72535.0	64280.0	64163.0	69121.0	58114.0	57819.0	56010.0	52367.0	53657.0	52820.0	51379.0	51469.0	48995.0	47572.0	41659.0	40771.0	43174.0	43284.0	36252.0	35068.0	36600.0	37076.0	38180.0	36632.0	38596.0	35807.0	35461.0	34637.0	34534.0	30321.0	28335.0	36398.0	104007.0	145209.0	152209.0	87517.0	102881.0
