Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A1-T001F_S100_L099_R1_cmb	61.05659260247946	38.0	63.498106129014396	18.181818181818183	2491722.0
A1-T030F_S196_L099_R1_cmb	47.66155022702006	36.0	62.255939771196445	18.181818181818183	2634487.0
A10-T015F_S172_L099_R1_cmb	52.446595879590426	36.0	60.9392970281162	18.181818181818183	2913943.0
A11-T027F_S180_L099_R1_cmb	49.0524474611998	36.0	60.233864959365164	18.181818181818183	2746166.0
A12-T021G_S188_L099_R1_cmb	33.950256036133524	34.0	63.03406663659614	18.181818181818183	3017351.0
A2-T009F_S108_L099_R1_cmb	53.65905501573332	37.0	60.803337392076756	27.27272727272727	2334877.0
A2-T039F_S204_L099_R1_cmb	44.68079274584604	35.0	62.79428230706608	18.181818181818183	3231793.0
A3-T005G_S116_L099_R1_cmb	37.28597461918136	34.0	63.51793427398775	18.181818181818183	3450293.0
A3-T035G_S212_L099_R1_cmb	35.118765626343176	35.0	64.3613805988225	18.181818181818183	2477128.0
A4-T002FX_S220_L099_R1_cmb	52.75524354142565	37.0	64.0346339077937	27.27272727272727	2237114.0
A4-T126F_S124_L099_R1_cmb	49.63512414760345	37.0	58.96912136727138	18.181818181818183	2133417.0
A5-T010FX_S228_L099_R1_cmb	53.88508746745113	36.0	63.85318313453857	27.27272727272727	2184749.0
A5-T134F_S132_L099_R1_cmb	52.55823600350772	36.0	62.122448176414814	18.181818181818183	2998297.0
A6-T130G_S140_L099_R1_cmb	33.831216640025445	34.0	63.55084531620599	18.181818181818183	3031410.0
A7-T046F_S148_L099_R1_cmb	53.57273128127854	36.0	63.16074827093278	27.27272727272727	2837368.0
A8-T110F_S156_L099_R1_cmb	49.43463396820555	36.0	61.26557864178629	18.181818181818183	2848403.0
A9-T055G_S164_L099_R1_cmb	33.785077994458746	34.0	63.600603731256	18.181818181818183	2966883.0
B1-T002F_S101_L099_R1_cmb	53.4382677072257	37.0	61.97677479577811	18.181818181818183	2643938.0
B1-T031F_S197_L099_R1_cmb	49.38773821570833	36.0	63.149192799190736	18.181818181818183	2712584.0
B10-T016F_S173_L099_R1_cmb	51.46154904040709	36.0	59.763545598441496	27.27272727272727	2233936.0
B11-T118F_S181_L099_R1_cmb	52.28113961911936	36.0	61.066184111410806	27.27272727272727	2098827.0
B12-T023G_S189_L099_R1_cmb	35.09981111069857	35.0	63.72730596060355	18.181818181818183	2784718.0
B2-T010F_S109_L099_R1_cmb	57.170753235509956	38.0	63.85371440752057	27.27272727272727	2589592.0
B2-T040F_S205_L099_R1_cmb	45.78515442293518	35.0	61.89656239601044	18.181818181818183	3521988.0
B3-T006G_S117_L099_R1_cmb	32.543155466060085	34.0	62.32600909247821	9.090909090909092	3261817.0
B3-T036G_S213_L099_R1_cmb	35.28130200591819	35.0	64.07611501484611	18.181818181818183	2537029.0
B4-T003FX_S221_L099_R1_cmb	52.97580889629503	36.0	63.381119045299904	27.27272727272727	2576893.0
B4-T127F_S125_L099_R1_cmb	49.36725476622092	36.0	59.510691509237596	18.181818181818183	3190008.0
B5-T011FX_S229_L099_R1_cmb	52.958667854061126	36.0	63.31580772443795	18.181818181818183	2283972.0
B5-T135F_S133_L099_R1_cmb	47.405464776825504	36.0	61.41932573723713	18.181818181818183	3128098.0
B6-T131G_S141_L099_R1_cmb	35.8299841613909	35.0	63.44030205454751	9.090909090909092	3732306.0
B7-T049F_S149_L099_R1_cmb	56.33074794514213	36.0	61.531737628186065	18.181818181818183	2928653.0
B8-T111F_S157_L099_R1_cmb	49.51042745169193	36.0	60.59721784004694	18.181818181818183	2957055.0
B9-T056G_S165_L099_R1_cmb	33.890530852781794	34.0	63.26562752948082	18.181818181818183	3070047.0
C1-T003F_S102_L099_R1_cmb	59.015739299458104	39.0	65.47980459275884	27.27272727272727	2265218.0
C1-T033F_S198_L099_R1_cmb	44.17959329155311	35.0	61.43165704606411	18.181818181818183	2944722.0
C10-T017F_S174_L099_R1_cmb	43.5740187768754	36.0	60.73668121632652	18.181818181818183	2395245.0
C11-T119F_S182_L099_R1_cmb	54.23861332814304	36.0	62.249763243740865	27.27272727272727	2498350.0
C12-T025G_S190_L099_R1_cmb	38.18195305388501	35.0	64.33821119642411	18.181818181818183	2609476.0
C2-T011F_S110_L099_R1_cmb	55.27478996930898	37.0	61.577540271355	27.27272727272727	2016694.0
C2-T041F_S206_L099_R1_cmb	50.04320921664102	36.0	62.42764324714752	27.27272727272727	2984946.0
