Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
F3-T010G_S121_L099_R1_cmb	F3-T010G_S121_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2859207.0	182.9 Mbp	0.0	20-95	35.0	61.92048331012623	63.4950585949181	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
F3-T040G_S217_L099_R1_cmb	F3-T040G_S217_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2894518.0	186.5 Mbp	0.0	20-95	35.0	61.809292679731634	63.949912904324655	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
F4-T007FX_S225_L099_R1_cmb	F4-T007FX_S225_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2075901.0	138 Mbp	0.0	20-95	38.0	43.28174532980869	66.00940218247402	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
F4-T131F_S129_L099_R1_cmb	F4-T131F_S129_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3248282.0	207.6 Mbp	0.0	20-95	37.0	44.15589030619624	63.44807316606132	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
F5-T127G_S137_L099_R1_cmb	F5-T127G_S137_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2418975.0	156.2 Mbp	0.0	20-95	35.0	62.47482064045651	64.11498258559928	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
F6-T135G_S145_L099_R1_cmb	F6-T135G_S145_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2720360.0	176.3 Mbp	0.0	20-95	35.0	61.99884582907574	64.33067241100443	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
F7-T056F_S153_L099_R1_cmb	F7-T056F_S153_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2470318.0	157 Mbp	0.0	20-95	37.0	46.74388356912782	63.095411198072476	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
F8-T049G_S161_L099_R1_cmb	F8-T049G_S161_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2767497.0	176.3 Mbp	0.0	20-95	34.0	65.56441817504049	63.22801433931094	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
F9-T111G_S169_L099_R1_cmb	F9-T111G_S169_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1819737.0	119.2 Mbp	0.0	20-95	35.0	67.87869779583072	65.04396624347365	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G1-T007F_S106_L099_R1_cmb	G1-T007F_S106_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2449512.0	160.4 Mbp	0.0	20-95	38.0	37.11193206672459	65.00088507425153	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
G1-T037F_S202_L099_R1_cmb	G1-T037F_S202_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2273441.0	143.7 Mbp	0.0	20-95	37.0	48.171376296513884	62.740946433182124	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
G10-T025F_S178_L099_R1_cmb	G10-T025F_S178_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2611444.0	167.3 Mbp	0.0	20-95	36.0	54.85622332379319	63.58246625238757	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
G11-T017G_S186_L099_R1_cmb	G11-T017G_S186_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2687550.0	172.4 Mbp	0.0	20-95	34.0	64.26617113220833	63.66136220721475	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
G12-T119G_S194_L099_R1_cmb	G12-T119G_S194_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2979977.0	190.1 Mbp	0.0	20-95	34.0	63.53008044913145	63.32610151017944	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G2-T003G_S114_L099_R1_cmb	G2-T003G_S114_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2708178.0	171.8 Mbp	0.0	20-95	35.0	62.54579026252862	62.969976124169094	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
G2-T033G_S210_L099_R1_cmb	G2-T033G_S210_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2345489.0	150.7 Mbp	0.0	20-95	34.0	66.28501809744436	63.80752755608745	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G3-T011G_S122_L099_R1_cmb	G3-T011G_S122_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2947229.0	187.4 Mbp	0.0	20-95	35.0	63.25420369196776	63.10106476286709	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G3-T041G_S218_L099_R1_cmb	G3-T041G_S218_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2975813.0	195.1 Mbp	0.0	20-95	35.0	60.693603567018485	65.09343631471467	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G4-T008FX_S226_L099_R1_cmb	G4-T008FX_S226_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1961787.0	124.5 Mbp	0.0	20-95	37.0	44.12772633638282	62.99590220548918	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
G4-T132F_S130_L099_R1_cmb	G4-T132F_S130_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2393614.0	147.3 Mbp	0.0	20-95	36.0	47.042611146545426	61.066562110682845	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
G5-T128G_S138_L099_R1_cmb	G5-T128G_S138_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2934743.0	190.3 Mbp	0.0	20-95	35.0	63.1781123054464	64.38048306103805	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
G6-T136G_S146_L099_R1_cmb	G6-T136G_S146_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2647980.0	170.6 Mbp	0.0	20-95	35.0	61.863375792477626	63.960603932053864	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
G7-T057F_S154_L099_R1_cmb	G7-T057F_S154_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3287660.0	202.7 Mbp	0.0	20-95	36.0	44.87061118888821	61.1890463125749	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
G8-T051G_S162_L099_R1_cmb	G8-T051G_S162_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	775980.0	55.3 Mbp	0.0	20-95	39.0	45.18219723466246	70.86736771566278	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
G9-T112G_S170_L099_R1_cmb	G9-T112G_S170_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3397149.0	217.2 Mbp	0.0	20-95	34.0	65.09283190102634	63.462113672376454	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H1-T008F_S107_L099_R1_cmb	H1-T008F_S107_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2771615.0	177 Mbp	0.0	20-95	37.0	39.802984764811654	63.39457031369797	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
H1-T038F_S203_L099_R1_cmb	H1-T038F_S203_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2409839.0	155.5 Mbp	0.0	20-95	37.0	45.70835903584479	64.05381106372667	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
H10-T026F_S179_L099_R1_cmb	H10-T026F_S179_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2549863.0	154.9 Mbp	0.0	20-95	36.0	50.388984993947176	60.26421184196955	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
H11-T019G_S187_L099_R1_cmb	H11-T019G_S187_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2788151.0	180.3 Mbp	0.0	20-95	35.0	62.562278092796866	64.1831270974922	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
H12-T029F_S195_L099_R1_cmb	H12-T029F_S195_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2677137.0	174.9 Mbp	0.0	20-95	37.0	48.602336130515965	64.84922437663818	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
H2-T004G_S115_L099_R1_cmb	H2-T004G_S115_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2454129.0	156.9 Mbp	0.0	20-95	35.0	63.749711148704144	63.47991568495381	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H2-T034G_S211_L099_R1_cmb	H2-T034G_S211_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2956981.0	190.5 Mbp	0.0	20-95	35.0	67.07531751982941	63.94682955352097	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H3-T001FX_S219_L099_R1_cmb	H3-T001FX_S219_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2366930.0	155.8 Mbp	0.0	20-95	38.0	40.201283690890676	65.34250442556392	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
H3-T012G_S123_L099_R1_cmb	H3-T012G_S123_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2611516.0	167.2 Mbp	0.0	20-95	35.0	60.86124668248913	63.54309757244451	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H4-T009FX_S227_L099_R1_cmb	H4-T009FX_S227_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2368889.0	147.4 Mbp	0.0	20-95	36.0	46.64769767724248	61.7664947576691	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
H4-T133F_S131_L099_R1_cmb	H4-T133F_S131_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2339297.0	146.6 Mbp	0.0	20-95	36.0	54.090672281395854	62.20472218790517	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H5-T129G_S139_L099_R1_cmb	H5-T129G_S139_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3067858.0	196.4 Mbp	0.0	20-95	35.0	65.49198771275067	63.54908473599495	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H6-T137G_S147_L099_R1_cmb	H6-T137G_S147_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3305143.0	211 Mbp	0.0	20-95	35.0	67.92641743511953	63.370585781008565	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H7-T058F_S155_L099_R1_cmb	H7-T058F_S155_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3241517.0	201 Mbp	0.0	20-95	36.0	57.17527393282401	61.53139656525016	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
H8-T052G_S163_L099_R1_cmb	H8-T052G_S163_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2547111.0	163.9 Mbp	0.0	20-95	35.0	64.12619725821492	63.874660350491204	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
H9-T014F_S171_L099_R1_cmb	H9-T014F_S171_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2347893.0	145.1 Mbp	0.0	20-95	37.0	48.59116831524359	61.3305393388881	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
