Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D4-T005FX_S223_L099_R1_cmb	D4-T005FX_S223_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2620366.0	166.3 Mbp	0.0	20-95	36.0	43.48250440975842	62.984371648846	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
D4-T129F_S127_L099_R1_cmb	D4-T129F_S127_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3141474.0	193.7 Mbp	0.0	20-95	36.0	43.818829140133076	61.19258857466272	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
D5-T137F_S135_L099_R1_cmb	D5-T137F_S135_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2728794.0	168.1 Mbp	0.0	20-95	36.0	49.25894598568914	61.12692786630284	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
D6-T133G_S143_L099_R1_cmb	D6-T133G_S143_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3641719.0	236 Mbp	0.0	20-95	35.0	60.633571093431385	64.34050238362707	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
D7-T052F_S151_L099_R1_cmb	D7-T052F_S151_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3130800.0	193.6 Mbp	0.0	20-95	35.0	47.83578661130769	61.35504727226268	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
D8-T046G_S159_L099_R1_cmb	D8-T046G_S159_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3016761.0	193.4 Mbp	0.0	20-95	35.0	63.70265301822109	63.653520447924116	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
D9-T058G_S167_L099_R1_cmb	D9-T058G_S167_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3503711.0	220.6 Mbp	0.0	20-95	34.0	63.68985988672973	62.49474457225496	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
E1-T005F_S104_L099_R1_cmb	E1-T005F_S104_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1867874.0	120.3 Mbp	0.0	20-95	38.0	40.88539427736922	63.949923817131136	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
E1-T035F_S200_L099_R1_cmb	E1-T035F_S200_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2572913.0	166.4 Mbp	0.0	20-95	36.0	54.431173970250725	64.2227980503033	pass	pass	fail	pass	fail	pass	pass	warn	warn	warn	pass
E10-T021F_S176_L099_R1_cmb	E10-T021F_S176_L099_R1_cmb.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2702994.0	167.9 Mbp	0.0	20-95	35.0	60.9051289295386	61.65368994529769	pass	pass	fail	pass	fail	pass	pass	warn	warn	pass	pass
