"sample.1" "tissue" "treatment" "day"
"T001G" "G" "control" "0"
"T002G" "G" "control" "0"
"T003G" "G" "control" "0"
"T004G" "G" "control" "0"
"T005G" "G" "control" "0"
"T006G" "G" "control" "0"
"T007G" "G" "control" "0"
"T008G" "G" "control" "0"
"T009G" "G" "control" "0"
"T010G" "G" "control" "0"
"T011G" "G" "control" "0"
"T012G" "G" "control" "0"
"T029G" "G" "OW" "3"
"T030G" "G" "OW" "3"
"T031G" "G" "OW" "3"
"T033G" "G" "OW" "3"
"T034G" "G" "OW" "3"
"T035G" "G" "OW" "3"
"T036G" "G" "OW" "3"
"T037G" "G" "OW" "3"
"T038G" "G" "OW" "3"
"T039G" "G" "OW" "3"
"T040G" "G" "OW" "3"
"T041G" "G" "OW" "3"
