"gene" "baseMean" "log2FoldChange.x" "lfcSE" "pvalue" "padj"
"MT_Pool_HQ_transcript/128864" 99.9178774789048 2.46344665776587 0.0337411190180672 9.16499729971966e-05 0.049332125465291
"MT_Pool_HQ_transcript/227208" 70.4900610191479 3.33442612295079 0.0340127864864216 9.85178725813284e-07 0.00159086660644329
"MT_Pool_HQ_transcript/244317" 126.616862092322 -5.62730100950338 1.42693838682667 3.78655276881552e-07 0.00101908756851388
"MT_Pool_HQ_transcript/280411" 40.9273622335399 1.29332493069553 0.326497171750983 2.99568614593885e-06 0.00403119499038505
"MT_Pool_HQ_transcript/308150" 71.5076350456985 -0.00483714618408843 0.0340152485168209 1.60214336233523e-07 0.000646785275374734
"MT_Pool_HQ_transcript/311816" 567.392817097192 0.360178025210174 0.0335385117212215 8.86408434896639e-06 0.00795206855928385
"MT_Pool_HQ_transcript/357917" 26.1098920791168 1.94838309229321 0.620108440880988 5.85220730339473e-05 0.0379711627723643
"MT_Pool_HQ_transcript/369402" 395.227855932131 5.27866654710403 1.04577691878512 1.45270995058599e-07 0.000646785275374734
"MT_Pool_HQ_transcript/379436" 53.2649492915433 0.000475109690481745 0.0334861647205505 4.23082331786896e-05 0.0341596674684739
"MT_Pool_HQ_transcript/386898" 140.780298117466 -1.61447619846067 0.434260480757629 7.1471198579079e-06 0.00721323071659355
"MT_Pool_HQ_transcript/396492" 59.5355290727877 -1.4090425116242 0.452377012464529 6.11376165519861e-05 0.0379711627723643
"MT_Pool_HQ_transcript/44270" 383.014247514709 4.82305362492285 0.0336493913670689 8.37853975279181e-07 0.00159086660644329
"MT_Pool_HQ_transcript/66231" 21.4279028868693 -0.20634986318701 0.452461476421983 5.47547963004009e-05 0.0379711627723643
"MT_Pool_HQ_transcript/85044" 17.4300746109105 -0.00814793356060394 0.0349472560706761 6.90901386539045e-05 0.0398452699636875
"MT_Pool_HQ_transcript/89594" 171.587100729896 0.46466977925039 1.27924918259277 6.46682255404943e-06 0.00721323071659355
