"transcript" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "species" "geneID" "uniprot_accession" "protein.names" "GO.IDs" "GOterm.BP"
"MT_Pool_HQ_transcript/129415" 19.0394272532777 -1.75607307181818 0.37732320962983 1.4398976932288e-07 0.000200639458567911 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/154" 33.0095596127636 -0.778331184405314 0.253323200092155 0.00010635722265405 0.0266002140966053 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/158658" 41.7248615400608 -1.93851243595204 0.506339998812509 5.00111797284164e-06 0.00295641846709681 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/198103" 126.478473184384 -0.763831934152198 0.216821824059183 2.32759511994056e-05 0.00856730671694347 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/200920" 16.9225824412052 -1.9446673804056 0.514138726318606 6.03460951101455e-06 0.00336351892402491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/203008" 13.2750444406546 -1.87437214135645 0.514659084821422 1.02547868391963e-05 0.00487927760144005 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/244829" 11.8918526023894 -0.063271267676123 0.178175870481828 4.81498205509049e-05 0.0148558374140003 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/265256" 14.1973025196268 6.06345074298834 1.19736533733973 4.4510079952915e-09 1.08537829965183e-05 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/27484" 28.2177561543611 1.21823953404188 0.335004447778543 1.19140598503827e-05 0.00540510417584341 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/286391" 248.277614780087 -0.619271982113092 0.185566907656956 5.42533321696527e-05 0.0155744702411491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/299499" 124.233829436735 -0.782752392872216 0.23892035181476 5.42887008610898e-05 0.0155744702411491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/304178" 23.8773941033878 -1.11689839349137 0.343340657467905 4.82308009764583e-05 0.0148558374140003 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/318882" 14.9973193387188 -1.18735975046052 0.330436846990228 1.40363557699648e-05 0.00608491618578829 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/326130" 24.3521074532769 0.23621897057636 0.355745598345466 5.53206190550984e-05 0.0156405019786501 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/328500" 54.4419930137945 -1.71202835244799 0.479626284727146 1.32442773969208e-05 0.00587203098770753 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/328730" 319.650662235434 -0.561874460213252 0.192966111936284 0.000238841084571646 0.0489333998085723 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/330857" 22.5518744212228 0.42748342125387 0.409972755879179 1.83128523208855e-05 0.0074426483974132 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/331963" 36.6516475316191 3.95769171564626 1.48518951865733 0.000160941004378447 0.03538276888832 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/341266" 10.1856554153852 -0.0851180577079926 0.195078873161002 3.81907893172346e-05 0.0130706301403616 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/343099" 54.8114261453878 -1.43884790039306 0.468552533191273 7.59152223382853e-05 0.0200128940185847 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/346564" 71.9218122804831 -2.06201759266901 0.563149630083302 9.07084533497506e-06 0.00453728335371009 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/348042" 33.5605540612153 2.32341299457892 0.193995770583643 2.18114718131871e-05 0.00818265754099335 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/348747" 101.539225649628 2.69625370103997 1.04137934809936 0.000244579221648573 0.0489333998085723 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/349599" 34.9825937261566 1.3016422871773 0.605929003862623 3.18186282184516e-09 8.86739713265078e-06 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/353820" 56.4890702270237 -1.96646800920583 0.715259934056811 0.00017893476112224 0.0371346736167305 NA NA NA NA NA NA
