group,off,on,n,frac_on,table,p,odds_ratio
control,7,5,12,0.4166666666666667,"counts (rule gap, threshold 4.97)",NA,NA
day0_lab,0,12,12,1,"counts (rule gap, threshold 4.97)",NA,NA
DO,6,4,10,0.4,"counts (rule gap, threshold 4.97)",NA,NA
OA,10,2,12,0.16666666666666666,"counts (rule gap, threshold 4.97)",NA,NA
OW,8,4,12,0.3333333333333333,"counts (rule gap, threshold 4.97)",NA,NA
control,10,2,12,0.16666666666666666,"counts (alternative rule day0_range, threshold 7.28)",NA,NA
day0_lab,0,12,12,1,"counts (alternative rule day0_range, threshold 7.28)",NA,NA
DO,6,4,10,0.4,"counts (alternative rule day0_range, threshold 7.28)",NA,NA
OA,10,2,12,0.16666666666666666,"counts (alternative rule day0_range, threshold 7.28)",NA,NA
OW,8,4,12,0.3333333333333333,"counts (alternative rule day0_range, threshold 7.28)",NA,NA
"day3_arms (control, OA, OW, DO)",NA,NA,46,NA,fisher_exact_on_by_arm_day3,0.6136626203771683,NA
day0 vs day3,NA,NA,58,NA,fisher_exact_on_day0_vs_day3,1.949311681094873e-5,0
