group,gene,n,n_on,median,q25,q75,unit
day0_lab,ACDC,12,NA,66.86721146870299,28.927502551420222,76.55328174222714,CPM
control,ACDC,12,NA,32.28095873958925,8.518316242186861,69.13437530048392,CPM
OA,ACDC,12,NA,34.69202176497572,11.782878475400851,48.17451564433667,CPM
OW,ACDC,12,NA,12.132426799447764,3.8880853512496314,20.824012863306258,CPM
DO,ACDC,10,NA,30.728496692404427,24.686001630918753,107.75646145823782,CPM
day0_lab,FP10,12,NA,8149.444579261302,3534.083770628203,11883.614973388947,CPM
control,FP10,12,NA,55.372975084861544,0,260.92118681621974,CPM
OA,FP10,12,NA,0,0,22.05885078058783,CPM
OW,FP10,12,NA,17.285670807231853,0,1882.2653597447174,CPM
DO,FP10,10,NA,80.6248357555327,5.876414431852751,1012.859616557959,CPM
day0_lab,FP12,12,NA,13804.833987915647,8370.348435059024,16924.58969705292,CPM
control,FP12,12,NA,46.68546085740384,2.79286337759215,271.3647399945917,CPM
OA,FP12,12,NA,1.285024411180398,0,100.0165722941386,CPM
OW,FP12,12,NA,18.13334109950437,0,2128.0677941821464,CPM
DO,FP12,10,NA,69.08974694448257,10.623195794072696,1248.8190809286662,CPM
day0_lab,FP15,12,NA,964.0313769610887,695.2236802722749,1074.3550830676454,CPM
control,FP15,12,NA,0,0,30.808819244875508,CPM
OA,FP15,12,NA,0,0,6.271330362395095,CPM
OW,FP15,12,NA,0,0,147.03594083764426,CPM
DO,FP15,10,NA,0,0,68.02651880739585,CPM
day0_lab,mfp2,12,NA,7114.514980893695,4329.366683619286,11320.49969996392,CPM
control,mfp2,12,NA,36.581606295314415,0,243.18066038085954,CPM
OA,mfp2,12,NA,0,0,43.829992318241935,CPM
OW,mfp2,12,NA,14.879150513382005,0,1906.546017407878,CPM
DO,mfp2,10,NA,57.186147809728965,0,979.6221004652416,CPM
day0_lab,mfp4,12,NA,934.4118032332437,242.616527250303,1484.4371337778239,CPM
control,mfp4,12,NA,0,0,17.464421815875003,CPM
OA,mfp4,12,NA,0,0,0.6271330362395098,CPM
OW,mfp4,12,NA,0,0,175.63453136997947,CPM
DO,mfp4,10,NA,3.2168171524366933,0,72.28422019391974,CPM
day0_lab,module_score,12,12,11.386292463058664,10.283560424259845,11.721945085806926,mean log2(CPM+1)
control,module_score,12,5,2.2996400084093334,0.3518753100221831,5.994302722307025,mean log2(CPM+1)
OA,module_score,12,2,0.38584959294738985,0,2.7572740125624695,mean log2(CPM+1)
OW,module_score,12,4,1.7006039667396105,0.44046128741071777,8.699650799930946,mean log2(CPM+1)
DO,module_score,10,4,2.966813632335062,1.0870247153947097,7.666972969250593,mean log2(CPM+1)
day0_lab,preColD,12,NA,10848.84664431357,1556.6650040628772,30710.645215868106,CPM
control,preColD,12,NA,8.203467952299931,6.673278509552257,40.63177107413212,CPM
OA,preColD,12,NA,11.231291928171151,8.448080393402655,15.21773939816665,CPM
OW,preColD,12,NA,10.58581101493058,9.084913633136642,45.02142939922812,CPM
DO,preColD,10,NA,6.730659522415317,0,10.193702595565478,CPM
day0_lab,tyrosinase1,12,NA,354.82122089247207,248.49162855101088,580.2382751091104,CPM
control,tyrosinase1,12,NA,0,0,12.162010702835648,CPM
OA,tyrosinase1,12,NA,0,0,0,CPM
OW,tyrosinase1,12,NA,1.5392224669015868,0,25.569227959945266,CPM
DO,tyrosinase1,10,NA,1.3786359224728686,0,20.44548482381088,CPM
