sample,mussel,treatment,n_plaques,max_force,pad_area,adhesion_kpa,max_displacement
T046F,T046,DO,3,0.152,1.34,121.1,0.146
T049F,T049,DO,3,0.113,2.07,62,0.14
T052F,T052,DO,3,0.218,2.79,81,0.095
T055F,T055,DO,3,0.168,2.5,70.2,0.095
T056F,T056,DO,3,0.137,3.11,45.5,0.096
T057F,T057,DO,3,0.122,2.07,59.9,0.142
T058F,T058,DO,3,0.085,4.01,21.2,0.125
T110F,T110,DO,3,0.118,2.09,57.4,0.15
T111F,T111,DO,3,0.073,2.92,24.5,0.134
T112F,T112,DO,3,0.208,2.16,124.9,0.121
T014F,T014,OA,3,0.212,4.68,46.1,0.168
T015F,T015,OA,3,0.293,3.16,92.5,0.139
T016F,T016,OA,3,0.145,2.43,55.5,0.094
T017F,T017,OA,3,0.122,3.97,33.4,0.111
T019F,T019,OA,3,0.113,2.35,50.5,0.127
T021F,T021,OA,3,0.087,2.71,32.1,0.139
T023F,T023,OA,3,0.178,3.41,52.2,0.101
T025F,T025,OA,3,0.26,3.1,82.7,0.087
T026F,T026,OA,3,0.128,3.27,39.8,0.109
T027F,T027,OA,3,0.093,2.98,34,0.163
T118F,T118,OA,3,0.173,3.52,52.3,0.111
T119F,T119,OA,3,0.212,2.95,67.8,0.115
T029F,T029,OW,3,0.273,3.18,87.6,0.114
T030F,T030,OW,3,0.213,1.62,134.7,0.113
T031F,T031,OW,3,0.21,4.13,53.3,0.119
T033F,T033,OW,3,0.055,4.14,13,0.179
T034F,T034,OW,3,0.137,3.62,40,0.092
T035F,T035,OW,3,0.108,2.9,42.1,0.101
T036F,T036,OW,3,0.088,3.29,25.9,0.152
T037F,T037,OW,3,0.063,2.43,25.1,0.127
T038F,T038,OW,3,0.065,3.28,21.7,0.134
T039F,T039,OW,3,0.173,2.35,72.8,0.225
T040F,T040,OW,3,0.078,2.43,33.1,0.243
T041F,T041,OW,3,0.082,1.83,45.7,0.122
T126F,T126,control,3,0.18,3.57,51.1,0.133
T127F,T127,control,3,0.242,2.6,95,0.131
T128F,T128,control,3,0.243,4.43,54.9,0.11
T129F,T129,control,3,0.317,4.54,71.3,0.12
T130F,T130,control,3,0.225,2.24,101.1,0.092
T131F,T131,control,4,0.178,2.88,61.2,0.168
T132F,T132,control,3,0.33,3.51,94,0.21
T133F,T133,control,3,0.223,2.28,96.2,0.14
T134F,T134,control,3,0.192,3.41,56.5,0.14
T135F,T135,control,3,0.178,2.37,80.5,0.161
T136F,T136,control,3,0.268,2.34,113.2,0.16
T137F,T137,NA,NA,NA,NA,NA,NA
