sample,ecm_adhesion,byssal_accessory,crosslink_curing,byssal_structural,collagen_biosynth,collagen,mussel,treatment,n_plaques,max_force,pad_area,adhesion_kpa,max_displacement
T025F,5.667580306827821,6.674853284460925,6.625377610803433,4.941586709861716,6.330366761586633,6.21765270373008,T025,OA,3,0.26,3.1,82.7,0.087
T026F,5.544000731912968,7.270011770850489,6.160200626621649,4.61687771349574,6.179175324607416,6.356784789417619,T026,OA,3,0.128,3.27,39.8,0.109
T027F,5.604178730181129,7.4403855208303895,6.381608632184573,5.024167311472676,6.297072847430252,6.568835692850981,T027,OA,3,0.198,2.98,66.1,0.183
T118F,5.512249778462722,7.304839005738361,6.73465877981153,9.443604519823763,6.200094951626002,6.346148353597013,T118,OA,3,0.173,3.52,52.3,0.111
T119F,5.505685652857242,7.432752105147371,6.761072302469342,5.087571485143058,6.210714332048353,6.1104865673580075,T119,OA,3,0.212,2.95,67.8,0.115
T029F,5.674890688704469,6.968621918829631,6.911866782108496,9.513783220664912,6.618825428903715,7.099118499999216,T029,OW,4,0.101,2.9,36.2,0.107
T030F,5.596215586152801,5.859360861428382,6.860904785123533,5.774089192851098,6.189491887953613,6.543130571202604,T030,OW,3,0.213,1.62,134.7,0.113
T031F,5.603427752165594,6.434050134709195,6.791148421998264,8.923086556420035,6.544216326139613,6.654024727183392,T031,OW,3,0.157,4.13,38.6,0.127
T033F,5.586292005314067,7.286519125557563,6.317320230437061,4.769916247436245,6.182030893053167,6.3002250469375385,T033,OW,3,0.183,4.14,45.2,0.17
T034F,5.530699984102884,7.036334760471081,6.818701285534216,5.0132564126170776,6.322506148012021,6.444725881022713,T034,OW,3,0.137,3.62,40,0.092
T035F,5.795699500717798,6.249328588609457,6.590448322828708,4.7609322126716584,5.848073506083478,6.1528684072857,T035,OW,3,0.108,2.9,42.1,0.101
T036F,5.252454159378572,5.492742229184145,6.319012348429008,4.76045287199076,5.996725828378358,6.07178300507494,T036,OW,3,0.205,3.29,65.1,0.143
T037F,5.314515445960331,6.925774874553874,6.630976930230709,7.760820851514792,6.155948021113894,6.771789712366484,T037,OW,3,0.17,2.43,71.3,0.113
T038F,5.369471950818163,7.2300407103255715,6.580033449991928,5.7509683504217115,6.522905596607879,6.43958659704399,T038,OW,3,0.178,3.28,55.2,0.108
T039F,5.766975623537073,6.717923007438188,6.508125829748017,4.604750573124305,6.3311494858504105,6.450828228196162,T039,OW,3,0.173,2.35,72.8,0.225
T040F,5.48468151157975,6.505390892636345,6.535737703700365,9.699190273477432,6.289326352218664,6.6573360831937665,T040,OW,3,0.078,2.43,33.1,0.243
T041F,5.562635762917936,6.730362769636463,6.639321173160674,5.070412792391126,6.168245310363358,6.6845240849661485,T041,OW,3,0.14,1.83,77.2,0.141
T126F,5.519249115428478,6.356660678838406,6.763961855296164,9.915956031624075,6.189620578014637,6.576090830939495,T126,control,3,0.18,3.57,51.1,0.133
T127F,5.751790623405781,7.497816192443101,6.7818584538442614,6.709185854765051,6.34839911126186,7.106302965386499,T127,control,3,0.117,2.6,43,0.099
T128F,5.660270880217225,5.540390644199908,6.702527347988769,7.06406850319719,5.832963142958823,7.005449550300134,T128,control,3,0.243,4.43,54.9,0.11
T129F,5.5046870577156986,5.48207583561024,6.755717667340509,5.347002486268594,6.246017168247993,6.77328131122131,T129,control,3,0.317,4.54,71.3,0.12
T130F,5.270730318469504,6.712083804214796,6.685103995570128,5.199022331340536,5.927588286487531,6.414840887665523,T130,control,3,0.225,2.24,101.1,0.092
T131F,5.667160586442639,7.357825888365478,6.792261804869667,5.077137456678394,6.310050454789251,7.181379360688914,T131,control,4,0.178,2.88,61.2,0.168
T132F,5.41354807492064,5.811293661312905,6.615267955348894,4.7788940601961984,6.3479497896593085,6.327467637476801,T132,control,3,0.33,3.51,94,0.21
T133F,5.598551231115047,7.637453511343051,6.958513445938975,9.423031526035972,5.98445814331041,6.746053445193726,T133,control,3,0.223,2.28,96.2,0.14
T134F,5.741769767172373,7.036406215462177,6.603584102603748,4.832246467804461,6.459199796511079,6.4457121392206815,T134,control,5,0.191,3.26,59.2,0.138
T135F,5.633117086120907,6.411237956705358,6.561566915862425,4.682441054006364,6.0435380775131,6.306269411073511,T135,control,3,0.178,2.37,80.5,0.161
T136F,5.616254654090398,6.843601703151895,6.560572091604964,6.395606455500229,6.41275732075236,6.846218113158155,T136,NA,NA,NA,NA,NA,NA
T137F,5.664548014757169,7.032373019889281,6.623704145028744,5.838389123216388,6.130989070225333,6.581664368044785,T137,NA,NA,NA,NA,NA,NA
