sample,ecm_adhesion,byssal_accessory,crosslink_curing,byssal_structural,collagen_biosynth,collagen,mussel,treatment,n_plaques,max_force,pad_area,adhesion_kpa,max_displacement
T046F,5.6748593805864305,8.335565181080032,6.469035531848825,5.444369276699727,6.414886604861492,6.741055702516783,T046,DO,3,0.152,1.34,121.1,0.146
T049F,5.561783758281051,6.879661921058583,6.809176342129733,9.602309623477035,6.516197069503832,6.83188047066903,T049,DO,3,0.113,2.07,62,0.14
T052F,5.625152251287613,7.7173372162586364,6.597862106109086,5.52380419143994,6.43990136693079,6.741504249668948,T052,DO,3,0.218,2.79,81,0.095
T055F,5.367805441318733,7.361994198287421,6.697356757505926,5.978768782438079,6.359497706381453,6.7191219220394425,T055,DO,3,0.168,2.5,70.2,0.095
T056F,5.448712109948579,5.468565521658841,6.849769836329076,5.225351619151332,6.045002929439574,6.685310542762356,T056,DO,3,0.137,3.11,45.5,0.096
T057F,5.454600903148216,8.092849832209547,7.060271138086249,8.325486808031306,6.633976220844044,6.877336516000188,T057,DO,3,0.122,2.07,59.9,0.142
T058F,5.659288405099508,7.706039780545046,6.428802400847364,7.650074236431996,6.201112859683136,7.039207268560584,T058,DO,3,0.085,4.01,21.2,0.125
T110F,5.830274669465558,6.132516782632044,6.918522193862774,4.937210118037268,6.289510865582367,6.659228760424794,T110,DO,3,0.118,2.09,57.4,0.15
T111F,5.69486803966707,7.008135153613521,6.6848238675911205,5.301384031782792,6.28953649412063,7.01777727613956,T111,DO,3,0.073,2.92,24.5,0.134
T112F,5.617641614935709,7.509873057004603,7.136534677824235,7.447890878913874,6.408938739174127,6.984705666265195,T112,DO,3,0.067,2.16,34.4,0.132
T014F,5.507331850620443,6.054197245140472,6.675032394617491,5.522415898967362,6.437007632574907,6.779263474007334,T014,OA,3,0.212,4.68,46.1,0.168
T015F,5.3766972086595635,7.513769317977011,6.9412296933562585,9.934391765751549,6.226467377385085,7.1919415391604575,T015,OA,3,0.293,3.16,92.5,0.139
T016F,5.500378785404776,5.833958449496287,6.788241129416851,4.597676242640362,6.161156469087498,6.32169652319192,T016,OA,3,0.145,2.43,55.5,0.094
T017F,5.618682820003533,6.668638289166795,6.434529588359924,6.009248641176869,6.017326272378807,6.746305301689945,T017,OA,3,0.313,3.97,78.8,0.113
T019F,5.5517185589646205,7.412083665181335,6.481160292659971,4.863910373516211,6.608325529935815,6.680277662691668,T019,OA,3,0.19,2.35,77.9,0.111
T021F,5.838031269918484,5.953778345673724,6.136183251626089,4.7280653866212665,5.7650683331850585,6.808842902305201,T021,OA,3,0.087,2.71,32.1,0.139
T023F,5.539795743726531,6.933492964858342,6.466536597231741,4.849115783937822,6.284804374003601,6.604670879963882,T023,OA,3,0.263,3.41,74.3,0.131
