"...1" "sample.1" "tissue" "treatment" "day"
"T126F" "T126F" "F" "control" 3
"T126G" "T126G" "G" "control" 3
"T127F" "T127F" "F" "control" 3
"T127G" "T127G" "G" "control" 3
"T128F" "T128F" "F" "control" 3
"T128G" "T128G" "G" "control" 3
"T129F" "T129F" "F" "control" 3
"T129G" "T129G" "G" "control" 3
"T130F" "T130F" "F" "control" 3
"T130G" "T130G" "G" "control" 3
"T131F" "T131F" "F" "control" 3
"T131G" "T131G" "G" "control" 3
"T132F" "T132F" "F" "control" 3
"T132G" "T132G" "G" "control" 3
"T133F" "T133F" "F" "control" 3
"T133G" "T133G" "G" "control" 3
"T134F" "T134F" "F" "control" 3
"T134G" "T134G" "G" "control" 3
"T135F" "T135F" "F" "control" 3
"T135G" "T135G" "G" "control" 3
"T136F" "T136F" "F" "control" 3
"T136G" "T136G" "G" "control" 3
"T137F" "T137F" "F" "control" 3
"T137G" "T137G" "G" "control" 3
