"contrast","estimate","SE","df","t.ratio","p.value"
"control - OA",27.8879049019643,9.52018616701041,117.877100646962,2.9293444910355,0.0209740661595802
"control - OW",28.9346818449159,8.64051297055354,107.003538834676,3.34872269083143,0.00608578480191913
"control - DO",7.58572716905788,9.39389360598242,119.333015363663,0.807516828190067,0.850794803452726
"OA - OW",1.04677694295165,8.13904667765035,122.547473643369,0.128611738500785,0.999236106538257
"OA - DO",-20.3021777329064,8.93481133025118,135.532523408134,-2.27225589690607,0.109695557147777
"OW - DO",-21.3489546758581,7.99095571549188,124.848307421809,-2.67163971819658,0.042001540418624
