"metric","n_a","n_b","mean_a","mean_b","median_a","median_b","diff_a_minus_b","welch_p","wilcoxon_p","comparison","unit"
"adhesion_kpa",12,61,77.0207357148101,77.3316811379503,81.0515390916134,79.3265364963839,-0.310945423140112,0.966207063888175,1,"lab_day0_vs_pre_day1","per-mussel mean"
"adhesion_kpa",11,61,79.5454916309248,77.3316811379503,80.5181786061053,79.3265364963839,2.21381049297453,0.761287793388599,0.802254135450237,"control_day3_vs_pre_day1","per-mussel mean"
"adhesion_kpa",12,11,77.0207357148101,79.5454916309248,81.0515390916134,80.5181786061053,-2.52475591611464,0.788222351270824,0.927908005307386,"lab_day0_vs_control_day3","per-mussel mean"
"max_force",12,61,0.225583333333333,0.247404371584699,0.234166666666667,0.235,-0.0218210382513661,0.370596856953164,0.488830971844113,"lab_day0_vs_pre_day1","per-mussel mean"
"max_force",11,61,0.234166666666667,0.247404371584699,0.225,0.235,-0.0132377049180328,0.49099154908625,0.638646601425576,"control_day3_vs_pre_day1","per-mussel mean"
"max_force",12,11,0.225583333333333,0.234166666666667,0.234166666666667,0.225,-0.00858333333333333,0.753285756524722,0.975933341123811,"lab_day0_vs_control_day3","per-mussel mean"
"pad_area",12,61,3.01416666666667,3.30622950819672,2.79333333333333,3.2,-0.292062841530055,0.27332528054647,0.170884001174819,"lab_day0_vs_pre_day1","per-mussel mean"
"pad_area",11,61,3.10666666666667,3.30622950819672,2.88,3.2,-0.199562841530055,0.485056029319362,0.397989201353947,"control_day3_vs_pre_day1","per-mussel mean"
"pad_area",12,11,3.01416666666667,3.10666666666667,2.79333333333333,2.88,-0.0924999999999998,0.791476208461097,1,"lab_day0_vs_control_day3","per-mussel mean"
"max_displacement",12,61,0.191539777777778,0.142971557377049,0.164301666666667,0.13588,0.0485682204007286,0.0209706885589296,0.000151880632782534,"lab_day0_vs_pre_day1","per-mussel mean"
"max_displacement",11,61,0.142302575757576,0.142971557377049,0.14021,0.13588,-0.00066898161947343,0.950991750623911,0.778146896497807,"control_day3_vs_pre_day1","per-mussel mean"
"max_displacement",12,11,0.191539777777778,0.142302575757576,0.164301666666667,0.14021,0.049237202020202,0.0265026911153427,0.012886830493507,"lab_day0_vs_control_day3","per-mussel mean"
