"metric","scale","statistic","arm","n","n_threads","value","var_mussel","var_residual","p"
"adhesion_kpa","raw","ICC_mussel_lmer","all",74,342,0.21180478285596,250.678068078375,932.85548908804,NA
"adhesion_kpa","log","ICC_mussel_lmer","all",74,342,0.231073748378333,0.0735794422762684,0.244844622736076,NA
"max_force","log","ICC_mussel_lmer","all",74,342,0.182785632811919,0.0534680511285337,0.239049748580324,NA
"pad_area","log","ICC_mussel_lmer","all",74,342,0.381922765214044,0.0381472756078249,0.0617348971305446,NA
"max_displacement","raw","ICC_mussel_lmer","all",74,342,0.130211377431622,0.000265854345279271,0.00177585929390621,NA
"adhesion_kpa","raw","corr_pre_post_pearson","control",11,NA,0.00268613523511236,NA,NA,0.993746167197106
"adhesion_kpa","raw","corr_pre_post_spearman","control",11,NA,-0.272727272727273,NA,NA,0.417141437142531
"adhesion_kpa","raw","corr_pre_post_pearson","OA",12,NA,-0.0147931623358841,NA,NA,0.963605572365742
"adhesion_kpa","raw","corr_pre_post_spearman","OA",12,NA,-0.153846153846154,NA,NA,0.633090681246262
"adhesion_kpa","raw","corr_pre_post_pearson","OW",12,NA,0.29407707741311,NA,NA,0.35351187390386
"adhesion_kpa","raw","corr_pre_post_spearman","OW",12,NA,0.335664335664336,NA,NA,0.286122902914988
"adhesion_kpa","raw","corr_pre_post_pearson","DO",12,NA,0.407989247164745,NA,NA,0.187977458149878
"adhesion_kpa","raw","corr_pre_post_spearman","DO",12,NA,0.034965034965035,NA,NA,0.91409334241076
"adhesion_kpa","raw","corr_pre_post_pearson","all",47,NA,0.242705338159765,NA,NA,0.100221599392942
"adhesion_kpa","raw","corr_pre_post_spearman","all",47,NA,0.201086956521739,NA,NA,0.175305442666947
"max_force","raw","corr_pre_post_pearson","control",11,NA,0.465410803186986,NA,NA,0.149137038707914
"max_force","raw","corr_pre_post_spearman","control",11,NA,0.181818181818182,NA,NA,0.5926152128455
"max_force","raw","corr_pre_post_pearson","OA",12,NA,0.0192349696706417,NA,NA,0.952687285501033
"max_force","raw","corr_pre_post_spearman","OA",12,NA,0.0315236910752256,NA,NA,0.92252486452154
"max_force","raw","corr_pre_post_pearson","OW",12,NA,0.50074398582478,NA,NA,0.0972764539835301
"max_force","raw","corr_pre_post_spearman","OW",12,NA,0.346760601827481,NA,NA,0.269479388463033
"max_force","raw","corr_pre_post_pearson","DO",12,NA,0.3196344688738,NA,NA,0.311168748229775
"max_force","raw","corr_pre_post_spearman","DO",12,NA,0.195804195804196,NA,NA,0.541935885731317
"max_force","raw","corr_pre_post_pearson","all",47,NA,0.19522592234642,NA,NA,0.188490894562238
"max_force","raw","corr_pre_post_spearman","all",47,NA,0.147335243435913,NA,NA,0.323011874444098
"pad_area","raw","corr_pre_post_pearson","control",11,NA,-0.433355773081774,NA,NA,0.183027361712313
"pad_area","raw","corr_pre_post_spearman","control",11,NA,-0.445454545454545,NA,NA,0.169732604926812
"pad_area","raw","corr_pre_post_pearson","OA",12,NA,0.672869138341168,NA,NA,0.0164888661127113
"pad_area","raw","corr_pre_post_spearman","OA",12,NA,0.721542262388497,NA,NA,0.00807443795290614
"pad_area","raw","corr_pre_post_pearson","OW",12,NA,0.122058120440687,NA,NA,0.705509926305812
"pad_area","raw","corr_pre_post_spearman","OW",12,NA,0.328671328671329,NA,NA,0.296904115688764
"pad_area","raw","corr_pre_post_pearson","DO",12,NA,0.0763771275938082,NA,NA,0.813494947614862
"pad_area","raw","corr_pre_post_spearman","DO",12,NA,-0.0175131617084587,NA,NA,0.956918823900548
"pad_area","raw","corr_pre_post_pearson","all",47,NA,-0.0615175159186795,NA,NA,0.68123697088652
"pad_area","raw","corr_pre_post_spearman","all",47,NA,0.0231287403606446,NA,NA,0.877362561938875
"max_displacement","raw","corr_pre_post_pearson","control",11,NA,-0.235568235965867,NA,NA,0.485606554516106
"max_displacement","raw","corr_pre_post_spearman","control",11,NA,-0.181818181818182,NA,NA,0.5926152128455
"max_displacement","raw","corr_pre_post_pearson","OA",12,NA,-0.118443242533858,NA,NA,0.713902382646717
"max_displacement","raw","corr_pre_post_spearman","OA",12,NA,0.048951048951049,NA,NA,0.879918578878675
"max_displacement","raw","corr_pre_post_pearson","OW",12,NA,-0.248475110032583,NA,NA,0.436139581738315
"max_displacement","raw","corr_pre_post_spearman","OW",12,NA,-0.293706293706294,NA,NA,0.354147641232922
"max_displacement","raw","corr_pre_post_pearson","DO",12,NA,0.391545498430997,NA,NA,0.20814299821633
"max_displacement","raw","corr_pre_post_spearman","DO",12,NA,0.34965034965035,NA,NA,0.26523878689279
"max_displacement","raw","corr_pre_post_pearson","all",47,NA,-0.0793571576837645,NA,NA,0.595950484107994
"max_displacement","raw","corr_pre_post_spearman","all",47,NA,-0.0696114708603145,NA,NA,0.641969992098492
