"arm","n_pairs","n_base","n_post","delta_mean","paired_t_p","wilcoxon_p","welch_p","mannwhit_p"
"OA",9,54,13,-19.3655632877586,0.00301358976893815,0.0078125,0.0150189615925994,0.0356590446705102
"OW",12,54,22,-13.4663394198607,0.231427912564462,0.17626953125,0.0103086541208714,0.00426803656734454
"DO",9,54,11,0.243862144901955,0.985735083740715,0.65234375,0.400109864570059,0.192434151643346
