"contrast","mussel_trt","estimate","SE","df","t.ratio","p.value"
"baseline - post","control",7.5119014719437,10.4633742950391,86.353432370103,0.717923421271971,0.474742314916969
"baseline - post","OA",15.9177933010336,7.54667755367541,277.704034231304,2.10924518608606,0.0358184805988832
"baseline - post","OW",19.6420761032659,6.58251431401341,280.253978704871,2.98397772739364,0.00309599278550037
"baseline - post","DO",-4.68362501089315,8.04709339630313,281.572440425452,-0.582026923291934,0.561014255971893
