"mussel_trt","emmean","SE","df","lower.CL","upper.CL","timepoint"
"control",79.1458312988465,7.03734069900943,106.825459834945,65.1948634569148,93.0967991407783,"post"
"OA",51.2579263968822,6.41169092678381,133.161474347192,38.5759912898766,63.9398615038879,"post"
"OW",50.2111494539306,5.0134120397559,107.355618038814,40.2730212683581,60.1492776395031,"post"
"DO",71.5601041297887,6.22262588997466,138.104594730938,59.256166341175,83.8640419184023,"post"
"control",88.185024102732,7.49261600264842,136.805515303049,73.3687036776963,103.001344527768,"baseline"
"OA",78.7645180394629,5.75553437431441,109.283791597358,67.3575684919899,90.1714675869359,"baseline"
"OW",76.1697047183466,6.37553756619135,173.072726337241,63.5858886586592,88.753520778034,"baseline"
"DO",71.6425041805362,5.81367546234775,126.776144602343,60.1380942197905,83.1469141412819,"baseline"
