"term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)","model"
"mussel_trt",4477.7974737585,1492.5991579195,3,63.0699073781501,1.63843266559864,0.189417826626523,"adhesion_kpa"
"timepoint",17007.250680474,17007.250680474,1,314.518725765294,18.668933932506,2.08811426221277e-05,"adhesion_kpa"
"mussel_trt:timepoint",1934.71440769309,644.904802564364,3,314.307214110067,0.707914840442299,0.54788479245284,"adhesion_kpa"
"mussel_trt",1.50272232768595,0.500907442561983,3,59.7676166830046,2.14753246364066,0.10367808354323,"log(adhesion_kpa)"
"timepoint",5.52763244387318,5.52763244387318,1,313.386756365872,23.6985301307878,1.78922220131381e-06,"log(adhesion_kpa)"
"mussel_trt:timepoint",0.201224069029693,0.0670746896765644,3,313.17699434701,0.287568243810273,0.834372312974676,"log(adhesion_kpa)"
