mussel,species,mussel_trt,group,days_in_trt,date_sampled,rna_sequenced
T001,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T002,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T003,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T004,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T005,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T006,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T007,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T008,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T009,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T010,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T011,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T012,mytilus trossulus,lab_control,control,0,2021-10-22,yes
T013,mytilus trossulus,OA,control,1,,no
T014,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T015,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T016,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T017,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T018,mytilus trossulus,OA,control,1,,no
T019,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T020,mytilus trossulus,OA,control,1,,no
T021,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T022,mytilus trossulus,OA,control,1,,no
T023,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T024,mytilus trossulus,OA,control,1,,no
T025,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T026,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T027,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T028,mytilus trossulus,OW,control,1,,no
T029,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T030,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T031,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T032,mytilus trossulus,OW,control,1,,no
T033,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T034,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T035,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T036,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T037,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T038,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T039,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T040,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T041,mytilus trossulus,OW,treatment,3,2021-10-29,yes
T042,mytilus trossulus,OW,treatment,3,2021-10-29,no
T043,mytilus trossulus,DO,control,1,,no
T044,mytilus trossulus,DO,control,1,,no
T045,mytilus trossulus,DO,control,1,,no
T046,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T047,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T048,mytilus trossulus,DO,control,1,,no
T049,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T050,mytilus trossulus,DO,control,1,,no
T051,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T052,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T053,mytilus trossulus,DO,control,1,,no
T054,mytilus trossulus,DO,control,1,,no
T055,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T056,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T057,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T058,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T059,mytilus trossulus,OA,control,1,2021-10-27,no
T060,mytilus trossulus,OA,control,1,2021-10-27,no
T061,mytilus trossulus,OA,control,1,2021-10-27,no
T062,mytilus trossulus,OA,control,1,2021-10-27,no
T063,mytilus trossulus,OA,control,1,2021-10-27,no
T064,mytilus trossulus,OW,control,1,2021-10-29,no
T065,mytilus trossulus,OW,control,1,2021-10-29,no
T066,mytilus trossulus,OW,control,1,2021-10-29,no
T067,mytilus trossulus,OW,control,1,2021-10-29,no
T068,mytilus trossulus,OW,control,1,2021-10-29,no
T069,mytilus trossulus,DO,control,1,2021-10-27,no
T070,mytilus trossulus,DO,control,1,2021-10-27,no
T071,mytilus trossulus,DO,control,1,2021-10-27,no
T072,mytilus trossulus,DO,control,1,2021-10-27,no
T073,mytilus trossulus,DO,control,1,2021-10-27,no
T089,mytilus trossulus,OW,treatment,3,2021-10-29,no
T090,mytilus trossulus,OW,treatment,3,2021-10-29,no
T091,mytilus trossulus,OW,treatment,3,2021-10-29,no
T092,mytilus trossulus,OW,treatment,3,2021-10-29,no
T093,mytilus trossulus,OW,treatment,3,2021-10-29,no
T094,mytilus trossulus,DO,treatment,3,2021-10-29,no
T110,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T111,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T112,mytilus trossulus,DO,treatment,3,2021-10-29,yes
T113,mytilus trossulus,DO,treatment,3,2021-10-29,no
T114,mytilus trossulus,DO,treatment,3,2021-10-29,no
T115,mytilus trossulus,DO,treatment,3,2021-10-29,no
T116,mytilus trossulus,DO,treatment,3,2021-10-29,no
T117,mytilus trossulus,DO,treatment,3,2021-10-29,no
T118,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T119,mytilus trossulus,OA,treatment,3,2021-10-29,yes
T120,mytilus trossulus,OA,treatment,3,2021-10-29,no
T121,mytilus trossulus,OW,treatment,3,2021-10-29,no
T122,mytilus trossulus,OW,treatment,3,2021-10-29,no
T123,mytilus trossulus,OW,treatment,3,2021-10-29,no
T124,mytilus trossulus,OW,treatment,3,2021-10-29,no
T125,mytilus trossulus,DO,treatment,3,2021-10-29,no
T126,mytilus trossulus,control,treatment,3,2021-10-29,yes
T127,mytilus trossulus,control,treatment,3,2021-10-29,yes
T128,mytilus trossulus,control,treatment,3,2021-10-29,yes
T129,mytilus trossulus,control,treatment,3,2021-10-29,yes
T130,mytilus trossulus,control,treatment,3,2021-10-29,yes
T131,mytilus trossulus,control,treatment,3,2021-10-29,yes
T132,mytilus trossulus,control,treatment,3,2021-10-29,yes
T133,mytilus trossulus,control,treatment,3,2021-10-29,yes
T134,mytilus trossulus,control,treatment,3,2021-10-29,yes
T135,mytilus trossulus,control,treatment,3,2021-10-29,yes
T136,mytilus trossulus,control,treatment,3,2021-10-29,yes
T137,mytilus trossulus,control,treatment,3,2021-10-29,yes
T138,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T139,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T140,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T141,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T142,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T143,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T144,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T145,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T146,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T147,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T148,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
T149,mytilus trossulus,desiccation,treatment,24h,2021-11-01,no
