mussel,mussel_trt,paired,n_threads_pre,n_threads_post,adhesion_kpa_pre,adhesion_kpa_post,adhesion_kpa_change,adhesion_kpa_pct_change,adhesion_kpa_direction,adhesion_kpa_vs_control,adhesion_kpa_rel_direction,max_force_pre,max_force_post,max_force_change,max_force_pct_change,max_force_direction,max_force_vs_control,max_force_rel_direction,pad_area_pre,pad_area_post,pad_area_change,pad_area_pct_change,pad_area_direction,pad_area_vs_control,pad_area_rel_direction,max_displacement_pre,max_displacement_post,max_displacement_change,max_displacement_pct_change,max_displacement_direction,max_displacement_vs_control,max_displacement_rel_direction,response_class,response_score
T126,control,TRUE,2,3,103.25859377974038,51.08502123237372,-0.7037451334394134,-50.52709962200091,decreased,-44.72868276921133,below_control,0.23249999999999998,0.18,-0.25593337413720063,-22.58064516129032,decreased,-21.15320658253672,below_control,2.295,3.5666666666666664,0.44089860928724234,55.41031227305737,increased,36.15058827713415,above_control,0.21184000000000003,0.13261333333333333,-0.0792266666666667,-37.39929506545822,decreased,-29.466500597655422,below_control,weaker,0.35408708950304746
T127,control,TRUE,3,3,97.21622099132414,95.02900993418905,-0.022755367456216948,-2.2498416774812515,decreased,3.5485751753083257,above_control,0.23166666666666666,0.24166666666666667,0.0422598092898826,4.316546762589932,increased,5.7439853413435324,above_control,2.3633333333333333,2.603333333333333,0.09671962330755832,10.155148095909723,increased,-9.104575900013504,below_control,0.13966333333333333,0.13123,-0.00843333333333332,-6.038330270412173,decreased,1.894464197390624,above_control,mixed,0.6776230566710637
T128,control,TRUE,2,3,103.81162303101985,54.925574581325805,-0.6365988602992778,-47.091112750531266,decreased,-41.29269589774169,below_control,0.21000000000000002,0.24333333333333335,0.14732471475685835,15.873015873015868,increased,17.30045445176947,above_control,1.935,4.433333333333334,0.8290444200778534,129.11283376399655,increased,109.85310976807332,above_control,0.15659,0.10954666666666667,-0.04704333333333334,-30.04236115545906,decreased,-22.10956668765626,below_control,mixed,0.9572486501312087
T129,control,TRUE,2,3,110.84037253627896,71.31829309001891,-0.44093822142608374,-35.65675443153545,decreased,-29.858337578745868,below_control,0.2875,0.31666666666666665,0.0966268356890717,10.144927536231888,increased,11.572366114985488,above_control,2.545,4.54,0.5787963620507706,78.38899803536346,increased,59.12927403944023,above_control,0.128085,0.11984333333333333,-0.008241666666666675,-6.434529153817133,decreased,1.498265313985664,above_control,mixed,0.8439127834607323
T130,control,TRUE,2,3,93.96837342038137,101.11519934649994,0.07330218177219607,7.605565219423547,increased,13.403982072213125,above_control,0.3025,0.225,-0.29598087526647593,-25.619834710743795,decreased,-24.192396131990193,below_control,3.2,2.2366666666666664,-0.35816414749020026,-30.104166666666682,decreased,-49.36389066258991,below_control,0.21174500000000002,0.09244000000000001,-0.11930500000000001,-56.3437153179532,decreased,-48.410920850150404,below_control,mixed,0.16060291205764657
T131,control,TRUE,3,4,74.66762274699457,61.15968644656445,-0.19955831347746192,-18.090754470918014,decreased,-12.292337618128437,below_control,0.235,0.1775,-0.2806149052286884,-24.46808510638298,decreased,-23.040646527629377,below_control,3.1466666666666665,2.88,-0.08855339734144506,-8.47457627118644,decreased,-27.734300267109667,below_control,0.16975666666666667,0.167985,-0.0017716666666666714,-1.0436507157303618,decreased,6.889143752072435,above_control,weaker,0.2205563296851316
T132,control,TRUE,2,3,112.81868735565172,94.03744004886205,-0.18208899202667614,-16.64728401561996,decreased,-10.848867162830382,below_control,0.34500000000000003,0.33,-0.04445176257083392,-4.347826086956525,decreased,-2.920387508202925,below_control,2.995,3.5133333333333336,0.159621022877694,17.30662214802449,increased,-1.9531018478987363,below_control,0.14055,0.21001,0.06946,49.42013518320882,increased,57.35292965101162,above_control,weaker,0.5772385557015747
T133,control,TRUE,2,3,52.70618556701031,96.18912855246829,0.6015835206279089,82.50064488194474,increased,88.29906173473431,above_control,0.195,0.22333333333333333,0.13566586515315518,14.529914529914523,increased,15.957353108668123,above_control,3.69,2.276666666666667,-0.4829140731378467,-38.30171635049683,decreased,-57.561440346420056,below_control,0.339955,0.14032333333333333,-0.19963166666666668,-58.72296823599203,decreased,-50.790173768189234,below_control,stronger,0.6504276740062159
T134,control,TRUE,3,3,54.86208239129599,56.45904309534714,0.02869303124727279,2.910864178762035,increased,8.709281031551612,above_control,0.17666666666666667,0.19166666666666668,0.08149303425118301,8.490566037735856,increased,9.918004616489457,above_control,3.2333333333333334,3.4133333333333336,0.054175734102024614,5.567010309278355,increased,-13.692713686644872,below_control,0.15154333333333334,0.14021,-0.011333333333333334,-7.478608978729956,decreased,0.45418548907284073,above_control,stronger,0.6992177850035808
T135,control,TRUE,1,3,96.83098591549297,80.51817860610528,-0.18448406536885248,-16.84668100314947,decreased,-11.048264150359893,below_control,0.275,0.17833333333333334,-0.4331166394386745,-35.151515151515156,decreased,-33.724076572761554,below_control,2.84,2.37,-0.18091409702607472,-16.549295774647877,decreased,-35.809019770571105,below_control,0.1081,0.16122333333333333,0.05312333333333333,49.142769041011405,increased,57.0755635088142,above_control,weaker,0.060654617261947506
