"mussel_trt","response","n_pairs","mean_pre","mean_post","delta","pct_change","ci_low","ci_high","paired_t_p","wilcoxon_p","pct_ci_low","pct_ci_high"
"control","adhesion_kpa",11,89.8020775453044,79.5454916309248,-10.2565859143796,-11.421323642769,-30.3660985467791,9.85292671801991,0.282275802103827,0.2783203125,-33.8144722002224,10.9718249146844
"OA","adhesion_kpa",12,85.2679338026092,53.2488564193171,-32.0190773832921,-37.5511355270019,-50.6825777935302,-13.3555769730539,0.00306824758097263,0.00683593750000001,-59.4392000993689,-15.663070954635
"OW","adhesion_kpa",12,76.3426858304027,49.6741812307974,-26.6685045996053,-34.932625580989,-48.6983985836602,-4.63861061555035,0.0220121085290314,0.05224609375,-63.78921314328,-6.07603801869789
"DO","adhesion_kpa",12,68.2057041784634,64.1346382620828,-4.07106591638057,-5.96880563791034,-24.4956831887891,16.353551356028,0.669368225516242,0.5693359375,-35.9144201849966,23.9768089091759
"control","max_force",11,0.243484848484848,0.234166666666667,-0.00931818181818182,-3.82700684505289,-0.0463022921477202,0.0276659285113566,0.586896699773535,0.721975952109918,-19.0164983307376,11.3624846406318
"OA","max_force",12,0.241388888888889,0.168055555555556,-0.0733333333333333,-30.379746835443,-0.134881730991012,-0.0117849356756543,0.023726087166052,0.02685546875,-55.8773569122721,-4.88213675861397
"OW","max_force",12,0.273611111111111,0.13125,-0.142361111111111,-52.0304568527919,-0.191415755775402,-0.0933064664468204,5.16941463347638e-05,0.000976562500000001,-69.9590579483702,-34.1018557572136
"DO","max_force",12,0.253055555555556,0.140416666666667,-0.112638888888889,-44.5115257958288,-0.177161314811528,-0.0481164629662494,0.0027354884909977,0.0048828125,-70.0088620550497,-19.0141895366079
"control","pad_area",11,2.76212121212121,3.10666666666667,0.344545454545455,12.4739440482721,-0.454574443331386,1.14366535242229,0.359367743353842,0.51953125,-16.457440076726,41.4053281732701
"OA","pad_area",12,2.85694444444444,3.20972222222222,0.352777777777778,12.3480797277589,0.0382160347322015,0.667339520823354,0.0312109452463775,0.02685546875,1.33765410827346,23.3585053472443
"OW","pad_area",12,3.66055555555556,2.95805555555556,-0.7025,-19.1910760358173,-1.46934980103812,0.0643498010381177,0.0688533241088468,0.0341796875,-40.1400765194811,1.75792444784659
"DO","pad_area",12,3.79458333333333,2.56083333333333,-1.23375,-32.5134511913912,-2.02780500007311,-0.439694999926892,0.0057258150182327,0.00146484375,-53.4394641503839,-11.5874382323986
"control","max_displacement",11,0.172155303030303,0.142302575757576,-0.0298527272727273,-17.3405795507052,-0.0824377984291799,0.0227323438837253,0.234581099332193,0.2783203125,-47.8857153849447,13.2045562835343
"OA","max_displacement",12,0.136491111111111,0.121985833333333,-0.0145052777777778,-10.6272691750379,-0.0349050934323633,0.00589453787680774,0.145875959147943,0.2333984375,-25.5731623460437,4.31862399596796
"OW","max_displacement",12,0.13322625,0.150942777777778,0.0177165277777778,13.2980758505008,-0.02008177821737,0.0555148337729256,0.324395384145869,0.38037109375,-15.0734395191413,41.6695912201429
"DO","max_displacement",12,0.128867361111111,0.136572777777778,0.00770541666666667,5.97933922152946,-0.0127071650465693,0.0281179983799026,0.423733251053069,0.4697265625,-9.86065434801057,21.8193327910695
