"response","scale","term","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"adhesion_kpa","log","mussel_trt",2.08305089971106,0.694350299903685,3,66.3403174404833,2.83588135260844,0.0447065499906411
"adhesion_kpa","log","timepoint",7.69954044537025,7.69954044537025,1,310.422758664183,31.4466389309672,4.53503938333462e-08
"adhesion_kpa","log","mussel_trt:timepoint",3.13285419014068,1.04428473004689,3,309.983442307993,4.26509154408735,0.0056958301515517
"max_force","log","mussel_trt",1.95392850006543,0.651309500021809,3,65.7691161070851,2.7245772224812,0.0511960921418429
"max_force","log","timepoint",15.1019545628081,15.1019545628081,1,313.892248482996,63.1749443473421,3.43287488710554e-14
"max_force","log","mussel_trt:timepoint",5.87837480567728,1.95945826855909,3,313.182769259881,8.19686395905448,2.87100291784116e-05
"pad_area","log","mussel_trt",0.191380976821697,0.0637936589405655,3,66.2450678260801,1.03334842861514,0.383626581129185
"pad_area","log","timepoint",1.08561764013843,1.08561764013843,1,298.636189011544,17.5851534642195,3.62472280058872e-05
"pad_area","log","mussel_trt:timepoint",3.50558731617827,1.16852910539276,3,298.646830203817,18.9281777358725,2.89217821010839e-11
"max_displacement","none","mussel_trt",0.0128970855336686,0.00429902851122286,3,60.7017360238079,2.42081595426778,0.0746435918999287
"max_displacement","none","timepoint",0.0036469259552408,0.0036469259552408,1,316.141255671276,2.05361199941633,0.152833716879803
"max_displacement","none","mussel_trt:timepoint",0.0285776538040456,0.00952588460134855,3,314.921205525161,5.36409874027534,0.00129450819347459
