"response","scale","contrast","mussel_trt","ratio","SE","df","null","t.ratio","p.value","lower.CL","upper.CL","pct_change","estimate"
"adhesion_kpa","log","post / baseline","control",0.778021113152107,0.103192724503665,300.497969501801,1,-1.89242564091885,0.0593953075513829,0.599288348383445,1.01005943823747,-22.1978886847893,NA
"adhesion_kpa","log","post / baseline","OA",0.785186008107249,0.0868401367015134,311.354899378677,1,-2.18660610040584,0.0295153105374388,0.631631599734868,0.976070651921444,-21.4813991892751,NA
"adhesion_kpa","log","post / baseline","OW",0.693995488478463,0.0732148104445651,327.141685533581,1,-3.46254378049836,0.000606209491777059,0.563927835694247,0.854062714310829,-30.6004511521537,NA
"adhesion_kpa","log","post / baseline","DO",0.772310355914795,0.0845339702185904,321.495087512192,1,-2.3604817681583,0.0188479399491646,0.622688310401833,0.957884186822663,-22.7689644085205,NA
"max_force","log","post / baseline","control",0.878679045470311,0.116796052175269,301.738650849624,1,-0.97301634209303,0.331324546841179,0.676442587634102,1.14137826189951,-12.1320954529689,NA
"max_force","log","post / baseline","OA",0.818292207629099,0.090623080502908,312.522461798745,1,-1.81076243040626,0.0711377845990396,0.65807327769001,1.0175191118791,-18.1707792370901,NA
"max_force","log","post / baseline","OW",0.56002683320538,0.0590501965460573,327.791714898951,1,-5.49849282260937,7.71787419830508e-08,0.455118051147962,0.689118027990683,-43.997316679462,NA
"max_force","log","post / baseline","DO",0.490521323930073,0.0537085577203252,322.394184795029,1,-6.50532699257132,2.95798442523468e-10,0.395463354728165,0.608428483583528,-50.9478676069927,NA
"pad_area","log","post / baseline","control",1.12135778174675,0.0788953474258339,287.195974372299,1,1.62798709673132,0.104624111528546,0.976343836417774,1.28791029121214,12.135778174675,NA
"pad_area","log","post / baseline","OA",1.06537174691695,0.0629929531277151,297.083961835332,1,1.07096715163645,0.285053481693089,0.94834363617695,1.1968414357737,6.53717469169497,NA
"pad_area","log","post / baseline","OW",0.811317781326192,0.0464976201601845,312.992229397322,1,-3.64842042093834,0.000309011009113355,0.724800056266189,0.908162929355944,-18.8682218673808,NA
"pad_area","log","post / baseline","DO",0.63314221034402,0.0374058961640538,307.685966189088,1,-7.73632363808868,1.47609904295582e-13,0.5636556764879,0.711194928466078,-36.685778965598,NA
"max_displacement","none","post - baseline","control",NA,0.0114787979330542,301.492286164307,NA,-2.92537379149378,0.00370166718277945,NA,NA,NA,-0.0335797746312097
"max_displacement","none","post - baseline","OA",NA,0.00956534569430199,312.293475991288,NA,-1.91427597728007,0.0564985777627413,NA,NA,NA,-0.0183107114769817
"max_displacement","none","post - baseline","OW",NA,0.00911059944337187,327.673308115633,NA,1.89335732888806,0.0591911846061946,NA,NA,NA,0.0172496202266716
"max_displacement","none","post - baseline","DO",NA,0.00945895668301977,322.221194343838,NA,0.101498792991617,0.919217644920133,NA,NA,NA,0.000960072686286492
