"thread_trt","failure","n","pct","table","statistic","df","p","min_expected_count","note"
"lab_control","cohesive",20,52.6315789473684,"counts_by_thread_trt",NA,NA,NA,NA,NA
"lab_control","peeling",15,39.4736842105263,"counts_by_thread_trt",NA,NA,NA,NA,NA
"lab_control","tearing",2,5.26315789473684,"counts_by_thread_trt",NA,NA,NA,NA,NA
"lab_control","thread",1,2.63157894736842,"counts_by_thread_trt",NA,NA,NA,NA,NA
"baseline","cohesive",76,47.2049689440994,"counts_by_thread_trt",NA,NA,NA,NA,NA
"baseline","peeling",66,40.9937888198758,"counts_by_thread_trt",NA,NA,NA,NA,NA
"baseline","tearing",18,11.1801242236025,"counts_by_thread_trt",NA,NA,NA,NA,NA
"baseline","thread",1,0.62111801242236,"counts_by_thread_trt",NA,NA,NA,NA,NA
"treatment_control","cohesive",22,64.7058823529412,"counts_by_thread_trt",NA,NA,NA,NA,NA
"treatment_control","peeling",8,23.5294117647059,"counts_by_thread_trt",NA,NA,NA,NA,NA
"treatment_control","tearing",1,2.94117647058824,"counts_by_thread_trt",NA,NA,NA,NA,NA
"treatment_control","thread",3,8.82352941176471,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OA","cohesive",16,41.025641025641,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OA","peeling",16,41.025641025641,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OA","tearing",7,17.9487179487179,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OW","cohesive",27,40.2985074626866,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OW","peeling",27,40.2985074626866,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OW","tearing",11,16.4179104477612,"counts_by_thread_trt",NA,NA,NA,NA,NA
"OW","thread",2,2.98507462686567,"counts_by_thread_trt",NA,NA,NA,NA,NA
"DO","cohesive",18,43.9024390243902,"counts_by_thread_trt",NA,NA,NA,NA,NA
"DO","peeling",20,48.780487804878,"counts_by_thread_trt",NA,NA,NA,NA,NA
"DO","tearing",1,2.4390243902439,"counts_by_thread_trt",NA,NA,NA,NA,NA
"DO","thread",2,4.8780487804878,"counts_by_thread_trt",NA,NA,NA,NA,NA
NA,NA,NA,NA,"chi_square_day3",18.5722155233472,9,0.0290861791335978,1.31491712707182,"expected counts < 5: read fisher_exact_day3"
NA,NA,NA,NA,"fisher_exact_day3",NA,NA,0.0187981201879812,1.31491712707182,"Monte Carlo, B = 10000, seed 20260916; 181 threads, 4 arms x 4 modes"
