TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000076"	"DNA replication checkpoint signaling"	NaN	4.4552256530902525	0.07020763136572943	0.791407625161281	0.62216998	null
"GO:0000077"	"DNA damage checkpoint signaling"	NaN	4.798021878932824	0.15459265568709626	0.7699105756236716	0.90534296	76
"GO:0000086"	"G2/M transition of mitotic cell cycle"	NaN	3.878981123393736	0.01862505772487991	0.9750950906426774	0.00963816	null
"GO:0000122"	"negative regulation of transcription by RNA polymerase II"	NaN	5.291373291067754	0.48144309713813077	0.8271164620112622	0.87614923	null
"GO:0000209"	"protein polyubiquitination"	NaN	5.256708126945561	0.4445080348651629	0.9649387527569352	0.8573215	null
"GO:0000226"	"microtubule cytoskeleton organization"	NaN	5.554980718698552	0.8833918782540008	0.9166186255282984	0.81138909	null
"GO:0000278"	"mitotic cell cycle"	NaN	5.644649284426092	1.0859809163429945	0.9684089759036337	0.80048285	null
"GO:0000281"	"mitotic cytokinesis"	NaN	4.643265099730196	0.10825030246335648	0.9677859752092607	0.66289694	null
"GO:0000289"	"nuclear-transcribed mRNA poly(A) tail shortening"	NaN	4.293561422675801	0.048385276167000044	0.7365219238964857	0.81004743	null
"GO:0000398"	"mRNA splicing, via spliceosome"	NaN	5.500911275480265	0.7799805956779332	0.937523836549902	0.86882747	null
"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	NaN	4.875524263949309	0.18479591765908007	0.9060672346211015	0.64716925	null
"GO:0000479"	"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	NaN	4.474857031317561	0.07345415589845265	0.9120159223677642	0.5988297	null
"GO:0000956"	"nuclear-transcribed mRNA catabolic process"	NaN	5.105959574707154	0.314144937555722	0.784808357074632	0.7912304	null
"GO:0001178"	"regulation of transcriptional start site selection at RNA polymerase II promoter"	NaN	2.1492191126553797	0.0003445894121161871	0.9156342789744196	0.08932512	null
"GO:0001504"	"neurotransmitter uptake"	NaN	3.7666358863102674	0.01437922389701975	0.9497432454332718	0.73691723	null
"GO:0001654"	"eye development"	NaN	4.6938675883296375	0.1216277557122956	0.8359051116477939	0.86049837	null
"GO:0001655"	"urogenital system development"	NaN	3.8830933585756897	0.018802275136825378	0.8655528171390827	0.41328073	null
"GO:0001658"	"branching involved in ureteric bud morphogenesis"	NaN	3.215637563435062	0.004041541533534137	0.8513727420448869	0.72517938	null
"GO:0001666"	"response to hypoxia"	NaN	4.481442628502305	0.07457653284077395	0.9033204846825269	0.63369633	null
"GO:0071456"	"cellular response to hypoxia"	NaN	4.010978012174742	0.025241174437510703	0.8723960622148389	0.92788706	1666
"GO:0001701"	"in utero embryonic development"	NaN	4.16625245195416	0.03609081821328322	0.8549187096515488	0.80190837	null
"GO:0001731"	"formation of translation preinitiation complex"	NaN	4.294752721910178	0.048518189225959144	0.9050727445922127	0.7785835	null
"GO:0001745"	"compound eye morphogenesis"	NaN	3.370142847051102	0.005769411300002447	0.8555912909311424	0.71195156	null
"GO:0001751"	"compound eye photoreceptor cell differentiation"	NaN	3.2390490931401916	0.0042655246514096586	0.8466182685754738	0.96902356	1745
"GO:0001752"	"compound eye photoreceptor fate commitment"	NaN	2.7867514221455614	0.0015038866485927878	0.8533166475287434	0.92060717	1745
"GO:0001756"	"somitogenesis"	NaN	3.727378569451489	0.013136240660457788	0.8442791627619142	0.83921748	null
"GO:0001779"	"natural killer cell differentiation"	NaN	2.9185545305502734	0.0020380002373728777	0.8521875953805211	0.62430909	null
"GO:0001825"	"blastocyst formation"	NaN	3.2430380486862944	0.004304906298508652	0.8640683243948198	0.40706679	null
"GO:0001837"	"epithelial to mesenchymal transition"	NaN	3.6428600525844916	0.010812723481617215	0.8623766041913561	0.52696297	null
"GO:0001889"	"liver development"	NaN	3.961516011448949	0.0225238407876802	0.8513306798755592	0.79119282	null
"GO:0001935"	"endothelial cell proliferation"	NaN	3.5633624094866074	0.009003629068007231	0.9849315936400085	0.73548793	null
"GO:0001937"	"negative regulation of endothelial cell proliferation"	NaN	3.593728998707911	0.0096558875980843	0.871124417521455	0.69781502	null
"GO:0001938"	"positive regulation of endothelial cell proliferation"	NaN	3.932169245920792	0.021051951727355345	0.8517235506480104	0.91196205	1937
"GO:0002011"	"morphogenesis of an epithelial sheet"	NaN	3.727947709544797	0.0131534701310636	0.8728923710094014	0.62729908	null
"GO:0002071"	"glandular epithelial cell maturation"	NaN	2.505149978319906	0.0007851715890361692	0.8742885216723127	0.75159907	null
"GO:0002181"	"cytoplasmic translation"	NaN	5.185799878745934	0.37754692803215667	0.9484555507986623	0.44544497	null
"GO:0002183"	"cytoplasmic translational initiation"	NaN	4.7222306969624395	0.12983636777949192	0.9500186833372398	0.48718496	null
"GO:0002190"	"cap-independent translational initiation"	NaN	1.6127838567197355	9.845411774748203E-05	0.966316256968307	0.54284957	null
"GO:0002192"	"IRES-dependent translational initiation of linear mRNA"	NaN	1.6127838567197355	9.845411774748203E-05	0.966316256968307	0.54284957	null
"GO:0002232"	"leukocyte chemotaxis involved in inflammatory response"	NaN	2.593286067020457	0.0009623890009816369	0.8756766843827298	0.65951799	null
"GO:0002244"	"hematopoietic progenitor cell differentiation"	NaN	3.8985057855343586	0.019481608549283005	0.8655071586970012	0.67942985	null
"GO:0002250"	"adaptive immune response"	NaN	4.660144216078887	0.11254044064420302	0.9092315319391551	0.70799229	null
"GO:0002276"	"basophil activation involved in immune response"	NaN	2.8721562727482928	0.0018312465901031655	0.854929308109041	0.48962278	null
