Sample	Unique Reads	Duplicate Reads
T025G_S190_L001_R1_001	2138717.0	440656.0
T025G_S190_L002_R1_001	2151848.0	438371.0
T026F_S179_L001_R1_001	2608732.0	866773.0
T026F_S179_L002_R1_001	2645519.0	854434.0
T026G_S191_L001_R1_001	2626518.0	505771.0
T026G_S191_L002_R1_001	2640176.0	496587.0
T027F_S180_L001_R1_001	2771415.0	853491.0
T027F_S180_L002_R1_001	2808364.0	836468.0
T027G_S192_L001_R1_001	1900420.0	299942.0
T027G_S192_L002_R1_001	1906302.0	293979.0
T029F_S195_L001_R1_001	2256204.0	588266.0
T029F_S195_L002_R1_001	2271824.0	576966.0
T029G_S207_L001_R1_001	2355261.0	363875.0
T029G_S207_L002_R1_001	2374901.0	365825.0
T030F_S196_L001_R1_001	2561987.0	719157.0
T030F_S196_L002_R1_001	2590783.0	706473.0
T030G_S208_L001_R1_001	2406730.0	402445.0
T131G_S141_L001_R1_001	2871638.0	479078.0
T131G_S141_L002_R1_001	2895982.0	474238.0
T132F_S130_L001_R1_001	2385290.0	727778.0
T132F_S130_L002_R1_001	2397869.0	723352.0
T132G_S142_L001_R1_001	1839400.0	298848.0
T132G_S142_L002_R1_001	1851917.0	290072.0
T133F_S131_L001_R1_001	2074552.0	475066.0
T133F_S131_L002_R1_001	2089129.0	472186.0
T133G_S143_L001_R1_001	2810544.0	532155.0
T133G_S143_L002_R1_001	2827327.0	521284.0
T134F_S132_L001_R1_001	2723537.0	835443.0
T134F_S132_L002_R1_001	2751246.0	823516.0
T134G_S144_L001_R1_001	2538951.0	409260.0
T134G_S144_L002_R1_001	2548666.0	403211.0
T135F_S133_L001_R1_001	2949516.0	828945.0
T135F_S133_L002_R1_001	2984022.0	824306.0
T135G_S145_L001_R1_001	2114791.0	373232.0
T135G_S145_L002_R1_001	2125406.0	369825.0
T136F_S134_L001_R1_001	2730819.0	721578.0
T136F_S134_L002_R1_001	2764914.0	709375.0
T136G_S146_L001_R1_001	2076968.0	385191.0
T136G_S146_L002_R1_001	2093421.0	380545.0
T137F_S135_L001_R1_001	2636980.0	810366.0
T137F_S135_L002_R1_001	2661406.0	808642.0
T137G_S147_L001_R1_001	2495295.0	345773.0
T137G_S147_L002_R1_001	2515615.0	339678.0
