Sample	SE mapped uniquely	SE multimapped	SE not aligned
G2-T003G_S114_hisat	1298580.0	480103.0	929495.0
G2-T033G_S210_hisat	1020968.0	419350.0	905171.0
G3-T011G_S122_hisat	1457712.0	485646.0	1003871.0
G3-T041G_S218_hisat	1375238.0	518779.0	1081796.0
G4-T008FX_S226_hisat	1051274.0	324714.0	585799.0
G4-T132F_S130_hisat	1230366.0	463731.0	699517.0
G5-T128G_S138_hisat	1374225.0	504910.0	1055608.0
G6-T136G_S146_hisat	1226004.0	462502.0	959474.0
G7-T057F_S154_hisat	1760535.0	559792.0	967333.0
G8-T051G_S162_hisat	139532.0	355754.0	280694.0
G9-T112G_S170_hisat	1538020.0	610456.0	1248673.0
H1-T008F_S107_hisat	1473719.0	479709.0	818187.0
H1-T038F_S203_hisat	1261811.0	394251.0	753777.0
H10-T026F_S179_hisat	1260431.0	526009.0	763423.0
H11-T019G_S187_hisat	1306067.0	502687.0	979397.0
H12-T029F_S195_hisat	1441555.0	498603.0	736979.0
H2-T004G_S115_hisat	1199722.0	413735.0	840672.0
H2-T034G_S211_hisat	1282313.0	572365.0	1102303.0
H3-T001FX_S219_hisat	1339904.0	359629.0	667397.0
H3-T012G_S123_hisat	1285087.0	404135.0	922294.0
H4-T009FX_S227_hisat	1302320.0	413676.0	652893.0
H4-T133F_S131_hisat	1174350.0	449730.0	715217.0
H5-T129G_S139_hisat	1342930.0	569334.0	1155594.0
H6-T137G_S147_hisat	1386692.0	667083.0	1251368.0
H7-T058F_S155_hisat	1559075.0	640979.0	1041463.0
H8-T052G_S163_hisat	1187261.0	444543.0	915307.0
H9-T014F_S171_hisat	1158963.0	507396.0	681534.0
