gene_set,family,metric,tier,n,n_genes,n_tests,n_perm,observed_min_p,p_permutation
candidate,per_metric,max_force,primary,45,201,201,10000,0.011010104182417803,0.8207179282071793
candidate,per_metric,pad_area,primary,45,201,201,10000,0.008831060254011338,0.7314268573142686
candidate,per_metric,adhesion_kpa,exploratory,45,201,201,10000,0.008969197923481905,0.7450254974502549
candidate,per_metric,max_displacement,exploratory,45,201,201,10000,0.0022173059268215008,0.34356564343565643
candidate,per_metric,dlog_max_force,primary,44,201,201,10000,0.0012081091629339348,0.3057694230576942
candidate,per_metric,dlog_pad_area,primary,44,201,201,10000,0.011389707985653013,0.5525447455254474
candidate,per_metric,dlog_adhesion_kpa,exploratory,44,201,201,10000,0.0061427226121299845,0.6656334366563343
candidate,all_metrics,all,all,NA,201,1407,10000,0.0012081091629339348,0.738026197380262
candidate,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,201,804,10000,0.0012081091629339348,0.5506449355064493
module,per_metric,max_force,primary,45,6,6,10000,0.15956483835608146,0.6212378762123788
module,per_metric,pad_area,primary,45,6,6,10000,0.06019178702806522,0.2515748425157484
module,per_metric,adhesion_kpa,exploratory,45,6,6,10000,0.019971171579895315,0.0927907209279072
module,per_metric,max_displacement,exploratory,45,6,6,10000,0.24150378938176661,0.7927207279272073
module,per_metric,dlog_max_force,primary,44,6,6,10000,0.025734038079399734,0.20267973202679732
module,per_metric,dlog_pad_area,primary,44,6,6,10000,0.04579554499041372,0.08589141085891411
module,per_metric,dlog_adhesion_kpa,exploratory,44,6,6,10000,0.013879582834122226,0.07579242075792421
module,all_metrics,all,all,NA,6,42,10000,0.013879582834122226,0.3564643535646435
module,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,6,24,10000,0.025734038079399734,0.39166083391660833
DEG_union,per_metric,max_force,primary,45,520,520,10000,0.0055858286931575445,0.8181181881811819
DEG_union,per_metric,pad_area,primary,45,520,520,10000,0.019070796279069754,0.9856014398560144
DEG_union,per_metric,adhesion_kpa,exploratory,45,520,520,10000,0.0021184213957883198,0.5333466653334666
DEG_union,per_metric,max_displacement,exploratory,45,520,520,10000,6.801730527782814e-4,0.28357164283571645
DEG_union,per_metric,dlog_max_force,primary,44,520,520,10000,4.596795973255869e-4,0.31996800319968005
DEG_union,per_metric,dlog_pad_area,primary,44,520,520,10000,0.01770544175561608,0.8587141285871412
DEG_union,per_metric,dlog_adhesion_kpa,exploratory,44,520,520,10000,0.0034324788373503914,0.7147285271472853
DEG_union,all_metrics,all,all,NA,520,3640,10000,4.596795973255869e-4,0.6985301469853015
DEG_union,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,520,2080,10000,4.596795973255869e-4,0.5027497250274973
