LOC_ID,protein_name,gene_set,n_samples,n_at_floor,frac_at_floor,floor_flag,tested
LOC134720928,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),candidate,45,21,0.467,exclude,FALSE
LOC134692877,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",candidate,45,19,0.422,exclude,FALSE
LOC134707239,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",candidate,45,19,0.422,exclude,FALSE
LOC134712598,Glutathione-specific gamma-glutamylcyclotransferase 2 (Gamma-GCG 2) (EC 4.3.2.7) (Cation transport regulator-like protein 2),candidate,45,19,0.422,exclude,FALSE
LOC134716289,Heat shock 70 kDa protein 13 (Stress-70 protein chaperone microsome-associated 60 kDa protein),candidate,45,19,0.422,exclude,FALSE
LOC134722782,Collagen alpha-3(VI) chain,candidate,45,19,0.422,exclude,FALSE
LOC134686883,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),candidate,45,18,0.4,caution,TRUE
LOC134687162,Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7),candidate,45,18,0.4,caution,TRUE
LOC134708396,NA,DEG_union,45,18,0.4,caution,TRUE
LOC134715096,Probable glutathione S-transferase 8 (EC 2.5.1.18) (GST class-sigma),candidate,45,18,0.4,caution,TRUE
LOC134720932,Byssal peroxidase-like protein 2,candidate,45,18,0.4,caution,TRUE
LOC134727535,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),candidate,45,18,0.4,caution,TRUE
LOC134686701,NA,DEG_union,45,17,0.378,caution,TRUE
LOC134711496,Foot protein 10,candidate,45,17,0.378,caution,TRUE
LOC134712292,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",candidate,45,17,0.378,caution,TRUE
LOC134721829,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),candidate,45,17,0.378,caution,TRUE
LOC134706981,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,45,16,0.356,caution,TRUE
LOC134707598,"Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",candidate,45,16,0.356,caution,TRUE
LOC134710193,NA,DEG_union,45,16,0.356,caution,TRUE
LOC134714554,Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B),candidate,45,16,0.356,caution,TRUE
LOC134725897,Glyoxalase 3 (EC 4.2.1.130) (Glutathione-independent glyoxalase),candidate,45,16,0.356,caution,TRUE
LOC134695816,Glutathione S-transferase C-terminal domain-containing protein,candidate,45,15,0.333,caution,TRUE
LOC134696725,Heat shock 70 kDa protein 12A,candidate,45,15,0.333,caution,TRUE
LOC134711495,Foot protein 12,candidate,45,15,0.333,caution,TRUE
LOC134721949,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),candidate,45,15,0.333,caution,TRUE
LOC134695901,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-II) (Small inducible cytokine subfamily E member 1)],candidate,45,14,0.311,caution,TRUE
LOC134707640,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx),candidate,45,14,0.311,caution,TRUE
LOC134707670,Amine oxidase (EC 1.4.3.-),candidate,45,14,0.311,caution,TRUE
LOC134725003,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),candidate,45,14,0.311,caution,TRUE
LOC134687228,Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10) (TgN(Imorpk)737Rpw),DEG_union,45,13,0.289,caution,TRUE
