mussel,treatment,phase,thread_trt,max_force,pad_area,adhesion_kpa,max_displacement
T126,control,post,treatment_control,0.195,3.44,56.68604651162791,0.22049
T126,control,post,treatment_control,0.19,3.32,57.22891566265061,0.09383
T126,control,post,treatment_control,0.155,3.94,39.34010152284264,0.08352
T127,control,post,treatment_control,0.255,2.51,101.59362549800798,0.10523
T127,control,post,treatment_control,0.2,2.98,67.11409395973155,0.11305
T127,control,post,treatment_control,0.27,2.32,116.3793103448276,0.17541
T128,control,post,treatment_control,0.245,4.54,53.964757709251096,0.12289
T128,control,post,treatment_control,0.165,4.39,37.58542141230069,0.10804
T128,control,post,treatment_control,0.32,4.37,73.22654462242564,0.09771
T129,control,post,treatment_control,0.27,3.44,78.48837209302326,0.11769
T129,control,post,treatment_control,0.305,4.18,72.96650717703349,0.09708
T129,control,post,treatment_control,0.375,6,62.5,0.14476
T130,control,post,treatment_control,0.245,2.63,93.15589353612168,0.09717
T130,control,post,treatment_control,0.185,1.99,92.96482412060301,0.08165
T130,control,post,treatment_control,0.245,2.09,117.22488038277513,0.0985
T131,control,post,treatment_control,0.195,2.98,65.43624161073826,0.14534
T131,control,post,treatment_control,0.13,2.6,50,0.12525
T131,control,post,treatment_control,0.17,2.83,60.07067137809187,0.21197
T131,control,post,treatment_control,0.215,3.11,69.13183279742766,0.18938
T132,control,post,treatment_control,0.235,2.43,96.70781893004114,0.25212
T132,control,post,treatment_control,0.5,4.11,121.654501216545,0.18448
T132,control,post,treatment_control,0.255,4,63.75,0.19343
T133,control,post,treatment_control,0.195,2.68,72.76119402985074,0.12975
T133,control,post,treatment_control,0.365,2.37,154.00843881856537,0.15097
T133,control,post,treatment_control,0.11,1.78,61.79775280898876,0.14025
T134,control,post,treatment_control,0.23,4.29,53.613053613053616,0.16012
T134,control,post,treatment_control,0.15,2.93,51.19453924914676,0.14275
T134,control,post,treatment_control,0.195,3.02,64.56953642384106,0.11776
T135,control,post,treatment_control,0.185,2.31,80.08658008658008,0.212
T135,control,post,treatment_control,0.245,1.97,124.36548223350253,0.12014
T135,control,post,treatment_control,0.105,2.83,37.102473498233216,0.15153
T136,control,post,treatment_control,0.215,2.34,91.88034188034189,0.18484
T136,control,post,treatment_control,0.21,2.13,98.59154929577466,0.12459
T136,control,post,treatment_control,0.38,2.55,149.0196078431373,0.17028
T014,OA,post,OA,0.215,5.22,41.18773946360153,0.11301
T014,OA,post,OA,0.11,4.58,24.017467248908297,0.23079
T014,OA,post,OA,0.31,4.24,73.11320754716981,0.16165
T015,OA,post,OA,0.345,3.26,105.8282208588957,0.14269
T015,OA,post,OA,0.3,3.21,93.45794392523364,0.09904
T015,OA,post,OA,0.235,3,78.33333333333333,0.17613
T016,OA,post,OA,0.17,2.81,60.4982206405694,0.10924
T016,OA,post,OA,0.215,2.91,73.8831615120275,0.09062
T016,OA,post,OA,0.05,1.56,32.05128205128206,0.08111
T017,OA,post,OA,0.085,4.38,19.40639269406393,0.07459
T017,OA,post,OA,0.11,4.52,24.33628318584071,0.14059
T017,OA,post,OA,0.17,3.01,56.47840531561463,0.11874
T019,OA,post,OA,0.1,1.62,61.72839506172839,0.12452
T019,OA,post,OA,0.055,2.8,19.642857142857146,0.15479
T019,OA,post,OA,0.185,2.64,70.07575757575756,0.10212
T021,OA,post,OA,0.09,2.74,32.84671532846715,0.1588
T021,OA,post,OA,0.08,2.4,33.333333333333336,0.09749
T021,OA,post,OA,0.09,2.98,30.201342281879192,0.15982
T023,OA,post,OA,0.225,3.25,69.23076923076924,0.11947
T023,OA,post,OA,0.195,3.85,50.64935064935065,0.09265
T023,OA,post,OA,0.115,3.12,36.85897435897436,0.09063
T025,OA,post,OA,0.325,3.13,103.8338658146965,0.09947
T025,OA,post,OA,0.3,3.79,79.15567282321899,0.11637
T025,OA,post,OA,0.155,2.38,65.12605042016807,0.04498
T026,OA,post,OA,0.195,4.12,47.33009708737864,0.08994
T026,OA,post,OA,0.065,1.55,41.935483870967744,0.13518
T026,OA,post,OA,0.125,4.13,30.26634382566586,0.10167
T027,OA,post,OA,0.065,3.27,19.877675840978593,0.10929
T027,OA,post,OA,0.08,1.65,48.48484848484849,0.21797
T027,OA,post,OA,0.135,4.02,33.58208955223881,0.16074
T118,OA,post,OA,0.2,2.64,75.75757575757576,0.09437
T118,OA,post,OA,0.14,4.03,34.7394540942928,0.1235
T118,OA,post,OA,0.18,3.88,46.391752577319586,0.1156
T119,OA,post,OA,0.365,4.45,82.02247191011236,0.12418
T119,OA,post,OA,0.2,2.25,88.88888888888889,0.0886
T119,OA,post,OA,0.07,2.16,32.407407407407405,0.13114
T029,OW,post,OW,0.455,3.16,143.9873417721519,0.10926
T029,OW,post,OW,0.13,3.51,37.037037037037045,0.12579
T029,OW,post,OW,0.235,2.87,81.88153310104529,0.10780000000000001
T030,OW,post,OW,0.2,1.46,136.98630136986304,0.10997
T030,OW,post,OW,0.175,1.19,147.05882352941177,0.09699
T030,OW,post,OW,0.265,2.21,119.90950226244344,0.13118
T031,OW,post,OW,0.205,5.35,38.3177570093458,0.09833
T031,OW,post,OW,0.2,3.09,64.72491909385114,0.12342
T031,OW,post,OW,0.225,3.96,56.81818181818182,0.13483
T033,OW,post,OW,0.02,3.73,5.361930294906166,0.2259
T033,OW,post,OW,0.05,4.48,11.160714285714286,0.12528
T033,OW,post,OW,0.095,4.22,22.511848341232227,0.18507
T034,OW,post,OW,0.18,3,60,0.08545
T034,OW,post,OW,0.105,3.09,33.980582524271846,0.0969
T034,OW,post,OW,0.125,4.78,26.15062761506276,0.09252
T035,OW,post,OW,0.125,1.82,68.68131868131867,0.11696
T035,OW,post,OW,0.08,3.05,26.229508196721316,0.10394
T035,OW,post,OW,0.12,3.84,31.25,0.08076
T036,OW,post,OW,0.09,4.11,21.8978102189781,0.08604
T036,OW,post,OW,0.135,3.7,36.48648648648649,0.14459
T036,OW,post,OW,0.04,2.06,19.41747572815534,0.22606
T037,OW,post,OW,0.015,2.31,6.4935064935064934,0.15505
T037,OW,post,OW,0.025,2.42,10.330578512396695,0.09052
T037,OW,post,OW,0.15,2.56,58.59375,0.13614
T038,OW,post,OW,0.07,2.83,24.73498233215548,0.09435
T038,OW,post,OW,0.09,2.81,32.028469750889684,0.15486
T038,OW,post,OW,0.035,4.19,8.353221957040573,0.15281
T039,OW,post,OW,0.255,2.88,88.54166666666667,0.2356
T039,OW,post,OW,0.155,1.9,81.57894736842105,0.19997
T039,OW,post,OW,0.11,2.28,48.245614035087726,0.23886
T040,OW,post,OW,0.12,2.91,41.23711340206186,0.22368
T040,OW,post,OW,0.065,3,21.666666666666668,0.20504
T040,OW,post,OW,0.05,1.37,36.4963503649635,0.30052
T041,OW,post,OW,0.08,1.69,47.33727810650888,0.10309
T041,OW,post,OW,0.065,2.11,30.80568720379147,0.15095
T041,OW,post,OW,0.1,1.7,58.82352941176471,0.11236
T046,DO,post,DO,0.155,1.07,144.85981308411215,0.14093
T046,DO,post,DO,0.125,1.75,71.42857142857143,0.15679
T046,DO,post,DO,0.175,1.19,147.05882352941177,0.13878
T047,DO,post,DO,0.07,1.43,48.95104895104896,0.17489
T047,DO,post,DO,0.065,1.14,57.01754385964912,0.18237
T047,DO,post,DO,0.04,1.32,30.303030303030305,0.25616
T049,DO,post,DO,0.175,1.75,99.99999999999999,0.12406
T049,DO,post,DO,0.075,2.99,25.083612040133776,0.1408
T049,DO,post,DO,0.09,1.48,60.81081081081081,0.15404
T052,DO,post,DO,0.2,3.03,66.00660066006601,0.0765
T052,DO,post,DO,0.305,2.44,125,0.10926
T052,DO,post,DO,0.15,2.89,51.903114186851205,0.09832
T055,DO,post,DO,0.2,2,100,0.10406
T055,DO,post,DO,0.175,2.84,61.61971830985916,0.09825
T055,DO,post,DO,0.13,2.66,48.87218045112782,0.08156
T056,DO,post,DO,0.145,2.42,59.91735537190082,0.09647
T056,DO,post,DO,0.145,3.71,39.083557951482476,0.09261
T056,DO,post,DO,0.12,3.21,37.38317757009346,0.09969
T057,DO,post,DO,0.125,1.91,65.44502617801047,0.15126
T057,DO,post,DO,0.085,2.31,36.7965367965368,0.13472
T057,DO,post,DO,0.155,2,77.5,0.139
T058,DO,post,DO,0.13,4.09,31.78484107579462,0.12533
T058,DO,post,DO,0.085,3.83,22.193211488250654,0.11078
T058,DO,post,DO,0.04,4.1,9.756097560975611,0.13991
T110,DO,post,DO,0.085,2.28,37.28070175438597,0.24753
T110,DO,post,DO,0.155,2.03,76.35467980295567,0.07446
T110,DO,post,DO,0.115,1.96,58.673469387755105,0.12765
T111,DO,post,DO,0.105,3.33,31.531531531531527,0.13122
T111,DO,post,DO,0.025,2.7,9.25925925925926,0.12545
T111,DO,post,DO,0.09,2.74,32.84671532846715,0.14657
T112,DO,post,DO,0.115,2.88,39.93055555555556,0.17082
T112,DO,post,DO,0.225,2.41,93.3609958506224,0.08742
T112,DO,post,DO,0.285,1.18,241.52542372881356,0.10541
