gene_set,family,metric,tier,n,n_genes,n_tests,n_perm,observed_min_p,p_permutation
candidate,per_metric,max_force,primary,46,251,251,10000,0.0050230007041919995,0.6722327767223277
candidate,per_metric,pad_area,primary,46,251,251,10000,3.6286191474090354e-4,0.0800919908009199
candidate,per_metric,adhesion_kpa,exploratory,46,251,251,10000,6.132912080596259e-4,0.1625837416258374
candidate,per_metric,max_displacement,exploratory,46,251,251,10000,3.969084262567129e-4,0.11658834116588342
candidate,per_metric,dlog_max_force,primary,45,251,251,10000,0.003937704756653032,0.7450254974502549
candidate,per_metric,dlog_pad_area,primary,45,251,251,10000,0.01213078083757482,0.8572142785721428
candidate,per_metric,dlog_adhesion_kpa,exploratory,45,251,251,10000,0.002317026303180834,0.44145585441455854
candidate,all_metrics,all,all,NA,251,1757,10000,3.6286191474090354e-4,0.48765123487651235
candidate,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,251,1004,10000,3.6286191474090354e-4,0.32086791320867913
module,per_metric,max_force,primary,46,6,6,10000,0.20050318090674737,0.6694330566943306
module,per_metric,pad_area,primary,46,6,6,10000,0.1899402952640688,0.6055394460553944
module,per_metric,adhesion_kpa,exploratory,46,6,6,10000,0.26546570404438563,0.7539246075392461
module,per_metric,max_displacement,exploratory,46,6,6,10000,0.05059539617869398,0.24067593240675933
module,per_metric,dlog_max_force,primary,45,6,6,10000,0.11922046517540894,0.5168483151684832
module,per_metric,dlog_pad_area,primary,45,6,6,10000,0.7382161624619956,0.998000199980002
module,per_metric,dlog_adhesion_kpa,exploratory,45,6,6,10000,0.09464666277533121,0.39676032396760325
module,all_metrics,all,all,NA,6,42,10000,0.05059539617869398,0.7223277672232776
module,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,6,24,10000,0.11922046517540894,0.8618138186181382
DEG_union,per_metric,max_force,primary,46,998,998,10000,2.1707518630218804e-4,0.14558544145585442
DEG_union,per_metric,pad_area,primary,46,998,998,10000,8.890636151887287e-4,0.41655834416558346
DEG_union,per_metric,adhesion_kpa,exploratory,46,998,998,10000,2.3289536533319233e-4,0.2146785321467853
DEG_union,per_metric,max_displacement,exploratory,46,998,998,10000,7.447574112650247e-4,0.46715328467153283
DEG_union,per_metric,dlog_max_force,primary,45,998,998,10000,3.7788950103513576e-5,0.0766923307669233
DEG_union,per_metric,dlog_pad_area,primary,45,998,998,10000,0.001287565193437089,0.44025597440255976
DEG_union,per_metric,dlog_adhesion_kpa,exploratory,45,998,998,10000,4.6306459166500374e-5,0.051294870512948704
DEG_union,all_metrics,all,all,NA,998,6986,10000,3.7788950103513576e-5,0.24437556244375563
DEG_union,primary_metrics,max_force;pad_area;dlog_max_force;dlog_pad_area,primary,NA,998,3992,10000,3.7788950103513576e-5,0.1377862213778622
