LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,slope_mixed,p_mixed,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134685659,adhesion_kpa,45,25.43715235813135,0.035683004643377494,0.6520258121198979,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",62.5,0,genome_blast,TRUE,TRUE,candidate,exploratory,25.389963349754527,0.03572033586943019,0.6527079554323154,0.9931006899310069,1,NA
LOC134695612,adhesion_kpa,45,26.7917191907318,0.042386744689227915,0.7099779735445676,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.968,2.709999999999999e-118,genome_blast,FALSE,TRUE,candidate,exploratory,26.68319935916492,0.04299875318580127,0.7202291158621713,0.9972002799720028,1,NA
LOC134697661,adhesion_kpa,45,13.560525165559412,0.06422317477266573,0.8539273909184854,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",64.23,0,genome_blast,FALSE,TRUE,candidate,exploratory,13.554658129296117,0.06386927185733084,0.8457040948430964,0.9998000199980002,1,NA
LOC134714791,adhesion_kpa,45,19.16623624472513,0.06594579045485684,0.8539273909184854,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)",67.096,0,genome_blast,TRUE,TRUE,candidate,exploratory,19.337959368288914,0.06332075564767765,0.8457040948430964,0.9999000099990001,1,NA
LOC134706747,adhesion_kpa,45,13.973187683385289,0.07821564340489394,0.8539273909184854,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),63.306,0,genome_blast,FALSE,TRUE,candidate,exploratory,14.285263365724132,0.07232631641353106,0.8457040948430964,1,1,NA
LOC134721921,adhesion_kpa,45,-17.77451030499845,0.09185433337583697,0.8539273909184854,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.654,1.1099999999999999e-94,genome_blast,FALSE,TRUE,candidate,exploratory,-17.647460693902087,0.09417018122705809,0.8457040948430964,1,1,NA
LOC134710805,adhesion_kpa,45,27.304168529306445,0.09903511977086032,0.8539273909184854,Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC),41.104,1.06e-83,genome_blast,FALSE,TRUE,candidate,exploratory,27.357596212787396,0.09779593188509159,0.8457040948430964,1,1,NA
LOC134714939,adhesion_kpa,45,23.056273720292598,0.10055186358640406,0.8539273909184854,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)",69.481,0,genome_blast,TRUE,TRUE,candidate,exploratory,23.217448357893335,0.09776379882911608,0.8457040948430964,1,1,NA
LOC134721338,adhesion_kpa,45,12.83881904090613,0.10824233603685242,0.8539273909184854,Tyrosinase 2,28.932,5.969999999999999e-52,genome_blast,FALSE,TRUE,candidate,exploratory,12.900977295320262,0.10600924323498533,0.8457040948430964,1,1,NA
LOC134721501,adhesion_kpa,45,12.841125615452844,0.11232382320875756,0.8539273909184854,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),68.142,0,genome_blast,TRUE,TRUE,candidate,exploratory,12.80075419154663,0.1128901253783298,0.8457040948430964,1,1,NA
