module,n_genes,pc1_var,metric,scale,tier,n,slope,se,p_lm,slope_mixed,p_mixed,q_lm,q_mixed,q_family
tRNA_translation,33,0.3,max_displacement,raw,exploratory,45,-0.0031957755268192346,0.0019613850158421396,0.11129172019908519,-0.0031920379540754454,0.11180188835340972,0.5993295972096829,0.6035966877341183,0.6546894902183654
byssal_structural,6,0.39,adhesion_kpa,log,exploratory,45,0.0979781387946444,0.06771258188662813,0.1558955891748548,0.09759945669174633,0.15704833509031288,0.5728533039410697,0.574129631709333,0.6546894902183654
HSP_proteostasis,140,0.1,max_force,log,primary,45,0.028767147384850277,0.02199347704582222,0.1985356805523206,0.0287292546308091,0.19898800613991063,0.4863696043496225,0.4905413488362854,0.6178855311029152
tRNA_translation,33,0.3,adhesion_kpa,log,exploratory,45,0.034988791418915824,0.02867395566237396,0.22970530092680683,0.0349647011351821,0.22971457282144656,0.5728533039410697,0.574129631709333,0.6546894902183654
byssal_structural,6,0.39,max_force,log,primary,45,0.07189228537933011,0.05965635799462003,0.23542375389785347,0.07127399623675723,0.2390595686382398,0.4863696043496225,0.4905413488362854,0.6178855311029152
HIF_hypoxia,11,0.21,max_force,log,primary,45,-0.0690934458954118,0.058306260488379606,0.24318480217481125,-0.06875575870451457,0.2452706744181427,0.4863696043496225,0.4905413488362854,0.6178855311029152
oxidative_detox,68,0.13,pad_area,log,primary,45,-0.027627393739696367,0.02408775309212301,0.2583911998562382,-0.027464071542958483,0.25900653984245176,0.6935595758914587,0.6925547904145231,0.6178855311029152
HSP_proteostasis,140,0.1,max_displacement,raw,exploratory,45,-0.0019448917896988864,0.0017593027052531301,0.2757205314507146,-0.0019414142875243262,0.27667393928235473,0.5993295972096829,0.6035966877341183,0.6546894902183654
byssal_collagen,50,0.17,pad_area,log,primary,45,-0.02252331521476321,0.022180072944628575,0.3161380203746415,-0.0225098635976072,0.3155889074489254,0.6935595758914587,0.6925547904145231,0.6178855311029152
byssal_structural,6,0.39,max_displacement,raw,exploratory,45,0.004821119460568599,0.004777016508483181,0.3190840751286149,0.004857061882701037,0.31496356288655886,0.5993295972096829,0.6035966877341183,0.6546894902183654
HSP_proteostasis,140,0.1,adhesion_kpa,log,exploratory,45,0.024812728066918577,0.02531876311802953,0.3331200396248474,0.02479235670578472,0.33319171651399604,0.5728533039410697,0.574129631709333,0.6546894902183654
HIF_hypoxia,11,0.21,pad_area,log,primary,45,-0.03711684778255526,0.04085421345472045,0.36918410875769314,-0.03708899084717073,0.3691767196300403,0.6935595758914587,0.6925547904145231,0.6178855311029152
tRNA_translation,33,0.3,max_force,log,primary,45,0.02289988489900632,0.025374676874298445,0.37234752429971185,0.022865262079355308,0.37290871664254444,0.5240747039066677,0.5143592488336146,0.6178855311029152
HIF_hypoxia,11,0.21,adhesion_kpa,log,exploratory,45,-0.06113178974831159,0.06912260333365146,0.38190220262737984,-0.06097302808214079,0.38275308780622197,0.5728533039410697,0.574129631709333,0.6546894902183654
oxidative_detox,68,0.13,max_force,log,primary,45,-0.029319493692030442,0.037311312142531534,0.43672891992222307,-0.02965227878934756,0.4286327073613455,0.5240747039066677,0.5143592488336146,0.6178855311029152
byssal_collagen,50,0.17,max_displacement,raw,exploratory,45,0.0020948946312113336,0.0027645013953073025,0.45313509865702306,0.002120569282026875,0.44691485777668927,0.5993295972096829,0.6035966877341183,0.6560078533905251
tRNA_translation,33,0.3,pad_area,log,primary,45,-0.012150887570806684,0.016408380870864717,0.4634141483271864,-0.012153908082588552,0.46298395286017324,0.6935595758914587,0.6925547904145231,0.6178855311029152
oxidative_detox,68,0.13,max_displacement,raw,exploratory,45,0.0017636301645574403,0.0030268031770590955,0.563468817196476,0.001811543201126049,0.5506306146043709,0.5993295972096829,0.6035966877341183,0.6560078533905251
byssal_structural,6,0.39,pad_area,log,primary,45,-0.021822353543370962,0.03889486591408246,0.5779663132428823,-0.021842175785398862,0.5771289920121025,0.6935595758914587,0.6925547904145231,0.6935595758914587
HIF_hypoxia,11,0.21,max_displacement,raw,exploratory,45,0.0025072701654794563,0.004733467764149802,0.5993295972096829,0.0024777658248304768,0.6035966877341183,0.5993295972096829,0.6035966877341183,0.6560078533905251
byssal_collagen,50,0.17,adhesion_kpa,log,exploratory,45,0.02076297970959981,0.03941604469248704,0.6013405322746481,0.020551858848854847,0.6044468360197333,0.7216086387295777,0.7253362032236799,0.6560078533905251
HSP_proteostasis,140,0.1,pad_area,log,primary,45,0.003653850596059006,0.014519364063233819,0.8026301950920443,0.003649777436087637,0.8027082031274925,0.8026301950920443,0.8027082031274925,0.8755965764640482
oxidative_detox,68,0.13,adhesion_kpa,log,exploratory,45,-0.006261258314853143,0.042850137132823686,0.8845793970867881,-0.006555458119393833,0.8785808980496145,0.8845793970867881,0.8785808980496145,0.8845793970867881
byssal_collagen,50,0.17,max_force,log,primary,45,2.238380512039818e-5,0.03478496911827614,0.9994898490608211,-2.9367948855019664e-4,0.9932948065977765,0.9994898490608211,0.9932948065977765,0.9994898490608211
