LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134717350,max_force,46,-0.007033929368334764,0.6046084217444123,0.8114928023479726,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)
LOC134722124,max_force,46,-0.036265186861233915,0.15829565609341387,0.7288359799319352,Hypoxia up-regulated protein 1
LOC134706576,max_force,46,-0.020480615764859465,0.5369937636681592,0.8114928023479726,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60)"
LOC134725152,max_force,46,-0.011553087198283614,0.7353381910663643,0.852000007791844,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)"
LOC134712215,max_force,46,0.021720250856941393,0.5643603762233129,0.8114928023479726,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2)
LOC134711376,max_force,46,-0.02964238582723073,0.27476673067712976,0.7288359799319352,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha)
LOC134725758,max_force,46,-0.05943021078467498,0.09582405433373219,0.7288359799319352,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1)
LOC134695781,max_force,46,-0.008220240733673613,0.7204205214434474,0.852000007791844,97 kDa heat shock protein (Heat shock protein 110)
LOC134685659,max_force,46,0.01899393832822124,0.4789735925937533,0.8114928023479726,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)"
LOC134721501,max_force,46,0.017184202262533855,0.4930583221127405,0.8114928023479726,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
LOC134714392,max_force,46,-0.010883498769339809,0.7152428169553114,0.852000007791844,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
LOC134728203,max_force,46,0.016449460177517437,0.512699127485301,0.8114928023479726,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"
LOC134721377,max_force,46,-0.017549755572299826,0.5697850995881664,0.8114928023479726,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)"
LOC134709977,max_force,46,0.027346909313031284,0.5635353783032906,0.8114928023479726,Heat shock protein HSP 90-alpha
LOC134716333,max_force,46,-0.06825091677154951,0.05844876431108763,0.7288359799319352,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)"
LOC134680973,max_force,46,-0.01984470972145337,0.14517315462488,0.7288359799319352,Collagen alpha-6(VI) chain
LOC134716384,max_force,46,0.005258762559403015,0.7198236639030673,0.852000007791844,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134708353,max_force,46,0.008412715895996164,0.7793884751280331,0.8614293672467735,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)
LOC134684257,max_force,46,0.02755818113614556,0.4903938397692732,0.8114928023479726,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (FK506-binding protein 4) (FKBP-4) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]"
LOC134722108,max_force,46,-4.9613171512209946e-5,0.9978839984722048,0.9978839984722048,Collagen alpha-1(XXI) chain
LOC134695253,max_force,46,0.01105322302042034,0.7549635031765155,0.852000007791844,Collagen alpha-3(VI) chain
LOC134707467,max_force,46,0.005892716351410654,0.6913111569323792,0.852000007791844,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1)
LOC134716146,max_force,46,0.011896189000788912,0.6087786713797912,0.8114928023479726,Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)
LOC134715482,max_force,46,-0.0670888970254968,0.21808297290533274,0.7288359799319352,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)
LOC134692100,max_force,46,0.011213303570163166,0.487506215092529,0.8114928023479726,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134682955,max_force,46,-0.02572166462658479,0.252407852779884,0.7288359799319352,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1)
LOC134720973,max_force,46,-0.06383939772822317,0.026948506127921233,0.5659186286863459,Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)
LOC134716385,max_force,46,0.006885765831853281,0.494025692290624,0.8114928023479726,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134720932,max_force,46,0.0025462153729524997,0.7573333402594169,0.852000007791844,Byssal peroxidase-like protein 2
LOC134721315,max_force,46,-0.0011202903345923238,0.9275366772125478,0.9739135110731753,Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GSTM4-4) (Glutathione transferase GSTM7-7) (Leukotriene C4 synthase GSTM4) (EC 4.4.1.20)
LOC134695001,max_force,46,-0.03605101731231987,0.23648802630821653,0.7288359799319352,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p)
LOC134710997,max_force,46,-0.011836848526778273,0.40520386717624524,0.8114928023479726,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)"
LOC134691221,max_force,46,-0.041273489563091084,0.26842790889589896,0.7288359799319352,Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta)
LOC134697127,max_force,46,0.06966987280903748,0.14103992909352056,0.7288359799319352,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B)
LOC134722070,max_force,46,0.0026149779825281405,0.92539371324956,0.9739135110731753,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"
LOC134682488,max_force,46,-0.018746739125412124,0.19347668198423604,0.7288359799319352,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)
LOC134690636,max_force,46,-0.023317961902194567,0.23242921681306258,0.7288359799319352,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma)
LOC134721046,max_force,46,-0.04569479142380393,0.3446455979498425,0.7652982314517497,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]
LOC134701696,max_force,46,0.03431866615786338,0.277430627075997,0.7288359799319352,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A)
LOC134728119,max_force,46,-0.02566217822410628,0.2625950381896756,0.7288359799319352,Collagen alpha-1(XXII) chain
LOC134705706,max_force,46,-0.014974013736058143,0.5621396625415762,0.8114928023479726,Collagen alpha-1(V) chain
LOC134715908,max_force,46,-0.010256065917231029,0.7456806495871695,0.852000007791844,Dye-decolorizing peroxidase YfeX (EC 1.11.1.-)
LOC134720677,max_force,46,-0.03409611993411121,0.10657712698389842,0.7288359799319352,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)
LOC134682504,max_force,46,-0.009100869337326237,0.6182802303603601,0.8114928023479726,Collagen alpha-3(VI) chain
LOC134725897,max_force,46,-0.01171953494307173,0.5953830171525232,0.8114928023479726,Glyoxalase 3 (EC 4.2.1.130) (Glutathione-independent glyoxalase)
LOC134697168,max_force,46,-0.04241413887600091,0.31464933821718455,0.7652982314517497,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B)
