metric,n,n_genes,n_perm,observed_min_p,p_permutation
max_force,46,251,10000,0.0050230007041919995,0.6722327767223277
pad_area,46,251,10000,3.6286191474090354e-4,0.0800919908009199
adhesion_kpa,46,251,10000,6.132912080596259e-4,0.1625837416258374
max_displacement,46,251,10000,3.969084262567129e-4,0.11658834116588342
dlog_max_force,45,251,10000,0.003937704756653032,0.7450254974502549
dlog_pad_area,45,251,10000,0.01213078083757482,0.8572142785721428
dlog_adhesion_kpa,45,251,10000,0.002317026303180834,0.44145585441455854
