gene_set,metric,tier,feature,protein_name,n,slope_wls,p_wls,q_wls,p_mixed,p_perm_metric,p_perm_metricwise,p_perm_famwise,p_perm_primary,p_perm_family,p_perm_family_primary,floor_flag,most_influential_mussel,influence_flag
module,dlog_max_force,primary,byssal_structural,6-gene module,45,0.1054218794128032,0.11922046517540917,0.6578537020230392,NA,0.5168483151684832,0.5168483151684832,0.9451054894510549,0.8618138186181382,0.7223277672232776,0.8618138186181382,NA,NA,NA
module,dlog_pad_area,primary,byssal_structural,6-gene module,45,-0.01468467731974459,0.7382161624619956,0.8117313340808999,NA,0.998000199980002,0.998000199980002,1,1,0.7223277672232776,0.8618138186181382,NA,NA,NA
module,dlog_adhesion_kpa,exploratory,byssal_structural,6-gene module,45,0.11803098846096859,0.09464666277533114,0.5678799766519869,NA,0.39676032396760325,0.39676032396760325,0.9017098290170983,NA,0.7223277672232776,0.8618138186181382,NA,NA,NA
DEG_union,max_force,primary,LOC134683070,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (PP47),46,0.19346935462855058,2.1707518630218088e-4,0.2166410359295765,NA,0.14558544145585442,0.14558544145585442,0.7085291470852915,0.5116488351164884,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,pad_area,primary,LOC134708166,NA,46,-1.4031379980990204,8.890636151887366e-4,0.47067163208038776,NA,0.41655834416558346,0.41655834416558346,0.9832016798320168,0.9168083191680831,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,adhesion_kpa,exploratory,LOC134683070,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (PP47),46,87.49897744447566,2.328953653331881e-4,0.23242957460252173,NA,0.2146785321467853,0.2146785321467853,0.7298270172982702,NA,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,max_displacement,exploratory,LOC134716071,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),46,-0.05784904131615738,7.447574112650075e-4,0.47786745822956495,NA,0.46715328467153283,0.46715328467153283,0.9706029397060294,NA,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,dlog_max_force,primary,LOC134706590,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),45,1.357966097017112,3.778895010351114e-5,0.03771337220330412,NA,0.0766923307669233,0.0766923307669233,0.24437556244375563,0.1377862213778622,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,dlog_pad_area,primary,LOC134703577,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II),45,-1.0016868118379705,0.001287565193437136,0.3553226285348031,NA,0.44025597440255976,0.44025597440255976,0.9967003299670033,0.9686031396860314,0.24437556244375563,0.1377862213778622,ok,NA,NA
DEG_union,dlog_adhesion_kpa,exploratory,LOC134706590,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),45,1.4075222223977268,4.630645916649821e-5,0.046213846248165213,NA,0.051294870512948704,0.051294870512948704,0.28217178282171784,NA,0.24437556244375563,0.1377862213778622,ok,NA,NA
