gene_set,metric,tier,feature,protein_name,n,slope_wls,p_wls,q_wls,p_mixed,p_perm_metric,p_perm_metricwise,p_perm_famwise,p_perm_primary,p_perm_family,p_perm_family_primary,floor_flag,most_influential_mussel,influence_flag
candidate,max_force,primary,LOC134693664,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),46,-0.08100770501491447,0.005023000704192123,0.6777810841069725,0.00525791435092414,0.6722327767223277,0.6722327767223277,0.9983001699830018,0.9817018298170183,0.48765123487651235,0.32086791320867913,ok,T029,fragile
candidate,pad_area,primary,LOC134718612,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),46,-1.0052450081255984,3.62861914740896e-4,0.09107834059996489,3.577705694260481e-4,0.0800919908009199,0.0800919908009199,0.48765123487651235,0.32086791320867913,0.48765123487651235,0.32086791320867913,caution,T136,robust
candidate,adhesion_kpa,exploratory,LOC134718614,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),46,43.89439069960167,6.132912080596384e-4,0.15393609322296922,5.42696519443274e-4,0.1625837416258374,0.1625837416258374,0.6528347165283471,NA,0.48765123487651235,0.32086791320867913,ok,T030,robust
candidate,max_displacement,exploratory,LOC134711730,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",46,-0.03847517447023987,3.969084262567194e-4,0.09962401499043656,4.199913289910178e-4,0.11658834116588342,0.11658834116588342,0.514048595140486,NA,0.48765123487651235,0.32086791320867913,ok,T040,robust
candidate,dlog_max_force,primary,LOC134720928,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),45,0.4816179120670405,0.003937704756652966,0.5588022377512519,NA,0.7450254974502549,0.7450254974502549,0.9951004899510049,0.9649035096490352,0.48765123487651235,0.32086791320867913,ok,T047,robust
candidate,dlog_pad_area,primary,LOC134720932,Byssal peroxidase-like protein 2,45,-0.10149226685441616,0.012130780837574797,0.999173352600897,NA,0.8572142785721428,0.8572142785721428,1,1,0.48765123487651235,0.32086791320867913,ok,T047,fragile
candidate,dlog_adhesion_kpa,exploratory,LOC134697060,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),45,0.873638332600296,0.002317026303180814,0.5815736020983843,NA,0.44145585441455854,0.44145585441455854,0.96890310968903115,NA,0.48765123487651235,0.32086791320867913,ok,T037,robust
module,max_force,primary,oxidative_detox,68-gene module,46,-0.006482578699463257,0.2005031809067473,0.6093330432813724,0.2183766167187069,0.6694330566943306,0.6694330566943306,0.9935006499350065,0.9696030396960303,0.7223277672232776,0.8618138186181382,NA,NA,NA
module,pad_area,primary,oxidative_detox,68-gene module,46,-0.08344856036899513,0.18994029526406894,0.6175146095973718,0.1915409695670653,0.6055394460553944,0.6055394460553944,0.9915008499150085,0.9637036296370363,0.7223277672232776,0.8618138186181382,NA,NA,NA
module,adhesion_kpa,exploratory,tRNA_translation,33-gene module,46,1.6563818218456101,0.26546570404438585,0.7455224666484861,0.2630341483011877,0.7539246075392461,0.7539246075392461,0.9986001399860014,NA,0.7223277672232776,0.8618138186181382,NA,NA,NA
module,max_displacement,exploratory,tRNA_translation,33-gene module,46,-0.003631412596670748,0.05059539617869393,0.30357237707216356,0.04966945044126607,0.24067593240675933,0.24067593240675933,0.7223277672232776,NA,0.7223277672232776,0.8618138186181382,NA,NA,NA
