metric,n,n_genes,n_perm,observed_min_p,p_permutation
max_force,45,73,10000,0.011010104182417803,0.46125387461253875
pad_area,45,73,10000,0.014051680010167805,0.4971502849715029
adhesion_kpa,45,73,10000,0.008969197923481905,0.38836116388361164
max_displacement,45,73,10000,0.0022173059268215008,0.1382861713828617
dlog_max_force,44,73,10000,0.0012081091629339348,0.1312868713128687
dlog_pad_area,44,73,10000,0.011389707985653013,0.2298770122987701
dlog_adhesion_kpa,44,73,10000,0.010216245156538243,0.4714528547145285
