mussel,treatment,n_plaques,max_force,pad_area,adhesion_kpa,max_displacement,n_plaques_base,base_max_force,base_pad_area,base_adhesion_kpa,base_max_displacement,dlog_max_force,dlog_pad_area,dlog_adhesion_kpa,sample,response_class,response_score,adhesion_kpa_direction,adhesion_kpa_rel_direction,max_force_direction,max_force_rel_direction,pad_area_direction,pad_area_rel_direction,max_displacement_direction,max_displacement_rel_direction,adhesion_kpa_vs_control,max_force_vs_control,pad_area_vs_control,max_displacement_vs_control
T014,OA,3,0.21166666666666667,4.68,46.10613808655988,0.16848333333333332,3,0.225,3.2733333333333334,67.16748652857129,0.15344666666666668,-0.06108769197983815,0.3574892762312904,-0.37624321067166505,T014F,weaker,0.5129629726846302,decreased,below_control,decreased,above_control,increased,above_control,increased,above_control,-15.965366658501935,5.588996567714029,22.190672122103543,21.50406942640723
T015,OA,3,0.29333333333333333,3.1566666666666667,92.53983270582088,0.13928666666666667,3,0.22666666666666668,2.8466666666666667,81.61149424014266,0.12701666666666667,0.2578291093020997,0.10336789939750839,0.12566906283707804,T015F,stronger,0.9089618290951876,increased,above_control,increased,above_control,increased,below_control,increased,above_control,28.781782334856025,40.9266871995223,-9.892921557096278,21.364940219140756
T016,OA,3,0.14500000000000002,2.4266666666666667,55.47755473462632,0.09365666666666667,3,0.19833333333333333,2.0033333333333334,99.29202285749304,0.14506333333333332,-0.3132153744569456,0.1917061136614784,-0.5820867143058294,T016F,weaker,0.04950029575198653,decreased,below_control,decreased,below_control,increased,above_control,decreased,below_control,-28.73577941270549,-15.375833808881042,0.3485962878693698,-23.732604528262048
T017,OA,3,0.31333333333333335,3.9699999999999998,78.80057924848414,0.11287666666666667,3,0.38666666666666666,3.2533333333333334,118.13816521248373,0.15206,-0.21029540883636066,0.19908598294220747,-0.40493448343199573,T017F,weaker,0.25864274399214793,decreased,below_control,decreased,below_control,increased,above_control,decreased,below_control,-17.90685205962793,-7.450594747739347,1.245837225105113,-14.06354642746015
T019,OA,3,0.19,2.3533333333333335,77.86328897440008,0.11068333333333334,3,0.17333333333333334,1.7866666666666666,97.72113668333392,0.12329666666666667,0.09180754925312269,0.27548107642244013,-0.22716329491797432,T019F,mixed,0.6678881166738614,decreased,below_control,increased,above_control,increased,above_control,decreased,above_control,-4.9298371117020015,21.13030710902457,10.933566610962735,1.4747222337592127
T021,OA,3,0.08666666666666667,2.7066666666666666,32.12713031455989,0.13870333333333332,NA,NA,NA,NA,NA,NA,NA,NA,T021F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T023,OA,3,0.26333333333333336,3.4066666666666667,74.32428682428683,0.13067,3,0.35,3.763333333333333,90.72225517368982,0.14737333333333333,-0.28451249769050174,-0.09957079338601221,-0.1993649248166758,T023F,weaker,0.11822115721118452,decreased,below_control,decreased,below_control,decreased,below_control,decreased,above_control,-2.683815711635665,-13.246982268264787,-30.26026493987476,0.37076367146628186
T025,OA,3,0.26,3.1,82.70519635269451,0.08694,3,0.26666666666666666,2.7399999999999998,99.0455580582818,0.14317000000000002,-0.025317807984289783,0.12344419109112176,-0.18029749286536018,T025F,weaker,0.4966828126981566,decreased,below_control,decreased,above_control,increased,below_control,decreased,below_control,-1.106726947723493,9.01492249363996,-7.644165168098166,-27.570197144296547
T026,OA,3,0.12833333333333333,3.2666666666666666,39.84397492800408,0.10893,3,0.11833333333333333,3.1133333333333333,37.83705478383858,0.11476,0.08112554481236832,0.048076133435774916,0.05168229228230327,T026F,stronger,0.6829523029660904,increased,above_control,increased,above_control,increased,below_control,decreased,above_control,20.69520991497833,19.965626718992063,-15.85779776629446,6.624623326790911
T027,OA,3,0.19833333333333333,2.98,66.09162970247456,0.18299666666666667,3,0.22666666666666666,3.2533333333333334,70.16833215186786,0.11825,-0.13353139262452263,-0.08775681123957842,-0.05985499228937467,T027F,weaker,0.3386719418720635,decreased,above_control,decreased,below_control,decreased,below_control,increased,above_control,9.581207568719975,-0.9850775063600388,-29.18449064374734,66.45884278187333
