Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
A1-T001F_S100_hisat	2491722	2491722	694669	1349621	447432	72.12
A1-T030F_S196_hisat	2634487	2634487	842434	1322000	470053	68.02
A10-T015F_S172_hisat	2913943	2913943	853251	1528740	531952	70.72
A11-T027F_S180_hisat	2746166	2746166	826098	1390820	529248	69.92
A12-T021G_S188_hisat	3017351	3017351	1082064	1417621	517666	64.14
A2-T009F_S108_hisat	2334877	2334877	617061	1258364	459452	73.57
A2-T039F_S204_hisat	3231793	3231793	1045634	1592589	593570	67.65
A3-T005G_S116_hisat	3450293	3450293	1308690	1588821	552782	62.07
A3-T035G_S212_hisat	2477128	2477128	872650	1142723	461755	64.77
A4-T002FX_S220_hisat	2237114	2237114	631927	1225838	379349	71.75
A4-T126F_S124_hisat	2133417	2133417	641062	992385	499970	69.95
A5-T010FX_S228_hisat	2184749	2184749	617096	1239794	327859	71.75
A5-T134F_S132_hisat	2998297	2998297	926584	1584640	487073	69.1
A6-T130G_S140_hisat	3031410	3031410	1127926	1332242	571242	62.79
A7-T046F_S148_hisat	2837368	2837368	928431	1475597	433340	67.28
A8-T110F_S156_hisat	2848403	2848403	878100	1469724	500579	69.17
A9-T055G_S164_hisat	2966883	2966883	1092305	1339298	535280	63.18
B1-T002F_S101_hisat	2643938	2643938	741394	1389390	513154	71.96
B1-T031F_S197_hisat	2712584	2712584	839630	1394513	478441	69.05
B10-T016F_S173_hisat	2233936	2233936	709552	1109818	414566	68.24
B11-T118F_S181_hisat	2098827	2098827	606913	1143291	348623	71.08
B12-T023G_S189_hisat	2784718	2784718	1000795	1270302	513621	64.06
B2-T010F_S109_hisat	2589592	2589592	716301	1398388	474903	72.34
B2-T040F_S205_hisat	3521988	3521988	1211147	1757003	553838	65.61
B3-T006G_S117_hisat	3261817	3261817	1187698	1478740	595379	63.59
B3-T036G_S213_hisat	2537029	2537029	919353	1181622	436054	63.76
B4-T003FX_S221_hisat	2576893	2576893	752636	1440625	383632	70.79
B4-T127F_S125_hisat	3190008	3190008	955502	1644308	590198	70.05
B5-T011FX_S229_hisat	2283972	2283972	682551	1243759	357662	70.12
B5-T135F_S133_hisat	3128098	3128098	1008797	1534384	584917	67.75
B6-T131G_S141_hisat	3732306	3732306	1374537	1671770	685999	63.17
B7-T049F_S149_hisat	2928653	2928653	961246	1513908	453499	67.18
B8-T111F_S157_hisat	2957055	2957055	914345	1513276	529434	69.08
B9-T056G_S165_hisat	3070047	3070047	1128327	1401357	540363	63.25
C1-T003F_S102_hisat	2265218	2265218	616148	1197333	451737	72.8
C1-T033F_S198_hisat	2944722	2944722	937099	1480792	526831	68.18
C10-T017F_S174_hisat	2395245	2395245	766664	1131998	496583	67.99
C11-T119F_S182_hisat	2498350	2498350	730862	1351706	415782	70.75
C12-T025G_S190_hisat	2609476	2609476	1023210	1127420	458846	60.79
C2-T011F_S110_hisat	2016694	2016694	569867	1093172	353655	71.74
C2-T041F_S206_hisat	2984946	2984946	946334	1515541	523071	68.3
C3-T007G_S118_hisat	2554676	2554676	851757	1307209	395710	66.66
C3-T037G_S214_hisat	2536524	2536524	929469	1189979	417076	63.36
C4-T004FX_S222_hisat	2974527	2974527	871586	1702272	400669	70.7
C4-T128F_S126_hisat	2754576	2754576	842636	1465964	445976	69.41
C5-T012FX_S230_hisat	2657393	2657393	792597	1486729	378067	70.17
C5-T136F_S134_hisat	2960647	2960647	924853	1521956	513838	68.76
C6-T132G_S142_hisat	2394378	2394378	857639	1093525	443214	64.18
C7-T051F_S150_hisat	942703	942703	197950	235807	508946	79.0
C8-T112F_S158_hisat	2555706	2555706	773462	1349009	433235	69.74
C9-T057G_S166_hisat	3277036	3277036	1148703	1536970	591363	64.95
D1-T004F_S103_hisat	2292623	2292623	633452	1265987	393184	72.37
D1-T034F_S199_hisat	2565124	2565124	742592	1343878	478654	71.05
D10-T019F_S175_hisat	2805876	2805876	854363	1436028	515485	69.55
D11-T014G_S183_hisat	2970183	2970183	1045433	1349886	574864	64.8
D12-T026G_S191_hisat	3150671	3150671	1147586	1435512	567573	63.58
D2-T012F_S111_hisat	2869934	2869934	838281	1564814	466839	70.79
D2-T029G_S207_hisat	3000232	3000232	1126199	1278617	595416	62.46
D3-T008G_S119_hisat	3864481	3864481	1310287	1914709	639485	66.09
D3-T038G_S215_hisat	3203667	3203667	1181779	1477377	544511	63.11
D4-T005FX_S223_hisat	2620366	2620366	765856	1470478	384032	70.77
D4-T129F_S127_hisat	3141474	3141474	962550	1645431	533493	69.36
