Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
D5-T137F_S135_hisat	2728794	2728794	858770	1356947	513077	68.53
D6-T133G_S143_hisat	3641719	3641719	1296059	1703152	642508	64.41
D7-T052F_S151_hisat	3130800	3130800	1006044	1647809	476947	67.87
D8-T046G_S159_hisat	3016761	3016761	1105836	1357298	553627	63.34
D9-T058G_S167_hisat	3503711	3503711	1245915	1637849	619947	64.44
E1-T005F_S104_hisat	1867874	1867874	521771	976902	369201	72.07
E1-T035F_S200_hisat	2572913	2572913	799167	1280717	493029	68.94
E10-T021F_S176_hisat	2702994	2702994	882810	1287942	532242	67.34
E11-T015G_S184_hisat	3045095	3045095	1076197	1365331	603567	64.66
E12-T027G_S192_hisat	2414641	2414641	880734	1046798	487109	63.53
E2-T001G_S112_hisat	2995196	2995196	988968	1455611	550617	66.98
E2-T030G_S208_hisat	3122232	3122232	1178149	1423105	520978	62.27
E3-T009G_S120_hisat	3311354	3311354	1111607	1658838	540909	66.43
E3-T039G_S216_hisat	2299732	2299732	843817	1064383	391532	63.31
E4-T006FX_S224_hisat	2619918	2619918	765706	1419735	434477	70.77
E4-T130F_S128_hisat	2361461	2361461	693499	1154019	513943	70.63
E5-T126G_S136_hisat	2890817	2890817	1068127	1288550	534140	63.05
E6-T134G_S144_hisat	3354229	3354229	1241586	1480176	632467	62.98
E7-T055F_S152_hisat	2996485	2996485	948663	1531536	516286	68.34
E8-T047G_S160_hisat	3300643	3300643	1178668	1471494	650481	64.29
E9-T110G_S168_hisat	2987416	2987416	1090278	1356844	540294	63.5
F1-T006F_S105_hisat	2026164	2026164	522428	1050119	453617	74.22
F1-T036F_S201_hisat	2007405	2007405	608569	992059	406777	69.68
F10-T023F_S177_hisat	2915873	2915873	864124	1560687	491062	70.36
F11-T016G_S185_hisat	2722021	2722021	1039232	1174114	508675	61.82
F12-T118G_S193_hisat	2391055	2391055	833384	1112761	444910	65.15
F2-T002G_S113_hisat	2372615	2372615	778442	1131749	462424	67.19
F2-T031G_S209_hisat	2305673	2305673	841930	1067260	396483	63.48
F3-T010G_S121_hisat	2859207	2859207	969101	1441756	448350	66.11
F3-T040G_S217_hisat	2894518	2894518	1059474	1359407	475637	63.4
F4-T007FX_S225_hisat	2075901	2075901	543793	1143255	388853	73.8
F4-T131F_S129_hisat	3248282	3248282	987054	1731432	529796	69.61
F5-T127G_S137_hisat	2418975	2418975	865376	1105471	448128	64.23
F6-T135G_S145_hisat	2720360	2720360	996961	1256296	467103	63.35
F7-T056F_S153_hisat	2470318	2470318	785380	1247055	437883	68.21
F8-T049G_S161_hisat	2767497	2767497	1022086	1243423	501988	63.07
F9-T111G_S169_hisat	1819737	1819737	660184	816578	342975	63.72
G1-T007F_S106_hisat	2449512	2449512	682552	1335648	431312	72.14
G1-T037F_S202_hisat	2273441	2273441	641017	1188350	444074	71.8
G10-T025F_S178_hisat	2611444	2611444	867429	1278741	465274	66.78
G11-T017G_S186_hisat	2687550	2687550	961442	1222797	503311	64.23
G12-T119G_S194_hisat	2979977	2979977	1058222	1372503	549252	64.49
G2-T003G_S114_hisat	2708178	2708178	929495	1298580	480103	65.68
G2-T033G_S210_hisat	2345489	2345489	905171	1020968	419350	61.41
G3-T011G_S122_hisat	2947229	2947229	1003871	1457712	485646	65.94
G3-T041G_S218_hisat	2975813	2975813	1081796	1375238	518779	63.65
G4-T008FX_S226_hisat	1961787	1961787	585799	1051274	324714	70.14
G4-T132F_S130_hisat	2393614	2393614	699517	1230366	463731	70.78
G5-T128G_S138_hisat	2934743	2934743	1055608	1374225	504910	64.03
G6-T136G_S146_hisat	2647980	2647980	959474	1226004	462502	63.77
G7-T057F_S154_hisat	3287660	3287660	967333	1760535	559792	70.58
G8-T051G_S162_hisat	775980	775980	280694	139532	355754	63.83
G9-T112G_S170_hisat	3397149	3397149	1248673	1538020	610456	63.24
H1-T008F_S107_hisat	2771615	2771615	818187	1473719	479709	70.48
H1-T038F_S203_hisat	2409839	2409839	753777	1261811	394251	68.72
H10-T026F_S179_hisat	2549863	2549863	763423	1260431	526009	70.06
H11-T019G_S187_hisat	2788151	2788151	979397	1306067	502687	64.87
H12-T029F_S195_hisat	2677137	2677137	736979	1441555	498603	72.47
H2-T004G_S115_hisat	2454129	2454129	840672	1199722	413735	65.74
H2-T034G_S211_hisat	2956981	2956981	1102303	1282313	572365	62.72
H3-T001FX_S219_hisat	2366930	2366930	667397	1339904	359629	71.8
H3-T012G_S123_hisat	2611516	2611516	922294	1285087	404135	64.68
H4-T009FX_S227_hisat	2368889	2368889	652893	1302320	413676	72.44
H4-T133F_S131_hisat	2339297	2339297	715217	1174350	449730	69.43
H5-T129G_S139_hisat	3067858	3067858	1155594	1342930	569334	62.33
H6-T137G_S147_hisat	3305143	3305143	1251368	1386692	667083	62.14
H7-T058F_S155_hisat	3241517	3241517	1041463	1559075	640979	67.87
H8-T052G_S163_hisat	2547111	2547111	915307	1187261	444543	64.06
H9-T014F_S171_hisat	2347893	2347893	681534	1158963	507396	70.97
