"...1" "sample.1" "tissue" "treatment" "day"
"T001G" "T001G" "G" "control" 0
"T002G" "T002G" "G" "control" 0
"T003G" "T003G" "G" "control" 0
"T004G" "T004G" "G" "control" 0
"T005G" "T005G" "G" "control" 0
"T006G" "T006G" "G" "control" 0
"T007G" "T007G" "G" "control" 0
"T008G" "T008G" "G" "control" 0
"T009G" "T009G" "G" "control" 0
"T010G" "T010G" "G" "control" 0
"T011G" "T011G" "G" "control" 0
"T012G" "T012G" "G" "control" 0
"T046G" "T046G" "G" "DO" 3
"T047G" "T047G" "G" "DO" 3
"T049G" "T049G" "G" "DO" 3
"T052G" "T052G" "G" "DO" 3
"T055G" "T055G" "G" "DO" 3
"T056G" "T056G" "G" "DO" 3
"T057G" "T057G" "G" "DO" 3
"T058G" "T058G" "G" "DO" 3
"T110G" "T110G" "G" "DO" 3
"T111G" "T111G" "G" "DO" 3
"T112G" "T112G" "G" "DO" 3
