direction,LOC_ID,protein_name,log2FoldChange,padj,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
up,LOC134687271,NA,3.354,1e-4,4.679,5.313,4.634,6.078,7.239,5.028,4.171,5.295,4.638,5.823,6.38,4.695,4.634,4.724,4.788,4.198,4.462,4.473,4.516,4.19,4.342,5.344,3.486,4.314,4.133,4.448,4.323,4.278,4.715,4.824,4.211,3.486,3.965,4.233,3.486,3.486,3.486,4.508,4.27,3.874,4.518,4.37,3.486,4.61,4.022,3.486
up,LOC134693655,Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2) (eIF-4D),3.025,0.0282,4.733,7.063,4.875,6.889,7.485,3.486,3.486,6.34,3.486,5.878,3.486,4.757,4.82,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,4.393,3.486,4.082,4.657,3.486,3.486,3.486,3.486,3.486,3.486,4.422,3.486,3.486,3.486,3.486,3.486,4.518,4.788,4.467,4.61,4.24,3.486
up,LOC134716025,NA,2.916,0.0233,5.887,5.178,5.487,5.237,4.35,4.434,4.446,5.102,4.638,6.049,11.772,4.482,4.2,3.486,4.561,3.486,4.336,4.599,5.006,4.389,4.096,4.632,4.987,3.486,4.133,6.02,4.419,4.174,5.114,8.802,3.486,4.685,4.802,3.486,4.885,3.486,4.439,4.163,3.486,3.486,4.413,4.47,4.186,4.548,8.659,4.482
up,LOC134685243,NA,2.706,1e-4,6.023,6.244,5.026,7.004,7.68,4.742,4.446,7.76,4.434,7.006,5.355,5.572,5.721,4.566,6.185,5.482,4.183,4.402,4.647,4.296,4.681,4.777,4.295,4.314,4.275,3.486,3.909,4.05,4.851,5.705,4.415,4.611,4.539,4.686,3.486,4.242,4.342,4.95,5.113,4.739,4.697,5.083,4.738,4.999,4.24,4.629
up,LOC134705160,NA,2.552,1.62e-4,5.564,6.421,4.563,6.797,5.872,4.922,5.094,7.436,4.434,7.022,4.148,6.043,5.199,4.119,5.134,5.195,4.462,4.021,4.584,4.296,4.23,4.247,4.149,4.408,4.275,4.236,4.214,4.525,4.368,3.946,4.211,3.486,4.161,4.098,4.254,4.242,4.68,4.639,4.88,4.791,4.518,4.788,4.901,4.722,4.022,4.068
up,LOC134688483,NA,2.505,0.0216,6.113,6.201,5.2,6.687,5.818,5.336,4.171,6.815,3.486,6,3.486,4.197,5.025,3.486,5.644,3.486,4.843,3.486,4.272,3.486,4.607,3.486,3.486,3.486,3.486,4.101,3.486,3.486,4.614,3.486,3.486,3.486,3.486,3.486,3.486,4.407,3.486,4.856,4.813,3.486,3.486,4.718,4.385,3.486,4.141,4.559
up,LOC134710193,NA,2.307,0.0229,5.758,6.627,4.634,6.291,6.158,4.865,5.094,7.569,3.486,6,4.827,5.193,4.875,4.258,3.486,4.871,4.462,4.238,3.486,3.486,4.096,3.486,3.486,3.486,3.486,4.101,4.323,3.486,4.499,4.134,3.486,3.486,4.539,3.486,4.032,3.486,3.486,4.698,4.665,3.486,3.486,4.642,5.319,4.87,4.948,3.486
up,LOC134686701,NA,2.079,0.0226,5.712,5.886,4.7,6.604,7.103,3.486,4.895,6.991,4.88,7.107,4.248,5.48,5.549,4.566,5.693,5.31,3.486,3.486,3.486,4.296,3.486,3.486,4.149,3.486,3.486,3.486,4.655,3.486,5.436,3.486,4.579,3.486,3.486,3.486,4.254,4.242,3.486,5.193,5.003,4.739,3.486,4.853,4.951,5.116,3.486,4.629
up,LOC134683041,NA,2.066,3.98e-4,6.147,7.396,5.638,7.851,7.239,5.213,4.446,7.76,4.725,6.956,6.293,5.542,6.77,5.09,6.185,5.688,4.462,4.711,4.272,4.19,4.23,3.486,3.486,4.205,4.589,5.048,4.323,5.143,5.712,6.895,4.717,4.345,4.539,4.444,5.057,4.716,4.606,5.229,4.943,5.1,4.981,4.974,5.388,5.762,5.426,5.271
up,LOC134721871,DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]),2.042,0.0216,6.464,7.46,3.486,8.156,7.597,5.17,5.459,7.948,3.486,8.016,5.193,5.602,5.872,5.09,6.356,4.871,3.486,4.762,4.816,5.429,5.086,3.486,4.922,3.486,5.123,5.191,5.004,5.728,5.179,3.486,4.579,4.611,5.188,3.486,4.681,4.716,3.486,5.696,5.69,5.573,5.353,5.55,5.319,4.87,4.948,4.972
