direction,LOC_ID,protein_name,log2FoldChange,padj,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
up,LOC134697300,Byssal HSP-like protein 1,5.05,2.05e-10,7.321,6.723,7.246,6.106,4.183,4.902,8.053,7.366,4.681,4.842,4.702,4.937,5.525,4.823,6.269,3.486,5.21,5.274,5.513,5.428,4.539,4.936,5.689,5.079,4.402,4.62,4.101,4.226,3.486,4.264,3.966,3.486,5.083,3.899,4.422,4.478,3.486,3.486,3.486,4.155,4.292,4.37,4.186,3.869,3.486,4.197
up,LOC134683202,Basic phospholipase A2 1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),3.826,0.00332,4.7,4.374,6.152,5.235,5.293,7.723,5.526,6.491,6.337,6.165,3.486,3.486,3.486,5.048,3.486,6.823,3.486,4.954,4.211,3.486,3.486,3.486,5.887,4.558,5.026,4.152,3.486,3.486,4.171,3.486,4.311,4.29,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,3.486,4.06,5.546,3.486,3.486
up,LOC134683549,NA,2.994,7.3900000000000007e-08,4.927,6.921,7.082,5.574,7.172,7.311,6.036,7.621,5.593,7.093,3.486,4.829,4.673,5.575,5.91,6.441,4.614,6.268,3.486,5.184,4.309,4.098,3.486,3.486,5.987,5.27,4.449,3.486,4.651,4.574,5.077,5.172,7.702,5.02,4.561,3.486,4.527,4.355,4.742,4.626,4.413,4.47,4.677,5.319,5.68,5.109
up,LOC134708263,NA,2.683,0.00641,5.199,7.094,6.905,5.981,5.915,6.352,5.735,4.908,4.873,6.098,4.149,4.408,3.486,4.236,4.323,4.525,4.21,5.637,3.486,4.531,3.486,3.486,5.396,5.58,5.026,5.454,5.099,5.213,4.446,3.486,5.823,3.486,5.723,4.87,3.486,3.486,3.486,4.355,3.486,4.497,3.486,4.116,4.677,4.245,5.952,3.486
up,LOC134724165,Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5),2.636,0.00149,5.199,6.457,5.241,7.665,5.293,6.265,7.247,6.177,6.318,6.899,3.486,3.486,4.822,4.759,3.486,5.325,3.486,4.752,3.486,4.817,4.722,5.429,5.237,5.435,5.24,4.785,4.997,7.766,5.094,5.832,5.789,4.927,6.923,5.066,4.974,4.023,3.486,3.486,3.486,4.563,4.776,4.788,3.486,5.572,5.703,4.695
up,LOC134711856,NA,2.17,6.3e-17,5.872,5.817,6.009,5.604,6.041,6.793,5.894,5.978,5.931,6.271,4.781,4.937,3.486,4.69,4.9,5.325,4.558,3.486,4.717,4.753,4.635,4.686,5.335,5.13,5.609,4.882,4.885,4.521,4.739,4.657,6.472,4.661,7.473,5.542,5.134,4.768,4.68,4.904,4.88,5.061,4.518,4.47,4.677,4.61,4.86,4.922
up,LOC134725734,DNA damage-inducible transcript 4-like protein,1.837,0.00109,5.278,5.237,4.931,5.768,5.847,5.765,5.894,5.89,5.773,6.513,4.522,4.937,4.673,5.236,4.505,4.774,5.045,5.92,4.78,4.611,3.486,4.444,4.733,3.486,5.487,4.882,5.237,6.168,5.546,5.295,5.296,4.757,6.117,4.398,3.486,4.817,5.383,4.435,5.059,4.791,3.486,4.254,3.486,4.915,4.86,4.756
up,LOC134725059,Transcription factor cwo (Protein clockwork orange),1.737,0.00201,4.402,4.86,4.736,5.449,5.49,6.337,5.276,5.582,5.931,6.719,4.522,4.408,4.75,5.145,5.187,5.018,4.715,4.954,4.717,4.878,4.876,4.754,4.492,5.178,5.666,5.167,4.885,5.411,4.651,5.295,5.682,5.292,5.578,5.38,4.974,4.908,3.486,4.856,4.943,4.563,4.292,4.915,4.738,4.667,4.404,4.305
up,LOC134687211,NA,1.536,1.25e-5,5.199,5.448,5.716,6.146,6.011,6.535,6.573,5.89,5.036,5.977,5.048,4.77,4.889,5.236,6.132,5.325,5.147,5.862,4.08,5.271,4.722,5.965,5.426,4.85,5.849,4.882,4.997,5.077,4.554,4.483,5.077,4.845,4.874,5.713,5.206,4.993,5.345,4.508,5.113,4.889,4.981,4.853,4.951,4.823,5.338,4.629
up,LOC134692905,Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81),1.494,5.2e-4,5.872,5.694,6.202,6.473,7.942,8.113,6.435,7.35,7.014,7.921,5.161,6.107,5.799,5.701,7.236,6.888,5.85,6.178,5.802,6.08,6.06,6.29,6.409,6.041,6.77,6.06,5.79,6.342,5.911,5.537,5.645,6.586,6.422,6.545,5.459,4.864,6.158,5.79,5.587,5.745,6.147,5.514,5.99,6.003,6.343,6.29
up,LOC134680676,NA,1.428,2.5e-4,5.116,5.409,5.241,6.378,5.49,5.699,5.873,5.611,5.906,6.229,5.161,5.934,5.405,5.608,5.099,5.846,5.179,5.227,5.138,5.091,5.914,5.043,5.271,5.355,5.638,5.167,5.361,5.869,5.667,5.153,6.009,4.757,6.029,5.152,5.057,4.478,5.264,4.576,4.813,4.739,4.413,5.182,4.292,5.222,5.368,4.695
up,LOC134711018,NA,1.385,1.52e-6,6.009,6.613,6.681,7.297,7.301,8.076,7.86,7.466,7.236,7.478,6.468,6.836,5.917,6.713,7.661,6.719,3.486,6.823,6.617,7.358,6.446,5.836,6.64,6.595,6.807,6.516,6.564,6.36,6.413,6.631,5.525,6.484,6.01,5.816,5.514,6.245,6.39,5.857,6.137,6.224,5.989,5.806,6.011,6.414,6.703,6.042
up,LOC134691227,NA,1.373,2.22e-8,7.379,7.901,7.238,8.102,7.212,8.092,8.714,8,7.866,7.933,6.252,8.027,7.959,8.888,7.428,9.166,7.033,6.224,8.11,6.8,8.176,7.675,8.128,8.77,7.944,8.251,7.316,7.825,7.255,8.927,7.397,7.666,6.672,7.649,6.704,6.083,7.356,6.794,6.528,6.514,6.81,6.664,6.308,6.127,7.175,6.656
up,LOC134707468,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),1.364,0.0111,5.025,5.037,4.931,5.867,5.181,5.605,5.09,5.136,5.656,5.214,4.987,4.708,4.889,4.823,4.722,4.827,4.368,5.77,4.579,4.878,4.309,5.14,4.492,4.971,4.486,4.678,4.449,4.865,3.486,4.657,5.136,4.757,6.293,3.486,3.486,4.242,4.748,4.639,3.486,4.978,4.612,3.486,4.467,4.411,5.105,4.972
