direction,LOC_ID,protein_name,log2FoldChange,padj,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
up,LOC134706576,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60)",0.923,4.83e-5,6.895,7.187,6.68,6.699,7.5,6.47,7.288,7.915,7.109,6.717,6.995,6.747,6.666,6.677,7.174,6.361,6.582,7.421,6.779,6.301,6.778,6.777,6.64,6.764,6.368,6.909,6.772,5.645,5.628,7.017,6.147,6.473,6.476,6.308,6.009,6.198,6.179,6.266,5.876,6.603,6.244,6.427,6.552,5.947,6.357,6.515
up,LOC134685659,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",0.914,0.00488,5.939,6.224,6.127,5.048,6.627,5.181,6.074,6.333,5.926,6.688,6.167,6.471,5.518,5.559,5.487,5.981,5.238,6.204,5.828,5.461,5.493,6.121,5.846,6.157,5.58,5.887,6.069,5.582,5.316,6.437,5.439,6.016,5.7,5.602,5.206,5.638,5.345,5.512,5.513,5.404,5.441,5.971,5.453,5.255,5.453,5.152
up,LOC134728203,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",0.909,1.57e-4,6.804,7.414,7.088,6.624,7.597,6.318,7.111,7.816,7.129,7.33,6.566,7.464,6.757,6.105,6.56,6.473,6.156,7.275,6.33,6.196,6.75,7.18,6.229,6.902,6.209,6.542,6.904,6.147,5.459,7.33,5.645,6.629,6.38,6.308,6.218,6.642,5.954,6.344,5.847,6.208,6.645,6.695,6.341,6.468,6.491,6.375
up,LOC134685572,Protein FAM199X,0.872,0.0182,5.448,5.289,5.562,4.884,6.048,5.061,5.241,5.527,5.223,6.058,5.64,5.272,5.351,5.237,5.4,5.416,4.991,5.334,5.311,4.856,5.265,3.486,5.335,4.971,5.072,5.013,4.824,4.976,4.966,4.87,4.725,5.348,4.486,5.271,3.486,5.033,5.035,4.806,4.943,4.889,5.208,4.788,5.284,5.116,4.948,4.629
up,LOC134685237,NA,0.857,0.0388,5.968,5.813,6.026,5.472,6.003,5.677,5.753,7.349,5.926,5.938,5.241,5.965,5.609,5.594,5.871,6.31,5.62,6.773,6.093,5.396,5.493,6.627,5.396,5.355,5.896,5.664,6.136,7.487,5.365,6.121,5.789,5.527,6.695,5.152,5.807,5.401,5.132,5.363,4.582,4.978,5.042,5.359,5.284,5.717,5.97,4.922
up,LOC134687007,Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease),0.849,0.0159,5.716,5.679,6.175,5.972,6.132,5.061,6.293,5.92,5.34,5.913,6.141,6.19,5.987,6.343,6.534,5.632,5.293,4.945,5.711,5.553,5.346,5.259,5.511,6.157,5.387,5.927,5.147,5.374,5.879,6.145,5.645,5.596,5.7,5.414,3.486,5.145,5.085,5.331,5.435,4.978,5.776,5.399,5.484,5.646,5.211,5.308
up,LOC134721377,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)",0.823,0.0159,7.009,6.35,6.906,6.727,7.361,6.269,7.308,6.7,6.314,7.614,6.981,7.473,6.367,6.401,6.356,6.699,6.431,6.56,6.2,6.795,6.636,6.424,6.38,6.735,5.965,6.808,7.001,5.789,5.741,7.113,6.147,6.825,6.082,6.375,6.704,6.595,5.305,6.313,6.294,5.917,5.989,6.798,5.545,5.762,6.714,5.864
up,LOC134680676,NA,0.821,0.0453,5.161,5.934,5.405,5.608,5.099,5.846,5.179,5.227,5.138,5.091,5.914,5.043,5.116,5.409,5.241,6.378,5.49,5.699,5.873,5.611,5.906,6.229,5.271,5.355,5.638,5.167,5.361,5.869,5.667,5.153,6.009,4.757,6.029,5.152,5.057,4.478,5.264,4.576,4.813,4.739,4.413,5.182,4.292,5.222,5.368,4.695
up,LOC134721501,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),0.808,0.00726,5.645,6.224,5.768,6.044,6.98,5.975,6.09,6.763,6.222,6.551,6.115,6.802,6.092,6.151,6.1,6.003,5.345,6.853,5.759,5.843,5.625,6.098,5.781,6.18,5.824,6.628,6.564,5.55,3.486,5.971,5.015,6.171,6.394,5.447,5.762,5.731,5.624,5.594,5.351,5.546,5.441,6.27,5.761,5.287,6.06,5.447
up,LOC134706577,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)",0.791,0.0159,5.848,6.001,5.945,5.435,6.697,5.454,6.596,7.003,5.926,6.146,5.784,6.27,6.417,6.493,6.152,5.604,5.661,6.72,5.916,5.639,5.801,5.635,6.023,5.991,6.384,6.529,5.974,5.482,5.264,5.802,5.566,5.896,6.637,6.163,5.619,5.753,5.085,5.484,5.261,5.463,5.638,5.891,5.71,5.38,5.609,5.572
